Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Agglutinated,Elongated,Planispiral,Trochospiral,Tapered,Comments,File Data,Zone name,Zone name (short)
342-U1410A-4H-1-W 100/102-FORAM,342,U1410,A,4,4-1,H,1,W,100/102-FORAM,0,2,28.5,28.52,G [P21],F [A60],,,,,,,,,
342-U1410A-4H-2-W 100/102-FORAM,342,U1410,A,4,4-2,H,2,W,100/102-FORAM,0,2,30,30.02,M [P21],F [A60],,,,,,,,,
342-U1410A-4H-3-W 100/102-FORAM,342,U1410,A,4,4-3,H,3,W,100/102-FORAM,0,2,31.5,31.52,G [P21],F [A60],,,,,,,,,
342-U1410A-4H-4-W 100/102-FORAM,342,U1410,A,4,4-4,H,4,W,100/102-FORAM,0,2,33,33.02,M [P21],P [A60],,,,,,,,,
342-U1410A-4H-5-W 100/102-FORAM,342,U1410,A,4,4-5,H,5,W,100/102-FORAM,0,2,34.5,34.52,P [P21],F [A60],,,,,,,,,
342-U1410A-4H-6-W 100/102-FORAM,342,U1410,A,4,4-6,H,6,W,100/102-FORAM,0,2,36,36.02,G [P21],P [A60],,,,,,,,,
342-U1410A-5H-1-W 100/102-FORAM,342,U1410,A,5,5-1,H,1,W,100/102-FORAM,0,2,38,38.02,M [P21],P [A60],,,,,,,,,
342-U1410A-5H-2-W 100/102-FORAM,342,U1410,A,5,5-2,H,2,W,100/102-FORAM,0,2,39.5,39.52,G [P21],P [A60],,,,,,,,,
342-U1410A-5H-3-W 100/102-FORAM,342,U1410,A,5,5-3,H,3,W,100/102-FORAM,0,2,41,41.02,M [P21],P [A60],,,,,,,,,
342-U1410A-5H-4-W 100/102-FORAM,342,U1410,A,5,5-4,H,4,W,100/102-FORAM,0,2,42.5,42.52,,B [A60],,,,,,,,,
342-U1410A-5H-5-W 100/102-FORAM,342,U1410,A,5,5-5,H,5,W,100/102-FORAM,0,2,44,44.02,,P [A60],,,,,,"only agglutinated speciemns, so no preservation rating",,,
342-U1410A-5H-6-W 90/92-FORAM,342,U1410,A,5,5-6,H,6,W,90/92-FORAM,0,2,45.4,45.42,M [P21],P [A60],,,,,,,,,
342-U1410A-6H-2-W 100/102-FORAM,342,U1410,A,6,6-2,H,2,W,100/102-FORAM,0,2,49,49.02,P [P21],D [A60],,,,,,,,,
342-U1410A-6H-4-W 100/102-FORAM,342,U1410,A,6,6-4,H,4,W,100/102-FORAM,0,2,52,52.02,P [P21],D [A60],,,,,,,,,
342-U1410A-6H-6-W 100/102-FORAM,342,U1410,A,6,6-6,H,6,W,100/102-FORAM,0,2,55,55.02,P [P21],D [A60],,,,,,,,,
342-U1410A-7H-2-W 100/102-FORAM,342,U1410,A,7,7-2,H,2,W,100/102-FORAM,0,2,58.52,58.54,P [P21],D [A60],,,,,,,,,
342-U1410A-7H-5-W 100/102-FORAM,342,U1410,A,7,7-5,H,5,W,100/102-FORAM,0,2,61.89,61.91,M [P21],A [A60],,,,,,,,,
342-U1410A-7H-7-W 100/102-FORAM,342,U1410,A,7,7-7,H,7,W,100/102-FORAM,0,2,64.55,64.57,G [P21],P [A60],,,,,,,,,
342-U1410A-7H-7-W 28/30-FORAM,342,U1410,A,7,7-7,H,7,W,28/30-FORAM,0,2,63.83,63.85,,B [A60],,,,,,,,,
342-U1410A-8H-1-W 110/112-FORAM,342,U1410,A,8,8-1,H,1,W,110/112-FORAM,0,2,66.6,66.62,G [P21],P [A60],,,,,,,,,
342-U1410A-8H-2-W 110/112-FORAM,342,U1410,A,8,8-2,H,2,W,110/112-FORAM,0,2,68.1,68.12,VG [P21],P [A60],,,,,,,,,
342-U1410A-8H-3-W 110/112-FORAM,342,U1410,A,8,8-3,H,3,W,110/112-FORAM,0,2,69.6,69.62,G [P21],P [A60],,,,,,,,,
342-U1410A-8H-4-W 110/112-FORAM,342,U1410,A,8,8-4,H,4,W,110/112-FORAM,0,2,71.1,71.12,VG [P21],P [A60],,,,,,,,,
