Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Quadrimorphina spp.,Quinqueloculina aspera,Quinqueloculina intricata,Quinqueloculina seminula,Quinqueloculina spp.,Ramulina spp.,Rectobolivina sp.,Rectuvigerina spp.,Recurvoides spp.,Reophax bilocularis,Reophax pilulifer,Reophax scorpiusus,Reophax spp.,Reophax subfusiformis,Reticulophragmium spp.,Reusella spp.,Rhabdammina abyssorum,Rhabdammina spp.,Rhizammina algaeformis,Rhizammina spp.,Robertinoides spp.,Robertinoides spp.?,Robertina spp.,Rosalia sp.,Rosalina anomala,Rosalina bradyi,Rosalina cf. australis,Rosalina globularis,Rosalina sp.,Rotalia sp.,Rupertina stabilis,Saccammina sphaerica,Saccammina spp.,Saccorhiza ramosa,Sahulia spp.,Saracenaria latiforns,Saracenaria spp.,Sigmoilinita spp.,Sigmoilopsis schlumbergeri,Sigmoilopsis woodi,Siphogenerina dimorpha,Siphogenerina sp.?,Siphonina tubulosa,Siphonodosaria cf. ketienziensis,Siphonodosaria hispidula,Siphonodosaria ketienziensis,Siphonodosaria lepidula,Siphonodosasria lepidula f. huagaensis,Siphonodosaria sp. 1,Siphonodosaria sp. 2,Siphonodosaria spp.,Siphonodosaria subtertenuata,Siphogenerina columellaris,Siphotextularia rolshauseni ,Siphogenerina spp.,Siphotextularia sp.,Siphouvigerina ampullacea,Sphaeroidina bulloides,Sphaeroidina spp.,Spirillina spp.,Spiroloculina spp.?,Spirosigmoilina pusilla,Spiloloculina sp.,Spiroloculina excavata,Spiroloculina spp.,Spiroloculina tenui,Spirophtalmidium cf. actuimargo,Spiroplectammina spp.,Spiroplectinella sagittula,Stainforthia spp.,Stilostomella consobrina,Stilostomella fistuca,Stillostomellidae indet.,Siphonodosaria cf. holoserica,Stilostomella holoserica,Stilostomella spp.,Stilostominella spp.,Comment,File Data
339-U1387C-2R-CC-PAL-FORAM,339,U1387,C,2,2-CC,R,CC,PAL,FORAM,0,5,299.54,299.59,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,P ,R ,,,P ,R ,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,
339-U1387C-3R-CC-PAL-FORAM,339,U1387,C,3,3-CC,R,CC,PAL,FORAM,0,5,308.31,308.36,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,R ,R ,,,,P ,R ,,,,,,R ,,,,,,,,,,P ,,,,,,,,,,,
339-U1387C-5R-CC-PAL-FORAM,339,U1387,C,5,5-CC,R,CC,PAL,FORAM,0,5,327.64,327.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,R ,,,,,,,D ,,,,,,,,,,,,,,,,,,,,,
339-U1387C-7R-CC-PAL-FORAM,339,U1387,C,7,7-CC,R,CC,PAL,FORAM,0,5,346.0,346.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,R ,,,,,,,A ,,,,,,,R ,,,,,,,,,,,,,,
339-U1387C-9R-CC-PAL-FORAM,339,U1387,C,9,9-CC,R,CC,PAL,FORAM,0,5,365.2,365.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,R ,P ,,,,R ,,,,,,,A ,,,,,,,,,,,,,,,,,,,,,
339-U1387C-11R-CC-PAL-FORAM,339,U1387,C,11,11-CC,R,CC,PAL,FORAM,0,5,386.08,386.13,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,R ,,,,P ,R ,,,,,,F ,,P ,,,,P ,,,,,,,,,,,P ,,,,
339-U1387C-13R-CC-PAL-FORAM,339,U1387,C,13,13-CC,R,CC,PAL,FORAM,0,5,404.86,404.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,P ,,,,,,,,F ,,,,,,,,,,,,,,,,,R ,,,,
339-U1387C-15R-CC-PAL-FORAM,339,U1387,C,15,15-CC,R,CC,PAL,FORAM,0,6,422.92,422.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,
339-U1387C-17R-CC-PAL-FORAM,339,U1387,C,17,17-CC,R,CC,PAL,FORAM,0,5,436.81,436.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,P ,,,,,,,,,,,,R ,,,,,,,,,,,,,,,R ,,,R ,,,
339-U1387C-18R-CC-PAL-FORAM,339,U1387,C,18,18-CC,R,CC,PAL,FORAM,0,5,452.57,452.62,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,A ,,,,,,,P ,,,R ,,,,,,,,,,,
339-U1387C-19R-CC-PAL-FORAM,339,U1387,C,19,19-CC,R,CC,PAL,FORAM,0,5,458.54,458.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,R ,R ,,,
339-U1387C-21R-CC-PAL-FORAM,339,U1387,C,21,21-CC,R,CC,PAL,FORAM,0,5,479.37,479.42,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,F ,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,
339-U1387C-23R-CC-PAL-FORAM,339,U1387,C,23,23-CC,R,CC,PAL,FORAM,0,5,499.79,499.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,R ,F ,,,,A ,,,,,,P ,,,,,,,,R ,,,,,,,,,,P ,,,,
339-U1387C-25R-CC-PAL-FORAM,339,U1387,C,25,25-CC,R,CC,PAL,FORAM,0,5,520.19,520.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,R ,,,,,,,P ,F ,,,,,,,R ,,,,,,,,,,,,,,,,,P ,,,,
339-U1387C-27R-CC-PAL-FORAM,339,U1387,C,27,27-CC,R,CC,PAL,FORAM,0,5,539.4,539.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,P ,,,R ,P ,,,P ,R ,,,,,,,R ,,,,,,,R ,,,,,,,,F ,,,F ,,,
339-U1387C-29R-CC-PAL-FORAM,339,U1387,C,29,29-CC,R,CC,PAL,FORAM,0,5,558.56,558.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,F ,,,,R ,R ,,,,,,P ,,,,,,,,,,,,,,,,,R ,,,,
339-U1387C-30R-CC-PAL-FORAM,339,U1387,C,30,30-CC,R,CC,PAL,FORAM,0,5,564.83,564.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,R ,,,R ,,,
339-U1387C-31R-CC-PAL-FORAM,339,U1387,C,31,31-CC,R,CC,PAL,FORAM,0,5,573.54,573.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,P ,,,,,,,,,,P ,,,,,,,,,,,
339-U1387C-32R-CC-PAL-FORAM,339,U1387,C,32,32-CC,R,CC,PAL,FORAM,0,5,586.23,586.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,R ,,,,,R ,,,,,,,R ,,,,,,,R ,,,,,,,,,,P ,,,,
339-U1387C-33R-CC-PAL-FORAM,339,U1387,C,33,33-CC,R,CC,PAL,FORAM,0,5,596.96,597.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,R ,,,R ,,,
339-U1387C-34R-CC-PAL-FORAM,339,U1387,C,34,34-CC,R,CC,PAL,FORAM,0,5,603.77,603.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,R ,,,R ,,,,,R ,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,
339-U1387C-35R-CC-PAL-FORAM,339,U1387,C,35,35-CC,R,CC,PAL,FORAM,0,8,616.22,616.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,P ,R ,,,,,R ,,,,,,,P ,,,,,,,,,,,,,,,P ,,,P ,,,
339-U1387C-36R-CC-PAL-FORAM,339,U1387,C,36,36-CC,R,CC,PAL,FORAM,0,5,619.81,619.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,P ,,,P ,,,,,,,,,,,,P ,,,,,,,,,,P ,,,,,,,,,,,
339-U1387C-37R-CC-PAL-FORAM,339,U1387,C,37,37-CC,R,CC,PAL,FORAM,0,5,634.49,634.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,F ,,,,,R ,P ,,,,,,R ,,,,,,,,,,,,,,,,,,,,,
339-U1387C-38R-CC-PAL-FORAM,339,U1387,C,38,38-CC,R,CC,PAL,FORAM,0,4,643.55,643.59,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,R ,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,
339-U1387C-39R-CC-PAL-FORAM,339,U1387,C,39,39-CC,R,CC,PAL,FORAM,0,5,650.31,650.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,
339-U1387C-40R-CC-PAL-FORAM,339,U1387,C,40,40-CC,R,CC,PAL,FORAM,0,5,662.32,662.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,
339-U1387C-41R-CC-PAL-FORAM,339,U1387,C,41,41-CC,R,CC,PAL,FORAM,0,6,666.26,666.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,P ,,,,,P ,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,
339-U1387C-42R-CC-PAL-FORAM,339,U1387,C,42,42-CC,R,CC,PAL,FORAM,0,5,682.15,682.2,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,R ,,,,,,,P ,,,,,R ,,,,,,,R ,,,,,,,,,,,,,,,,,R ,,,,
339-U1387C-43R-2-PAL-FORAM,339,U1387,C,43,43-2,R,CC,PAL,FORAM,0,4,685.76,685.8,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,P ,,,,,,,,,,,R ,,,,,,,,,,P ,,,,,,,,,,,
