Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comments,Preservation,Group Abundance,Catapsydrax dissimilis,Catapsydrax unicavus,Globigerina bulloides,Globigerina ciperoensis,Globigerina parabulloides,Globigerina umbilicata,Globigerinita glutinata,Globigerinita uvula,Globoquadrina duterei,Globorotalia incisa,Globorotalia (Globoconella) praescitula,Globorotalia (Hirsutella) scitula,Globorotalia suterae,Neogloboquadrina atlantica atlantica,Neogloboquadrina atlantica praeatlantica,Neogloboquadrina dutertri subcretacea,Neogloboquadrina pachyderma (sin),Neogloboquadrina pachyderma(dex),Orbulina universa,Turborotalia quinqueloba,pc_fossil_group,physical_constituent_name,pc_fossil_name,pc_abundance_name_mode,pc_preservation_name_average,File Data
323-U1339D-1H-CC-PAL-FORAM74   ,323,U1339,D,1,1-CC,H,CC,PAL,FORAM74   ,0,0,6.52,6.52,dominant IRD,G [323_PF],A [323_PFs],,,,,,A,,,,,,,,,,,F,F,,,,,,,,
323-U1339D-2H-CC-PAL-FORAM79   ,323,U1339,D,2,2-CC,H,CC,PAL,FORAM79   ,0,0,16.04,16.04,dominant IRD,G [323_PF],A [323_PFs],,,,,,A,,,,,,,,,,,,R,,,,,,,,
323-U1339D-3H-CC-PAL-FORAM85   ,323,U1339,D,3,3-CC,H,CC,PAL,FORAM85   ,0,0,25.59,25.59,dominant IRD,G [323_PF],F [323_PFs],,,,,,F,,,,,,,,,,,,P,,,,,,,,
323-U1339D-4H-CC-PAL-FORAM90   ,323,U1339,D,4,4-CC,H,CC,PAL,FORAM90   ,0,0,33.38,33.38,dominant IRD,G [323_PF],A [323_PFs],,,,,,A,,,,,,,,,,,,F,,,,,,,,
323-U1339D-5H-CC-PAL-FORAM19   ,323,U1339,D,5,5-CC,H,CC,PAL,FORAM19   ,0,0,43.24,43.24,dominant IRD,G [323_PF],R [323_PFs],,,,,,R,,,,,,,,,,,,,,,Planktonic foraminiferas,fossil,"Globigerinita glutinata (Egger, 1893)",,,
323-U1339D-6H-CC-PAL-FORAM26   ,323,U1339,D,6,6-CC,H,CC,PAL,FORAM26   ,0,0,52.97,52.97,dominant IRD,G [323_PF],D [323_PFs],,,,,,D,,,,,,,,,,,,F,,P,,,,,,
323-U1339D-7H-CC-PAL-FORAM31   ,323,U1339,D,7,7-CC,H,CC,PAL,FORAM31   ,0,0,62.48,62.48,dominant IRD,G [323_PF],F [323_PFs],,,,,,F,,,,,,,,,,,,R,,,,,,,,
323-U1339D-8H-CC-PAL20     -FORAM36   ,323,U1339,D,8,8-CC,H,CC,PAL20,FORAM36   ,0,0,71.2,71.2,dominant IRD,G [323_PF],A [323_PFs],,,,,,A,,,,,,,,,,,R,F,,,,,,,,
323-U1339D-9H-CC-FORAM25   ,323,U1339,D,9,9-CC,H,CC,FORAM25,,0,0,80.35,80.35,dominant IRD,,B [323_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1339D-10H-CC-FORAM50   ,323,U1339,D,10,10-CC,H,CC,FORAM50,,0,0,90.53,90.53,few IRD,M [323_PF],F [323_PFs],,,,,,F,,,,,,,,,,,,,,,,,,,,
323-U1339D-11H-CC-FORAM24   ,323,U1339,D,11,11-CC,H,CC,FORAM24,,0,0,100.38,100.38,few IRD,,B [323_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1339D-12H-CC-FORAM30   ,323,U1339,D,12,12-CC,H,CC,FORAM30,,0,0,110.15,110.15,few IRD,M [323_PF],P [323_PFs],,,,,,P,,,,,,,,,,,P,,,,,,,,,
323-U1339D-13H-CC-FORAM87   ,323,U1339,D,13,13-CC,H,CC,FORAM87,,0,0,119.89,119.89,abundant IRD,G [323_PF],A [323_PFs],,,,,,A,,,,,,,,,,,,P,,,,,,,,
323-U1339D-14H-CC-FORAM49   ,323,U1339,D,14,14-CC,H,CC,FORAM49,,0,0,128.83,128.83,abundant IRD,G [323_PF],A [323_PFs],,,,,,A,,,,,,,,,,,,P,,,,,,,,
323-U1339D-15H-CC-FORAM54   ,323,U1339,D,15,15-CC,H,CC,FORAM54,,0,0,137.14,137.14,abundant IRD,G [323_PF],A [323_PFs],,,,,,A,,,,,,,,,,,P,R,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",P [323_PFs],,
323-U1339D-16H-CC-PAL10     -FORAM59   ,323,U1339,D,16,16-CC,H,CC,PAL10,FORAM59   ,0,0,147.16,147.16,dominant IRD,G [323_PF],A [323_PFs],,,,,,D,,,,,,,,,,,P,F,,,,,,,,
323-U1339D-17H-CC-FORAM5    ,323,U1339,D,17,17-CC,H,CC,FORAM5,,0,0,157.88,157.88,dominant IRD,M [323_PF],R [323_PFs],,,,,,R,,,,,,,,,,,,R,,,,,,,,
323-U1339D-18H-CC-FORAM56   ,323,U1339,D,18,18-CC,H,CC,FORAM56,,0,0,167.18,167.18,dominant IRD,M [323_PF],A [323_PFs],,,,,,A,,,,,,,,,,,R,F,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R [323_PFs],,
323-U1339D-19H-CC-FORAM61   ,323,U1339,D,19,19-CC,H,CC,FORAM61,,0,0,176.77,176.77,dominant IRD,G [323_PF],A [323_PFs],,,,,,A,,,,,,,,,,,R,R,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R [323_PFs],,
323-U1339D-20H-CC-FORAM66   ,323,U1339,D,20,20-CC,H,CC,FORAM66,,0,0,185.99,185.99,dominant IRD,,B [323_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1339D-22H-CC-FORAM76   ,323,U1339,D,22,22-CC,H,CC,FORAM76,,0,0,200.77,200.77,abundant IRD,M [323_PF],R [323_PFs],,,,,,P,,,,,,,,,,,,R,,,,,,,,
