Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sponge spicules	Sceptroneis spp.	Cestodiscus antarcticus	Asteromphalus spp.	Synedra jouseana	Stephanopyxis turris	Rocella vigilans	Actinocyclus spp.	Pyxilla fragments	Pyrgupyxis spp.	Pseudotriceratium radiosoreticulatum	Hemiaulus spp.	Chaetoceros spp. (resting spores)	Azpeitia oligocenica	Azpeitia gombosi	Lisitzinia ornata	Azpeitia praenodulifera	Rocella gelida  var. schraderi	Rocella gelida	Coscinodiscus marginatus	Coscinodiscus lewisianus var. levis	Rossiella symmetrica	Proboscia praebarboi	Coscinodiscus rhombicus	Cestodiscus pulchellus	Thalassiosira spp.	Coscinodiscus spp.	Silicoflagellate tests	Odontella aurita	Denticulopsis maccollumii	Nitzschia evenscens	Ethmodiscus rex	Thalassiothrix antarctica	Thalassionema nitzschioides  var. parva	Azpeitia cf. nodulifer	Actinocyclus ingens  var. nodus	Actinocyclus cf. karstenii	Denticulopsis dimorpha	Proboscia barboi	Actinocyclus karstenii	Hemidiscus cuneiformis	Azpeitia tabularis	Denticulopsis hustedtii	Actinocyclus ingens var. ovalis	Fragilariopsis reinholdii	Fragilariopsis fossilis	Hemidiscus karstenii	Fragilariopsis spp.	Fragilariopsis barronii	Asteromphalus parvulus	Azpeitia nodulifera	Thalassiosira oliverana	Fragilariopsis weaveri	Thalassiosira striata	Thalassiosira inura	Thalassiosira insigna	Thalassiosira fasciculata	Thalassiosira eccentrica	Thalassiosira complicata	Thalassiosira lentiginosa	Thalassionema nitzschioides	Diploneis bombus	Thalassiosira oestrupii	Thalassiosira leptopus	Fragilariopsis kerguelensis	Thalassiosira gracilis	Rhizosolenia spp.	Thalassiosira tetraoestrupii var. reimeri	Corethron criophilum	Actinocyclus curvatulus	Actinocyclus actinochilus	Stellarima microtrias	Rhizosolenia bergonii	Thalassiosira trifulta	Azpeitia neocrenulata	Actinocyclus dimorphus	Nitzschia sicula	Eucampia antarctica	Comment



  IR	                 	                 	                  	              	189	1170	A	  1	H	CC	  18.00	      1.6400	diatoms  	Diatoms                                      	C              	MG                	F              	                	                       	                  	                	                    	                	                 	                 	               	                                    	              	F                                	                    	                	                 	                       	                              	              	                        	                                   	                    	                    	                       	                      	                  	                  	F                     	                	                         	                   	               	F                        	                                       	                      	                               	                          	                      	                	                      	R                     	C                 	                       	                               	                         	                       	                    	                   	                       	                      	R                  	R                      	                      	                     	                   	                     	                         	R                       	                        	C                        	F                          	R               	R                      	R                     	A                          	                      	                 	                                         	                    	R                      	                         	                     	                     	R                     	R                    	                      	R               	R                  	       

  IR	                 	                 	                  	              	189	1170	A	  2	H	CC	  11.00	     11.6700	diatoms  	Diatoms                                      	F              	M                 	F              	                	                       	                  	                	                    	                	                 	                 	               	                                    	              	                                 	                    	                	                 	                       	                              	              	                        	                                   	                    	                    	                       	                      	                  	                  	R                     	                	                         	                   	               	F                        	R                                      	                      	                               	                          	                      	                	                      	                      	A                 	                       	                               	                         	                       	                    	                   	                       	                      	                   	                       	                      	                     	                   	                     	                         	                        	                        	C                        	R                          	                	R                      	                      	A                          	                      	R                	                                         	                    	                       	                         	                     	                     	R                     	R                    	R                     	                	                   	       

  IR	                 	                 	                  	              	189	1170	A	  3	H	CC	  12.00	     20.7500	diatoms  	Diatoms                                      	A              	MG                	A              	                	                       	                  	                	                    	                	F                	                 	               	                                    	              	F                                	                    	                	                 	                       	                              	              	                        	                                   	                    	                    	                       	                      	                  	                  	R                     	F               	                         	                   	               	C                        	                                       	                      	                               	                          	                      	                	                      	                      	                  	                       	                               	                         	                       	                    	                   	                       	                      	                   	                       	                      	                     	                   	                     	                         	R                       	                        	C                        	                           	                	R                      	                      	A                          	                      	                 	                                         	                    	                       	F                        	R                    	R                    	                      	                     	                      	                	                   	       

  IR	                 	                 	                  	              	189	1170	A	  4	H	CC	  18.00	     29.0700	diatoms  	Diatoms                                      	F              	MG                	F              	                	                       	                  	                	                    	                	F                	                 	               	                                    	              	R                                	                    	                	                 	                       	                              	              	                        	                                   	                    	                    	                       	                      	                  	                  	R                     	C               	                         	                   	               	R                        	R                                      	                      	                               	                          	                      	                	                      	                      	                  	                       	                               	                         	                       	R                   	                   	                       	                      	                   	R                      	                      	                     	                   	                     	                         	                        	                        	C                        	                           	                	R                      	                      	C                          	                      	                 	                                         	                    	F                      	R                        	                     	                     	                      	                     	                      	                	                   	       
