Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Dictyococcites bisectus	Cyclicargolithus floridanus	Cyclicargolithus abisectus	Coccolithus pelagicus	Chiasmolithus altus	Discoaster deflandrei	Sphenolithus moriformis	Discoaster adamanteus	Calcidiscus leptoporus	Reticulofenestra gelida	Discoaster aulakos	Calcidiscus premacintyrei	Calcidiscus macintyrei	Helicosphaera ampliaperta	Discoaster formosus	Helicosphaera mediterranea	Discoaster variabilis	Dictyococcites hesslandii	Reticulofenestra perplexa	Reticulofenestra pseudoumbilica	Triquetrorhabdulus rugosus	Amaurolithus delicatus	Discoaster intercalaris	Amaurolithus ninae	Helicosphaera kamptneri	Reticulofenestra minuta	Ceratolithus acutus	Helicosphaera sellii	Discoaster surculus	Discoaster braarudii	Pseudoemiliania lacunosa	Gephyrocapsa > 4.5	Ceratolithus cristatus	Gephyrocapsa caribbeanica	Emiliania huxleyi	Comment



  IR	                 	                 	                  	              	189	1170	A	  1	H	CC	  18.00	      1.6400	nannos   	Nannofossils                                 	A              	G                 	                       	                           	                          	                     	                   	                     	                       	                     	                      	                       	                  	                         	                      	                         	                   	                          	                     	                         	                         	                               	                          	                      	                       	                  	                       	                       	                   	                    	                   	                    	                        	                  	                      	A                        	C                	       

  IR	                 	                 	                  	              	189	1170	A	  2	H	CC	  11.00	     11.6700	nannos   	Nannofossils                                 	A              	G                 	                       	                           	                          	                     	                   	                     	                       	                     	                      	                       	                  	                         	                      	                         	                   	                          	                     	                         	                         	                               	                          	                      	                       	                  	                       	                       	                   	                    	                   	                    	F                       	                  	                      	A                        	                 	       

  IR	                 	                 	                  	              	189	1170	A	  3	H	CC	  12.00	     20.7500	nannos   	Nannofossils                                 	A              	G                 	                       	                           	                          	                     	                   	                     	                       	                     	                      	                       	                  	                         	                      	                         	                   	                          	                     	                         	                         	                               	                          	                      	                       	                  	                       	                       	                   	                    	                   	                    	                        	F                 	                      	C                        	                 	       

  IR	Pleistocene      	                 	                  	              	189	1170	A	  4	H	CC	  18.00	     29.0700	nannos   	Nannofossils                                 	A              	G                 	                       	                           	                          	A                    	                   	                     	                       	                     	A                     	                       	                  	                         	                      	                         	                   	                          	                     	                         	                         	                               	                          	                      	                       	                  	F                      	                       	                   	                    	                   	                    	C                       	F                 	R                     	                         	                 	       

  IR	Pleistocene      	                 	CN13b             	              	189	1170	A	  5	H	CC	   8.00	     39.4000	nannos   	Nannofossils                                 	A              	G                 	                       	                           	                          	A                    	                   	                     	                       	                     	A                     	                       	                  	                         	C                     	                         	                   	                          	                     	                         	                         	                               	                          	                      	                       	                  	                       	                       	                   	F                   	                   	                    	A                       	                  	                      	                         	                 	       

