Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Uvigerina spp.,Stilostomella gracillima,Indeterminate ostracodes,Globocassidulina moluccensis,Uvigerina senticosa,Karreriella chapapotensis,Indeterminate sponge spicules,Indeterminate radiolarians,Indeterminate fish bone fragments,Cibicidoides dutemplei,Vulvulina spinosa,Gyroidinoides soldanii,Gyroidinoides altiformis,Cibicidoides micrus,Cibicidoides mundulus,Bulimina mexicana,Pullenia bulloides,Karreriella sp. 1,Bulimina jarvisi,Hoeglundina elegans,Sphaeroidina bulloides,Planulina rugosa,Anomalinoides semicribratus,Alabamina dissonata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1184,A,  2,R,CC,   0.00,    138.2500,Sikora   ,Benthic Foraminifers                         ,C              ,VG                ,              ,                        ,T                       ,C                           ,                   ,R                        ,F                            ,R                         ,T                                ,                      ,R                ,                      ,R                       ,                   ,                     ,                 ,                  ,                 ,T               ,R                  ,T                     ,                ,                           ,T                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1184,A,  3,R,CC,  14.00,    151.9100,Sikora   ,Benthic Foraminifers                         ,F              ,VG                ,T             ,                        ,T                       ,C                           ,                   ,F                        ,F                            ,R                         ,T                                ,                      ,                 ,R                     ,R                       ,                   ,                     ,                 ,                  ,                 ,                ,F                  ,T                     ,T               ,T                          ,                   ,early Miocene - mix of P. rugosa and H. elegans and A. semicribratus indicate middle slope
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1184,A,  4,R, 3,  10.00,    156.8000,Sikora   ,Benthic Foraminifers                         ,R              ,VG                ,              ,                        ,T                       ,F                           ,                   ,                         ,F                            ,T                         ,                                 ,                      ,T                ,                      ,                        ,                   ,                     ,                 ,T                 ,                 ,                ,T                  ,                      ,                ,                           ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1184,A,  4,R, 7,  10.00,    162.5000,Sikora   ,Benthic Foraminifers                         ,F              ,VG                ,              ,                        ,                        ,F                           ,                   ,R                        ,R                            ,F                         ,                                 ,                      ,R                ,                      ,R                       ,                   ,                     ,                 ,                  ,                 ,R               ,T                  ,                      ,                ,                           ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
