Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Ephedripites spp.,Cyathidites minor,Retitriporites  sp.,Monosulcites sp.,Comment
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,159, 961,B, 11,R, 1,  72.00,    318.1200,Oboh-Ikuenobe,Pollen/Spores                                ,               ,                  ,+                ,+                ,                   ,+               ,From 159SR Ch 25 T3
,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,159, 961,B, 12,R, 1,  68.00,    323.0800,Oboh-Ikuenobe,Pollen/Spores                                ,               ,                  ,+                ,+                ,                   ,                ,From 159SR Ch 25 T3
,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,159, 961,B, 13,R, 1,  35.00,    332.4500,Oboh-Ikuenobe,Pollen/Spores                                ,               ,                  ,                 ,                 ,+                  ,                ,From 159SR Ch 25 T3
,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,159, 961,B, 16,R, 3,  30.00,    359.0000,Oboh-Ikuenobe,Pollen/Spores                                ,               ,                  ,+                ,+                ,                   ,                ,From 159SR Ch 25 T3
,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,159, 961,B, 17,R, 1,  24.00,    360.9400,Oboh-Ikuenobe,Pollen/Spores                                ,               ,                  ,+                ,                 ,                   ,                ,From 159SR Ch 25 T3
,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,159, 961,B, 18,R, 1,  48.00,    363.3800,Oboh-Ikuenobe,Pollen/Spores                                ,               ,                  ,+                ,+                ,                   ,                ,From 159SR Ch 25 T3
,,,,,,,,,,,,,,,,,,,,,
