Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra sp. (<5 microns),Pseudoemiliania lacunosa (elliptical),Helicosphaera sellii,Helicosphaera carteri,Discoaster tamalis,Discoaster surculus,Discoaster pentaradiatus,Discoaster brouweri,Coccolithus pelagicus,Calcidiscus macintyrei,Calcidiscus leptoporus,Discoaster triradiatus,Ceratolithus cristatus,Umbilicosphaera sibogae,Pseudoemiliania lacunosa (round),Pontosphaera spp.,Pontosphaera multipora,Rhabdosphaera clavigera,Gephyrocapsa spp. small (<4 microns),Syracosphaera pulchra,Gephyrocapsa spp. A-B,Scapholithus fossilis,Ceratolithus telesmus,Reticulofenestra sp. A,Reticulofenestra asanoi,Gephyrocapsa spp. C-D,Oolithotus fragilis,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN15              ,              ,133, 822,A,  1,H,CC,  12.00,      0.9100,Wei      ,Nannofossils                                 ,A              ,G                 ,                                 ,                                     ,                    ,F                    ,                  ,                   ,                        ,                   ,                     ,                      ,F                     ,                      ,                      ,C                      ,                                ,                 ,                      ,                       ,A                                   ,                     ,                     ,                     ,                     ,                      ,                       ,A                    ,                   ,C                ,from ODP 133 SR Chapter 2 Table 2 p 26-27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN15              ,              ,133, 822,A,  2,H, 1, 112.00,      2.0200,Wei      ,Nannofossils                                 ,A              ,G                 ,                                 ,                                     ,                    ,R                    ,                  ,                   ,                        ,                   ,                     ,                      ,F                     ,                      ,                      ,F                      ,                                ,R                ,                      ,                       ,A                                   ,R                    ,                     ,R                    ,                     ,                      ,                       ,A                    ,                   ,                 ,from ODP 133 SR Chapter 2 Table 2 p 26-27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN15              ,              ,133, 822,A,  2,H, 2, 112.00,      3.5200,Wei      ,Nannofossils                                 ,A              ,G                 ,                                 ,                                     ,                    ,F                    ,                  ,                   ,                        ,                   ,                     ,                      ,F                     ,                      ,R                     ,R                      ,                                ,R                ,R                     ,R                      ,A                                   ,                     ,                     ,                     ,                     ,                      ,                       ,A                    ,                   ,A                ,from ODP 133 SR Chapter 2 Table 2 p 26-27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN15              ,              ,133, 822,A,  2,H, 4, 112.00,      6.5200,Wei      ,Nannofossils                                 ,A              ,G                 ,                                 ,                                     ,                    ,F                    ,                  ,                   ,                        ,                   ,                     ,                      ,R                     ,                      ,                      ,R                      ,                                ,R                ,                      ,R                      ,A                                   ,F                    ,                     ,                     ,                     ,                      ,                       ,A                    ,                   ,C                ,from ODP 133 SR Chapter 2 Table 2 p 26-27
