Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Toweius pertusus,Toweius callosus,Prinsius bisulcus,Placozygus sigmoides,Heliolithus kleinpellii,Fasciculithus tympaniformis,Fasciculithus clinatus,Ericsonia subpertusa,Ellipsolithus macellus,Discoaster mohleri,Cruciplacolithus tenuis,Cruciplacolithus californicus,Coccolithus pelagicus,Chiasmolithus consuetus,Chiasmolithus bidens,Toweius eminens,Markalius inversus,Heliolithus riedelii,Sphenolithus primus,Neococcolithes bukryi,Fasciculithus tonii,Discoaster nobilis,Discoaster cf. D. multiradiatus,Discoaster cf. D. mediosus,Tribrachiatus orthostylus,Toweius magnicrassus,Sphenolithus radians,Ericsonia formosa,Discoaster multiradiatus,Discoaster lodoensis,Discoaster kuepperi,Discoaster falcatus,Discoaster diastypus,Chiasmolithus expansus,Chiasmolithus danicus,Zygrhablithus bijugatus,Discoaster saipanensis/barbadensi,Discoaster barbadiensis,Chiasmolithus solitus,Chiasmolithus eograndis,Chiasmolithus grandis,Chiasmolithus extensus,Toweius gammation,Reticulofenestra pseudogammation,Neococcolithes dubius,Nannotetrina cristata,Discoaster sublodoensis,Cyclicargolithus floridanus,Coccolithus crassus,Sphenolithus furcatolithoides,Reticulofenestra dictyoda,Nannotetrina fulgens,Discoaster gemmifer,Dictyococcites spp.,Chiasmolithus spp.,Dictyococcites bisectus,Discoaster spp.,Discoaster bifax,Cyclicargolithus abisectus,Coccolithus eopelagicus,Chiasmolithus oamaruensis,Coronocyclus spp.,Calcidiscus macintyrei,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,E,  1,R, 3, 120.00,    551.2000,Olafsson ,Nannofossils                                 ,R              ,M                 ,                ,                ,                 ,                    ,                       ,                           ,                      ,                    ,                      ,                  ,                       ,                             ,R                    ,                       ,                    ,               ,                  ,                    ,                   ,                     ,                   ,                  ,                               ,                          ,                         ,                    ,                    ,                 ,                        ,                    ,                   ,                   ,                    ,                      ,                     ,                       ,                                 ,                       ,                     ,                       ,                     ,                      ,                 ,                                ,                     ,                     ,                       ,                           ,                   ,                             ,                         ,                    ,                   ,R                  ,                  ,R                      ,               ,                ,                          ,                       ,                         ,                 ,                      ,from Leg 145 SR; Ch 39; Table 11; p 625
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,E,  1,R,CC,  19.00,    553.1200,Olafsson ,Nannofossils                                 ,C              ,M                 ,                ,                ,                 ,                    ,                       ,                           ,                      ,                    ,                      ,                  ,                       ,                             ,F                    ,                       ,                    ,               ,                  ,                    ,                   ,                     ,                   ,                  ,                               ,                          ,                         ,                    ,                    ,                 ,                        ,                    ,                   ,                   ,                    ,                      ,                     ,                       ,                                 ,                       ,                     ,                       ,                     ,                      ,                 ,                                ,                     ,                     ,                       ,F                          ,                   ,                             ,                         ,                    ,                   ,R                  ,                  ,                       ,               ,                ,                          ,                       ,                         ,                 ,R                     ,from Leg 145 SR; Ch 39; Table 11; p 625
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,E,  2,R, 1,  54.00,    640.5400,Olafsson ,Nannofossils                                 ,C              ,M                 ,                ,                ,                 ,                    ,                       ,                           ,                      ,                    ,                      ,                  ,                       ,                             ,F                    ,                       ,                    ,               ,                  ,                    ,                   ,                     ,                   ,                  ,                               ,                          ,                         ,                    ,                    ,                 ,                        ,                    ,                   ,                   ,                    ,                      ,                     ,                       ,                                 ,                       ,                     ,                       ,                     ,                      ,                 ,                                ,                     ,                     ,                       ,C                          ,                   ,                             ,                         ,                    ,                   ,                   ,                  ,                       ,               ,                ,                          ,                       ,                         ,                 ,F                     ,from Leg 145 SR; Ch 39; Table 11; p 625
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,E,  3,R,CC,  21.00,    659.6600,Olafsson ,Nannofossils                                 ,C              ,M                 ,                ,                ,                 ,                    ,                       ,                           ,                      ,                    ,                      ,                  ,                       ,                             ,C                    ,                       ,                    ,               ,                  ,                    ,                   ,                     ,                   ,                  ,                               ,                          ,                         ,                    ,                    ,                 ,                        ,                    ,                   ,                   ,                    ,                      ,                     ,                       ,                                 ,                       ,                     ,                       ,                     ,                      ,                 ,                                ,                     ,                     ,                       ,C                          ,                   ,                             ,                         ,                    ,                   ,                   ,                  ,                       ,               ,                ,                          ,                       ,                         ,                 ,F                     ,from Leg 145 SR; Ch 39; Table 11; p 625
