Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Watznaueria barnesae	Micula decussata	Eiffellithus turriseiffelii	Cretarhabdus crenulatus	Tranolithus phacelosus	Prediscosphaera cretacea	Parhabdolithus embergeri	Nannoconus truitti	Nannoconus regularis	Manivitella pemmatoidea	Glaukolithus compactus	Reinhardtites anthophorus	Prediscosphaera cf. ponticula	Placozygus fibuliformis	Lithraphidites carniolensis	Gartnerago obliquum	Gartnerago aff. obliquum (<6 microns)	Eprolithus floralis	Cribrosphaerella ehrenbergii	Chiastozygus litterarius	Stoverius coronatus	Microrhabdulus decoratus	Lucianorhabdus cayeuxii	Nannoconus multicadus	Lithastrinus cf. moratus	Rucinolithus hayi	Haqius circumradiatus	Eiffellithus eximius	Arkhangelskiella cymbiformis	Kamptnerius magnificus	Ahmuellerella octoradiata	Vekshinella stradnerii	Rhagodiscus reniformis	Aspidolithus parcus parcus	Aspidolithus parcus constrictus	Calculites obscurus	Reinhardtites levis	Pervilithus varius	Biscutum constans	Quadrum gothicum	Ceratolithoides aculeus	Quadrum trifidum	Gephyrorhabdus cf. coronadventis	Prediscosphaera honjoi	Rhagodiscus angustus	Vekshinella angusta	Prediscosphaera spinosa	Chiastozygus platyrhethus	Micula praemurus	Lithraphidites quadratus	Micula murus	Coccolithus pelagicus	Toweius gammation	Neococcolithes dubius	Helicosphaera salebrosa	Ericsonia formosa	Discoaster barbadiensis	Clausicoccus fenestratus	Chiasmolithus bidens	Campylosphaera eodela	Calcidiscus protoannulus	Zygrhablithus bijugatus	Sphenolithus spiniger	Sphenolithus predistentus	Sphenolithus moriformis	Sphenolithus intercalaris	Reticulofenestra umbilica	Reticulofenestra hillae	Reticulofenestra dictyoda	Helicosphaera compacta	Discoaster tanii tanii	Discoaster tanii nodifer	Discoaster saipanensis	Discoaster deflandrei	Dictyococcites scrippsae	Dictyococcites bisectus	Cyclicargolithus floridanus	Cribrocentrum reticulatum	Cribrocentrum coenurum	Coccolithus eopelagicus	Chiasmolithus solitus	Chiasmolithus grandis	Bramletteius serraculoides	Sphenolithus obtusus	Lanternithus minutus	Chiasmolithus nitidus	Cruciplacolithus tarquinius	Campylosphaera dela	Sphenolithus furcatolithoides	Helicosphaera euphratis	Helicosphaera bramlettei	Helicosphaera wilcoxonii	Sphenolithus radians	Sphenolithus celsus	Reticulofenestra callida	Chiasmolithus oamaruensis	Chiasmolithus expansus	Discoaster tanii ornatus	Chiasmolithus medius	Comment

  SR	Middle Eocene    	                 	CP14a             	              	160	 967	E	  6	R	 3	  38.00	    160.8100	Staerker 	Nannofossils                                 	               	                  	                    	                	                           	                       	                      	                        	                        	                  	                    	                       	                      	                         	                             	                       	                           	                   	                                     	                   	                            	                        	                   	                        	                       	                     	                        	                 	                     	                    	                            	                      	                         	                      	                      	                          	                               	                   	                   	                  	                 	                	                       	                	                                	                      	                    	                   	                       	                         	                	                        	            	A                    	                 	                     	                       	A                	C                      	R                       	                    	                     	                        	F                      	R                    	F                        	F                      	F                        	F                        	F                      	C                        	F                     	R                     	F                       	C                     	F                    	F                       	A                      	A                          	F                        	F                     	F                      	R                    	F                    	R                         	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Early Eocene     	                 	CP9               	              	160	 967	E	  7	R	 1	  17.00	    167.4700	Staerker 	Nannofossils                                 	               	                  	                    	                	                           	                       	                      	                        	                        	                  	                    	                       	                      	                         	                             	                       	                           	                   	                                     	                   	                            	                        	                   	                        	                       	                     	                        	                 	                     	                    	                            	                      	                         	                      	                      	                          	                               	                   	                   	                  	                 	                	                       	                	                                	                      	                    	                   	                       	                         	                	                        	            	A                    	F                	R                    	R                      	C                	F                      	R                       	F                   	F                    	F                       	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Early Eocene     	                 	CP9               	              	160	 967	E	  8	R	 2	  31.00	    178.6000	Staerker 	Nannofossils                                 	               	                  	                    	                	                           	                       	                      	                        	                        	                  	                    	                       	                      	                         	                             	                       	                           	                   	                                     	                   	                            	                        	                   	                        	                       	                     	                        	                 	                     	                    	                            	                      	                         	                      	                      	                          	                               	                   	                   	                  	                 	                	                       	                	                                	                      	                    	                   	                       	                         	                	                        	            	A                    	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Maestrichtian    	                 	NC23              	              	160	 967	E	  9	R	 1	   8.00	    186.5800	Staerker 	Nannofossils                                 	               	                  	A                   	C               	C                          	F                      	                      	C                       	                        	                  	                    	                       	                      	                         	                             	F                      	F                          	                   	                                     	                   	A                           	                        	                   	C                       	F                      	                     	                        	                 	                     	                    	C                           	R                     	                         	                      	                      	                          	                               	                   	                   	                  	                 	                	                       	                	                                	F                     	                    	C                  	                       	F                        	                	R                       	R           	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Maestrichtian    	                 	NC22              	              	160	 967	E	  9	R	 1	 125.00	    187.7500	Staerker 	Nannofossils                                 	               	                  	A                   	A               	                           	F                      	                      	A                       	                        	                  	                    	                       	                      	                         	                             	F                      	C                          	                   	                                     	                   	                            	                        	                   	A                       	                       	                     	                        	                 	                     	                    	C                           	F                     	                         	                      	                      	                          	                               	                   	                   	                  	                 	                	                       	                	                                	                      	                    	F                  	                       	                         	                	F                       	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Maestrichtian    	                 	NC22              	              	160	 967	E	  9	R	 3	   7.00	    189.0000	Staerker 	Nannofossils                                 	               	                  	A                   	A               	C                          	C                      	                      	C                       	                        	                  	                    	R                      	                      	                         	                             	                       	C                          	                   	                                     	                   	A                           	                        	                   	C                       	                       	                     	                        	                 	                     	                    	A                           	F                     	                         	                      	                      	                          	                               	                   	                   	                  	                 	                	R                      	                	                                	                      	                    	                   	                       	F                        	                	F                       	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Maestrichtian    	                 	NC22              	              	160	 967	E	  9	R	 3	  96.00	    189.8900	Staerker 	Nannofossils                                 	               	                  	A                   	A               	C                          	A                      	                      	C                       	                        	                  	                    	R                      	                      	                         	                             	                       	A                          	                   	                                     	                   	A                           	                        	                   	C                       	                       	                     	                        	                 	                     	                    	A                           	F                     	                         	                      	                      	                          	                               	                   	                   	                  	R                	                	                       	                	                                	R                     	                    	                   	R                      	                         	                	                        	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Maestrichtian    	                 	NC22              	              	160	 967	E	  9	R	CC	   0.00	            	Staerker 	Nannofossils                                 	               	                  	A                   	A               	C                          	C                      	                      	C                       	                        	                  	                    	                       	                      	                         	F                            	C                      	F                          	                   	                                     	                   	A                           	                        	                   	C                       	                       	                     	                        	                 	                     	                    	A                           	                      	                         	                      	                      	                          	                               	                   	                   	                  	                 	                	                       	                	                                	                      	                    	C                  	                       	C                        	                	R                       	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Maestrichtian    	                 	NC22              	              	160	 967	E	 10	R	 1	  69.00	    196.8900	Staerker 	Nannofossils                                 	               	                  	A                   	A               	C                          	A                      	                      	C                       	                        	                  	                    	                       	                      	                         	                             	                       	                           	                   	                                     	                   	A                           	                        	                   	C                       	                       	                     	                        	                 	                     	                    	A                           	                      	                         	                      	                      	                          	                               	                   	                   	                  	F                	                	                       	                	                                	                      	                    	                   	F                      	                         	                	                        	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Maestrichtian    	                 	NC22              	              	160	 967	E	 10	R	 1	 118.00	    197.3800	Staerker 	Nannofossils                                 	               	                  	A                   	A               	C                          	C                      	                      	C                       	R                       	                  	                    	R                      	                      	                         	                             	F                      	C                          	                   	                                     	                   	C                           	                        	                   	C                       	                       	                     	                        	                 	                     	                    	C                           	                      	F                        	                      	                      	                          	                               	                   	                   	                  	                 	                	                       	                	                                	F                     	                    	                   	R                      	                         	R               	R                       	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Maestrichtian    	                 	NC22              	              	160	 967	E	 10	R	 2	 127.00	    198.8500	Staerker 	Nannofossils                                 	               	                  	A                   	A               	C                          	C                      	                      	C                       	R                       	                  	                    	R                      	                      	                         	                             	C                      	C                          	                   	                                     	                   	C                           	                        	                   	C                       	                       	                     	                        	                 	                     	                    	C                           	R                     	F                        	                      	                      	                          	                               	                   	                   	                  	                 	                	                       	                	                                	                      	                    	                   	                       	                         	R               	R                       	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Maestrichtian    	                 	NC22              	              	160	 967	E	 10	R	 3	  22.00	    199.1200	Staerker 	Nannofossils                                 	               	                  	A                   	A               	C                          	C                      	                      	C                       	F                       	                  	                    	                       	                      	                         	                             	F                      	C                          	                   	                                     	                   	C                           	                        	                   	C                       	                       	                     	                        	                 	                     	                    	C                           	R                     	F                        	                      	                      	                          	                               	                   	                   	                  	R                	                	R                      	                	                                	F                     	                    	                   	                       	F                        	R               	F                       	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Maestrichtian    	                 	NC21B             	              	160	 967	E	 10	R	 3	  69.00	    199.5900	Staerker 	Nannofossils                                 	               	                  	A                   	A               	C                          	C                      	                      	A                       	F                       	                  	                    	R                      	                      	                         	                             	C                      	C                          	                   	                                     	                   	C                           	                        	                   	C                       	                       	                     	                        	                 	                     	                    	C                           	F                     	                         	                      	                      	                          	                               	                   	                   	                  	                 	                	                       	                	                                	F                     	                    	                   	R                      	                         	R               	                        	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Maestrichtian    	                 	NC21B             	              	160	 967	E	 10	R	 3	 134.00	    200.2400	Staerker 	Nannofossils                                 	               	                  	A                   	A               	F                          	F                      	                      	C                       	F                       	                  	                    	F                      	                      	                         	                             	R                      	C                          	                   	                                     	                   	C                           	                        	                   	C                       	                       	                     	                        	                 	                     	                    	C                           	R                     	                         	R                     	                      	                          	                               	                   	                   	                  	R                	                	                       	                	                                	                      	                    	R                  	                       	                         	R               	                        	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Maestrichtian    	                 	NC21B             	              	160	 967	E	 11	R	 1	  24.00	    206.0400	Staerker 	Nannofossils                                 	               	                  	A                   	A               	C                          	C                      	                      	C                       	F                       	                  	                    	                       	                      	                         	                             	F                      	F                          	F                  	                                     	                   	A                           	R                       	                   	C                       	                       	                     	                        	                 	                     	                    	C                           	F                     	R                        	F                     	                      	                          	                               	                   	                   	                  	                 	                	R                      	                	                                	F                     	                    	                   	                       	                         	                	                        	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Maestrichtian    	                 	NC21B             	              	160	 967	E	 11	R	 1	  85.00	    206.6500	Staerker 	Nannofossils                                 	               	                  	A                   	A               	C                          	C                      	                      	F                       	F                       	                  	                    	                       	                      	                         	                             	F                      	F                          	C                  	                                     	                   	A                           	R                       	                   	C                       	                       	                     	                        	                 	                     	                    	C                           	F                     	R                        	F                     	                      	                          	                               	                   	                   	                  	                 	                	R                      	                	                                	                      	                    	                   	                       	R                        	                	                        	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Maestrichtian    	                 	NC21B             	              	160	 967	E	 11	R	 2	   0.00	    206.8300	Staerker 	Nannofossils                                 	               	                  	A                   	A               	C                          	C                      	                      	C                       	F                       	                  	                    	                       	                      	                         	                             	C                      	                           	C                  	                                     	                   	A                           	F                       	                   	A                       	                       	                     	                        	                 	                     	                    	C                           	F                     	R                        	F                     	                      	                          	                               	                   	                   	                  	                 	                	                       	                	                                	                      	                    	                   	                       	                         	                	                        	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Maestrichtian    	                 	NC21B             	              	160	 967	E	 11	R	 2	  83.00	    207.6600	Staerker 	Nannofossils                                 	               	                  	A                   	C               	C                          	C                      	                      	C                       	F                       	                  	                    	                       	                      	                         	                             	F                      	                           	C                  	                                     	                   	A                           	F                       	                   	C                       	                       	                     	                        	                 	                     	                    	C                           	F                     	R                        	F                     	                      	                          	                               	                   	                   	                  	                 	                	R                      	                	                                	                      	                    	R                  	                       	                         	                	                        	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4
