Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Watznaueria barnesae	Micula decussata	Eiffellithus turriseiffelii	Cretarhabdus crenulatus	Tranolithus phacelosus	Prediscosphaera cretacea	Parhabdolithus embergeri	Nannoconus truitti	Nannoconus regularis	Manivitella pemmatoidea	Glaukolithus compactus	Reinhardtites anthophorus	Prediscosphaera cf. ponticula	Placozygus fibuliformis	Lithraphidites carniolensis	Gartnerago obliquum	Gartnerago aff. obliquum (<6 microns)	Eprolithus floralis	Cribrosphaerella ehrenbergii	Chiastozygus litterarius	Stoverius coronatus	Microrhabdulus decoratus	Lucianorhabdus cayeuxii	Nannoconus multicadus	Lithastrinus cf. moratus	Rucinolithus hayi	Haqius circumradiatus	Eiffellithus eximius	Arkhangelskiella cymbiformis	Kamptnerius magnificus	Ahmuellerella octoradiata	Vekshinella stradnerii	Rhagodiscus reniformis	Aspidolithus parcus parcus	Aspidolithus parcus constrictus	Calculites obscurus	Reinhardtites levis	Pervilithus varius	Biscutum constans	Quadrum gothicum	Ceratolithoides aculeus	Quadrum trifidum	Gephyrorhabdus cf. coronadventis	Prediscosphaera honjoi	Rhagodiscus angustus	Vekshinella angusta	Prediscosphaera spinosa	Chiastozygus platyrhethus	Micula praemurus	Lithraphidites quadratus	Micula murus	Coccolithus pelagicus	Toweius gammation	Neococcolithes dubius	Helicosphaera salebrosa	Ericsonia formosa	Discoaster barbadiensis	Clausicoccus fenestratus	Chiasmolithus bidens	Campylosphaera eodela	Calcidiscus protoannulus	Zygrhablithus bijugatus	Sphenolithus spiniger	Sphenolithus predistentus	Sphenolithus moriformis	Sphenolithus intercalaris	Reticulofenestra umbilica	Reticulofenestra hillae	Reticulofenestra dictyoda	Helicosphaera compacta	Discoaster tanii tanii	Discoaster tanii nodifer	Discoaster saipanensis	Discoaster deflandrei	Dictyococcites scrippsae	Dictyococcites bisectus	Cyclicargolithus floridanus	Cribrocentrum reticulatum	Cribrocentrum coenurum	Coccolithus eopelagicus	Chiasmolithus solitus	Chiasmolithus grandis	Bramletteius serraculoides	Sphenolithus obtusus	Lanternithus minutus	Chiasmolithus nitidus	Cruciplacolithus tarquinius	Campylosphaera dela	Sphenolithus furcatolithoides	Helicosphaera euphratis	Helicosphaera bramlettei	Helicosphaera wilcoxonii	Sphenolithus radians	Sphenolithus celsus	Reticulofenestra callida	Chiasmolithus oamaruensis	Chiasmolithus expansus	Discoaster tanii ornatus	Chiasmolithus medius	Comment

  SR	Middle Eocene    	                 	CP15a             	              	160	 967	E	  3	R	 3	  22.00	    131.9200	Staerker 	Nannofossils                                 	               	                  	                    	                	                           	                       	                      	                        	                        	                  	                    	                       	                      	                         	                             	                       	                           	                   	                                     	                   	                            	                        	                   	                        	                       	                     	                        	                 	                     	                    	                            	                      	                         	                      	                      	                          	                               	                   	                   	                  	                 	                	                       	                	                                	                      	                    	                   	                       	                         	                	                        	            	A                    	                 	                     	                       	F                	                       	C                       	                    	                     	R                       	C                      	                     	C                        	A                      	                         	R                        	C                      	A                        	F                     	C                     	F                       	C                     	A                    	R                       	A                      	A                          	                         	                      	                       	                     	                     	                          	R                   	                    	                     	                           	                   	                             	F                      	                        	                        	                    	C                  	R                       	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Middle Eocene    	                 	CP15a             	              	160	 967	E	  4	R	 1	  22.00	    138.5200	Staerker 	Nannofossils                                 	               	                  	                    	                	                           	                       	                      	                        	                        	                  	                    	                       	                      	                         	                             	                       	                           	                   	                                     	                   	                            	                        	                   	                        	                       	                     	                        	                 	                     	                    	                            	                      	                         	                      	                      	                          	                               	                   	                   	                  	                 	                	                       	                	                                	                      	                    	                   	                       	                         	                	                        	            	A                    	                 	                     	                       	R                	R                      	C                       	                    	                     	R                       	C                      	                     	C                        	A                      	                         	F                        	C                      	A                        	R                     	C                     	C                       	C                     	C                    	R                       	A                      	A                          	                         	                      	R                      	                     	                     	                          	                    	                    	                     	                           	                   	                             	F                      	                        	                        	                    	F                  	F                       	R                        	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Middle Eocene    	                 	CP14b             	              	160	 967	E	  4	R	 1	 119.00	    139.4900	Staerker 	Nannofossils                                 	               	                  	                    	                	                           	                       	                      	                        	                        	                  	                    	                       	                      	                         	                             	                       	                           	                   	                                     	                   	                            	                        	                   	                        	                       	                     	                        	                 	                     	                    	                            	                      	                         	                      	                      	                          	                               	                   	                   	                  	                 	                	                       	                	                                	                      	                    	                   	                       	                         	                	                        	            	A                    	                 	                     	                       	C                	F                      	F                       	                    	                     	                        	F                      	                     	C                        	A                      	                         	F                        	C                      	A                        	F                     	F                     	F                       	F                     	F                    	F                       	A                      	A                          	R                        	                      	F                      	                     	                     	                          	                    	                    	                     	                           	                   	                             	F                      	                        	                        	                    	C                  	C                       	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Middle Eocene    	                 	CP14b             	              	160	 967	E	  4	R	 2	  35.00	    140.1300	Staerker 	Nannofossils                                 	               	                  	                    	                	                           	                       	                      	                        	                        	                  	                    	                       	                      	                         	                             	                       	                           	                   	                                     	                   	                            	                        	                   	                        	                       	                     	                        	                 	                     	                    	                            	                      	                         	                      	                      	                          	                               	                   	                   	                  	                 	                	                       	                	                                	                      	                    	                   	                       	                         	                	                        	            	A                    	                 	R                    	                       	C                	C                      	F                       	                    	                     	                        	F                      	                     	C                        	A                      	                         	C                        	                       	A                        	F                     	C                     	F                       	C                     	C                    	F                       	A                      	A                          	                         	                      	F                      	                     	                     	                          	                    	                    	                     	                           	                   	                             	C                      	                        	                        	                    	F                  	F                       	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Middle Eocene    	                 	CP14b             	              	160	 967	E	  4	R	 2	 124.00	    141.0200	Staerker 	Nannofossils                                 	               	                  	                    	                	                           	                       	                      	                        	                        	                  	                    	                       	                      	                         	                             	                       	                           	                   	                                     	                   	                            	                        	                   	                        	                       	                     	                        	                 	                     	                    	                            	                      	                         	                      	                      	                          	                               	                   	                   	                  	                 	                	                       	                	                                	                      	                    	                   	                       	                         	                	                        	            	A                    	                 	                     	                       	A                	C                      	                        	                    	                     	F                       	A                      	                     	                         	A                      	C                        	C                        	F                      	A                        	C                     	F                     	F                       	A                     	F                    	                        	A                      	A                          	F                        	C                     	C                      	                     	F                    	                          	                    	                    	                     	                           	                   	                             	F                      	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4
