Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Turborotalita quinqueloba	Turborotalita humilis	Tenuitellinata sp.	Streptochilus globigerum	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina pachyderma (dextral)	Neogloboquadrina dutertrei	Neogloboquadrina acostaensis	Globigerinita juvenilis	Globigerina bulloides	Globorotalia scitula	Globorotalia inflata	Globigerinita glutinata	Zeaglobigerina decoraperta	Neogloboquadrina humerosa	Neogloboquadrina atlantica (sinistral)	Tenuitella minutissima	Globigerinita uvula	Orbulina universa	Globigerinella obesa	Comment



  SR	Pleistocene      	                 	N.pachyderma(s. W&C)	              	152	 919	A	  1	H	 1	 130.00	      1.3000	Spezzaferri	Planktonic Foraminifers                      	               	                  	T                        	-                    	T                 	T                       	T                                      	R                                    	T                         	T                           	T                      	T                    	-                   	-                   	VR                     	-                         	T                        	-                                     	T                     	VR                 	-                	-                   	From Leg 152SR; Ch 12; Table 9; p. 174

  SR	Pleistocene      	                 	N.pachyderma(s. W&C)	              	152	 919	A	  1	H	 2	  20.00	      1.7000	Spezzaferri	Planktonic Foraminifers                      	               	                  	A                        	-                    	T                 	-                       	T                                      	-                                    	T                         	T                           	-                      	T                    	-                   	-                   	-                      	-                         	T                        	-                                     	-                     	-                  	-                	-                   	From Leg 152SR; Ch 12; Table 9; p. 174

  SR	Pleistocene      	                 	N.pachyderma(s. W&C)	              	152	 919	A	  1	H	 2	  96.00	      2.4600	Spezzaferri	Planktonic Foraminifers                      	               	                  	T                        	-                    	T                 	-                       	T                                      	-                                    	T                         	T                           	-                      	-                    	-                   	-                   	-                      	-                         	T                        	-                                     	-                     	-                  	-                	-                   	From Leg 152SR; Ch 12; Table 9; p. 174

  SR	Pleistocene      	                 	N.pachyderma(s. W&C)	              	152	 919	A	  1	H	 2	 130.00	      2.8000	Spezzaferri	Planktonic Foraminifers                      	               	                  	T                        	-                    	T                 	R                       	T                                      	-                                    	T                         	T                           	-                      	T                    	-                   	-                   	-                      	-                         	T                        	-                                     	-                     	T                  	-                	-                   	From Leg 152SR; Ch 12; Table 9; p. 174

  SR	Pleistocene      	                 	N.pachyderma(s. W&C)	              	152	 919	A	  1	H	 3	  20.00	      3.2000	Spezzaferri	Planktonic Foraminifers                      	               	                  	T                        	-                    	T                 	-                       	T                                      	VR                                   	T                         	-                           	T                      	-                    	-                   	-                   	-                      	-                         	-                        	-                                     	-                     	T                  	-                	-                   	From Leg 152SR; Ch 12; Table 9; p. 174

  SR	Pleistocene      	                 	N.pachyderma(s. W&C)	              	152	 919	A	  1	H	 3	  96.00	      3.9600	Spezzaferri	Planktonic Foraminifers                      	               	                  	T                        	-                    	T                 	-                       	T                                      	-                                    	T                         	-                           	-                      	-                    	-                   	-                   	-                      	-                         	T                        	-                                     	T                     	-                  	-                	-                   	From Leg 152SR; Ch 12; Table 9; p. 174

