Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reinhardtites levis	Micula staurophora	Sphenolithus heteromorphus	Discoaster exilis	Discoaster deflandrei	Cyclicargolithus floridanus	Coronocyclus nitescens	Calcidiscus premacintyrei	Micula murus	Lithraphidites quadratus	Micula prinsii	Cruciplacolithus primus	Cruciplacolithus intermedius	Cruciplacolithus tenuis	Chiasmolithus californicus	Fasciculithus ulii	Fasciculithus tympaniformis	Chiasmolithus consuetus	Sphenolithus anarrhopus	Discoaster neorectus	Discoaster mohleri	Sphenolithus abies	Discoaster nobilis	Discoaster multiradiatus	Tribrachiatus orthostylus	Discoaster sublodoensis	Discoaster lodoensis	Discoaster diastypus	Discoaster barbadiensis	Discoaster kuepperi	Chiasmolithus grandis	Sphenolithus radians	Ericsonia formosa	Chiphragmalithus armatus	Sphenolithus spiniger	Chiasmolithus solitus	Rhabdosphaera inflata	Nannotetrina fulgens	Chiasmolithus oamaruensis	Reticulofenestra umbilica	Discoaster saipanensis	Sphenolithus pseudoradians	Sphenolithus moriformis	Rhabdolithus gladius	Reticulofenestra pseudoumbilicus	Ericsonia subdisticha	Dictyococcites bisectus	Sphenolithus predistentus	Sphenolithus editus	Discoaster tanii	Coccolithus pelagicus	Calcidiscus leptoporus	Discoaster variabilis	Calcidiscus macintyrei	Discoaster quinqueramus	Discoaster pentaradiatus	Ceratolithus rugosus	Discoaster prepentaradiatus	Discoaster berggrenii	Amaurolithus spp.	Amaurolithus primus	Discoaster surculus	Discoaster tamalis	Pseudoemiliania lacunosa	Discoaster brouweri	Gephyrocapsa (small)	Comment



  IR	                 	                 	CN14b             	CN14b         	198	1209	B	  1	H	CC	  23.00	      5.1100	nannos   	Nannofossils                                 	A              	G                 	                   	                  	                          	                 	                     	                           	                      	                         	            	                        	              	                       	                            	                       	                          	                  	                           	                       	                       	                    	                  	                  	                  	                        	                         	                       	                    	                    	                       	                   	                     	                    	                 	                        	                     	                     	                     	                    	                         	                         	                      	                          	                       	                    	                                	                     	                       	                         	                   	                	                     	                      	                     	                      	                       	                        	                    	                           	                     	                 	                   	                   	                  	                        	                   	D                   	       

  IR	                 	                 	CN14a             	CN13b         	198	1209	B	  2	H	CC	  15.00	     14.8500	nannos   	Nannofossils                                 	A              	M                 	                   	                  	                          	                 	                     	                           	                      	                         	            	                        	              	                       	                            	                       	                          	                  	                           	                       	                       	                    	                  	                  	                  	                        	                         	                       	                    	                    	                       	                   	                     	                    	                 	                        	                     	                     	                     	                    	                         	                         	                      	                          	                       	                    	                                	                     	                       	                         	                   	                	                     	                      	                     	                      	                       	                        	                    	                           	                     	                 	                   	                   	                  	C                       	                   	                    	       

  IR	                 	                 	CN13a             	CN13a         	198	1209	B	  3	H	CC	  22.00	     24.5700	nannos   	Nannofossils                                 	A              	M                 	                   	                  	                          	                 	                     	                           	                      	                         	            	                        	              	                       	                            	                       	                          	                  	                           	                       	                       	                    	                  	                  	                  	                        	                         	                       	                    	                    	                       	                   	                     	                    	                 	                        	                     	                     	                     	                    	                         	                         	                      	                          	                       	                    	                                	                     	                       	                         	                   	                	                     	                      	                     	C                     	                       	                        	                    	                           	                     	                 	                   	                   	                  	C                       	                   	                    	       

  IR	                 	                 	CN12b             	CN12b         	198	1209	B	  4	H	CC	  19.00	     34.1200	nannos   	Nannofossils                                 	A              	M                 	                   	                  	                          	                 	                     	                           	                      	                         	            	                        	              	                       	                            	                       	                          	                  	                           	                       	                       	                    	                  	                  	                  	                        	                         	                       	                    	                    	                       	                   	                     	                    	                 	                        	                     	                     	                     	                    	                         	                         	                      	                          	                       	                    	                                	                     	                       	                         	                   	                	                     	                      	                     	C                     	                       	R                       	                    	                           	                     	                 	                   	R                  	                  	+                       	R                  	                    	       
