Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Xanthiopyxis spp.,Trochosira spinosa,Thalassiosira nansenii/media convexa transitional,Stictodiscus aff. kittonianus,Stephanopyxis spp.,Stephanogonia polycantha,Stellarima spp.,Sceptroneis tenue,Sceptroneis spp.,Sceptroneis praecaducea,Sceptroneis grunowii,Rocella praenitida,Pyxilla oligocaenica var. tenuis,Pyxilla oligocaenica,Pterotheca spp.,Pseudotriceratium radiosoreticulatum,Pseudopyxilla spp.,Pseudopodosira bella,Paralia sulcata,Paralia crenulata,Macrora spp.,Hemiaulus spp.,Hemiaulus polycystinorum,Hemiaulus hostilis,Grunowiella gemmata,Grammatophora spp.,Goniothecium decoratum,Freshwater diatoms,Eurossia irregularis,Drepanotheca bivittata,Distephanosira architecturalis,Cymatosira spp.,Cymatosira praecompacta,Craspedodiscus moelleri,Coscinodiscus spp.,Cocconeis spp.,Chaetoceros? setae?,Chaetoceros spp. and similar spores,Cestodiscus sp. B,Cavitatus jouseanus,Biddulphia spp.,Azpeitia tuberculata var. atlantica,Azpeitia oligocenica,Asteromphalus oligocenicus,Actinoptychus undulatus,Actinoptychus thumii,Actinoptychus senarius,Rhizosolenia oligocaenica,Rhaphoneis aff. amphiceros,Pseudopodosira spp.,Melosira ignota,Hyalodiscus spp.,Diploneis spp.,Delphineis spp.,Cestodiscus pulchellus var. novazelandica,Rhizosolenia spp.,Rhizosolenia pokrovskajae,Detonia? sp. A,Sceptroneis humuncia var. rondipora,Sceptroneis fennerae,Rhaphoneis spp.,Mastogloia spp.,Hyalodiscus subtilus,Eunotogramma spp.,Endictya spp.,Craspedodiscus sp. A,Cestodiscus sp. A,Arachnoidiscus sp.,Rhizosolenia sp. A,Fragilaria sp. A,Fragilaria miocenica,Trinacria excavata,Triceratium favus,Rhabdonema sp.,Pleurosigma planktonica,Goniothecium odontella,Cestodiscus pulchellus,Cymatosira compacta,Actinoptychus spp.,Skeletonema utriculosa,Solium exculptum,Rouxia sp. A,Eurossia irregularis var. incurvatus,Cyclotella sp. A,Actinoptychus splendens,Thalassiosira nansenii,Tetracyclus sp.,Rhaphoneis angulata,Clavicula polymorpha,Anaulus spp.,Trinacria simulacrum,Trinacria cornuta,Odontotropis carinata,Neodelphineis pelagica,Coscinodiscus radiatus,Asterolampra sp.,Sceptroneis talwanii,Rhaphoneis elongata,Odontella spp.,Isthmia sp.,Actinoptychus irregularis,Triceratium inconspicuum var. trilobata,Glyphodiscus sp.,Detonia? sp. B,Coscinodiscus marginatus,Aulacodiscus sp.,Asteromphalus flabellatus,Sceptroneis pupa/grunowii transitional forms,Riedelia claviger,Goniothecium coronatum,Asteromphalus? aff. symmetricus?,Licmophora sp.,Sceptroneis vermiformis,Rutilaria areolata,Tumulopsis fogedi,Sceptroneis pupa,Rhizosolenia oligocaenica var. styliforma,Kannoa sp.,Hemiaulus danicus,Rhizosolenia oligocaenica var. A,Lithodesmium rotunda,Triceratium schultzii,Sheshukovia spp.,Coscinodiscus bulliens,Pseudostictodiscus picus,Sceptroneis propinqua,Hemiaulus kittonii,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,S. pupa           ,              ,151, 908,A, 21,X, 2, 146.00,    190.0600,Scherer  ,Diatoms                                      ,A              ,G                 ,C                ,R                 ,                                                 ,                             ,C                 ,F                       ,               ,R                ,A               ,C                      ,R                   ,R                 ,                                ,                    ,F              ,R                                   ,F                 ,                    ,F              ,F                ,            ,              ,                        ,                  ,                   ,                  ,F                     ,R                 ,R                   ,R                     ,                              ,               ,                       ,                       ,R                 ,R             ,F                  ,A                                  ,                 ,F                  ,               ,                                   ,F                   ,R                         ,F                      ,                    ,R                     ,C                        ,R                         ,F                  ,               ,F               ,R             ,               ,                                         ,                   ,R                          ,                ,                                   ,                    ,R              ,               ,                    ,                 ,             ,                    ,                 ,                  ,                    ,                  ,                      ,R                 ,                 ,              ,                       ,R                     ,                      ,                   ,                  ,                        ,                ,            ,                                    ,                ,                       ,                      ,               ,                   ,                    ,            ,                    ,                 ,                     ,                      ,                      ,                ,                    ,                   ,              ,           ,                         ,                                       ,                ,                ,R                       ,                ,                         ,                                            ,                 ,R                     ,                                ,              ,R                      ,                  ,                 ,R               ,F                                        ,          ,                 ,                                ,                    ,                     ,                ,                      ,                        ,R                    ,R                 ,from Leg 151SR; Ch 5; Fig. 2; Table 3&4; pp. 77-83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,S. pupa           ,              ,151, 908,A, 21,X, 3,  30.00,    190.4000,Scherer  ,Diatoms                                      ,A              ,G                 ,C                ,F                 ,                                                 ,                             ,C                 ,                        ,R              ,R                ,C               ,C                      ,R                   ,R                 ,R                               ,R                   ,R              ,R                                   ,C                 ,R                   ,F              ,F                ,            ,R             ,                        ,                  ,R                  ,F                 ,R                     ,R                 ,R                   ,                      ,                              ,               ,                       ,                       ,R                 ,R             ,F                  ,A                                  ,F                ,F                  ,               ,R                                  ,R                   ,                          ,                       ,                    ,R                     ,F                        ,R                         ,                   ,               ,                ,R             ,               ,                                         ,R                  ,                           ,R               ,R                                  ,                    ,R              ,R              ,F                   ,                 ,             ,                    ,                 ,                  ,                    ,                  ,                      ,                  ,R                ,              ,R                      ,R                     ,                      ,R                  ,                  ,                        ,                ,            ,                                    ,                ,                       ,R                     ,               ,                   ,                    ,            ,                    ,                 ,                     ,R                     ,                      ,                ,                    ,                   ,              ,           ,                         ,                                       ,                ,                ,                        ,                ,                         ,R                                           ,                 ,                      ,                                ,              ,R                      ,                  ,                 ,R               ,C                                        ,          ,                 ,R                               ,                    ,R                    ,                ,                      ,R                       ,                     ,                  ,from Leg 151SR; Ch 5; Fig. 2; Table 3&4; pp. 77-83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,S. pupa           ,              ,151, 908,A, 21,X, 4,  15.00,    191.7500,Scherer  ,Diatoms                                      ,A              ,G                 ,F                ,F                 ,                                                 ,                             ,F                 ,R                       ,R              ,F                ,C               ,C                      ,                    ,                  ,R                               ,R                   ,F              ,                                    ,F                 ,F                   ,C              ,F                ,            ,R             ,                        ,                  ,R                  ,R                 ,C                     ,F                 ,                    ,                      ,                              ,R              ,                       ,                       ,F                 ,R             ,F                  ,A                                  ,R                ,F                  ,R              ,R                                  ,                    ,                          ,R                      ,R                   ,                      ,C                        ,                          ,R                  ,               ,                ,              ,               ,                                         ,F                  ,                           ,                ,R                                  ,                    ,               ,               ,                    ,                 ,             ,                    ,                 ,                  ,R                   ,                  ,                      ,R                 ,                 ,              ,                       ,R                     ,                      ,R                  ,                  ,                        ,                ,            ,                                    ,                ,                       ,R                     ,               ,                   ,                    ,            ,                    ,                 ,                     ,                      ,                      ,                ,                    ,                   ,R             ,           ,                         ,                                       ,                ,                ,                        ,                ,                         ,R                                           ,                 ,R                     ,                                ,              ,                       ,                  ,R                ,R               ,R                                        ,          ,                 ,                                ,                    ,                     ,                ,                      ,                        ,                     ,                  ,from Leg 151SR; Ch 5; Fig. 2; Table 3&4; pp. 77-83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,S. pupa           ,              ,151, 908,A, 23,X, 2,  81.00,    208.6100,Scherer  ,Diatoms                                      ,A              ,G                 ,C                ,F                 ,                                                 ,                             ,A                 ,R                       ,R              ,F                ,C               ,C                      ,R                   ,                  ,R                               ,R                   ,F              ,                                    ,F                 ,F                   ,A              ,F                ,            ,R             ,                        ,                  ,R                  ,F                 ,F                     ,F                 ,                    ,                      ,                              ,               ,                       ,                       ,R                 ,R             ,C                  ,A                                  ,F                ,R                  ,               ,R                                  ,F                   ,                          ,R                      ,                    ,                      ,C                        ,F                         ,F                  ,R              ,                ,R             ,               ,R                                        ,F                  ,R                          ,                ,                                   ,                    ,               ,               ,                    ,                 ,             ,                    ,R                ,                  ,R                   ,                  ,                      ,                  ,                 ,              ,                       ,                      ,                      ,                   ,                  ,                        ,                ,            ,                                    ,                ,                       ,R                     ,               ,                   ,R                   ,R           ,                    ,                 ,                     ,                      ,                      ,                ,                    ,                   ,              ,           ,                         ,                                       ,                ,                ,                        ,                ,                         ,R                                           ,                 ,                      ,                                ,              ,                       ,                  ,                 ,R               ,                                         ,          ,                 ,                                ,                    ,                     ,                ,                      ,                        ,                     ,                  ,from Leg 151SR; Ch 5; Fig. 2; Table 3&4; pp. 77-83
