Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Coscinodiscus marginatus,Thalassionema nitzschioides,Sponge spicules,Actinocyclus tsugaruensis,Actinocyclus ingens,Denticulopsis praedimorpha,Denticulopsis lauta s.l.,Denticulopsis hyalina,Denticulopsis hustedtii,Thalassionema nitzschioides  var. parva,Denticulopsis lauta,Thalassiosira convexa,Paralia sulcata,Thalassiothrix longissima,Crucidenticula punctata,Crucidenticula nicobarica,Rhizosolenia barboi,Denticulopsis dimorpha,Synedra jouseana,Stephanopyxis turris,Neodenticula koizumii,Aulacosira granulata,Actinocyclus ingens  var. nodus,Coscinodiscus marginatus f. fossilis,Stephanopyxis sp.,Coscinodiscus sp.,Neodenticula seminae,Thalassionema robusta,Denticulopsis katayamae,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1012,A,  1,H,CC,  21.00,      4.6800,Maruyama ,Diatoms                                      ,T              ,P                 ,+                       ,                           ,F              ,                         ,                   ,                          ,                        ,                     ,                       ,                                       ,                   ,                     ,               ,                         ,                       ,                         ,                   ,                      ,                ,                    ,                     ,                    ,                               ,                                    ,                 ,                 ,                    ,                     ,                       ,few diatom fragments.from IR. Ch 6. Table 7.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1012,A,  3,H,CC,  21.00,     24.1200,Maruyama ,Diatoms                                      ,R              ,P                 ,F                       ,+                          ,               ,                         ,+                  ,+                         ,                        ,                     ,+                      ,                                       ,                   ,                     ,               ,+                        ,                       ,                         ,                   ,                      ,                ,+                   ,                     ,                    ,                               ,                                    ,                 ,                 ,T                   ,                     ,+                      ,from IR. Ch 6. Table 7.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1012,A,  4,H,CC,  20.00,     33.6600,Maruyama ,Diatoms                                      ,T              ,P                 ,                        ,                           ,               ,                         ,+                  ,                          ,                        ,                     ,                       ,                                       ,                   ,                     ,               ,                         ,                       ,                         ,                   ,                      ,                ,                    ,                     ,                    ,                               ,                                    ,                 ,                 ,                    ,                     ,                       ,from IR. Ch 6. Table 7.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1012,A,  5,H,CC,  22.00,     43.2900,Maruyama ,Diatoms                                      ,T              ,P                 ,+                       ,                           ,               ,                         ,                   ,                          ,                        ,                     ,                       ,                                       ,                   ,                     ,               ,                         ,                       ,                         ,                   ,                      ,                ,                    ,                     ,                    ,                               ,                                    ,                 ,                 ,                    ,                     ,                       ,from IR. Ch 6. Table 7.
