Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Toweius tovae,Toweius pertusus,Toweius eminens,Prinsius bisulcus,Placozygus sigmoides,Neochiastozygus junctus,Fasciculithus tympaniformis group,Discoaster multiradiatus,Chiasmolithus spp. (rims),Chiasmolithus solitus,Toweius crassus,Coccolithus pelagicus,Chiasmolithus consuetus,Zygrhablithus bijugatus,Thoracosphaera operculata,Sphenolithus sp.,Neococcolithes protenus,Neochiastozygus distentus,Discoaster robustus,Tribrachiatus orthostylus,Toweius magnicrassus,Sphenolithus radians,Reticulofenestra dictyoda,Discoaster kuepperi,Cruciplacolithus latipons,Chiphragmalithus calathus,Chiasmolithus expansus,Reticulofenestra hillae,Neococcolithes dubius,Markalius inversus,Discoaster spp.,Toweius sp. cf. T.gammation,Helicosphaera seminulum,Discoaster lodoensis,Discoaster barbadiensis,Cyclicargolithus luminis,Coccolithus formosus,Chiasmolithus grandis,Ellipsolithus distichus,Discoaster wemmelensis,Discoaster sublodoensis,Coccolithus (unspecified taxon or taxa),Discoaster binodosus,Placolith (small),Cruciplacolithus vanheckae,Blackites sp. aff. B.spinosus,Reticulofenestra umbilica,Discoaster saipanensis,Nannotetrina fulgens/cristata,Chiasmolithus titus,Calcidiscus protoannulus,Sphenolithus furcatolithoides,Pyrocyclus inversus,Cribrocentrum coenurum,Sphenolithus moriformis,Reticulofenestra cf. bisecta,Reticulofenestra daviesii group,Reticulofenestra bisecta,Helicosphaera dinesenii,Thoracosphaera saxea,Pontosphaera plana,Helicosphaera sp.,Ericsonia sp.,Ericsonia formosa,Dictyococcites scrippsae,Dictyococcites bisectus,Cyclicargolithus floridanus,Cribrocentrum reticulatum,Coronocyclus nitescens,Coccolithus pelagicus-eopelagicus,Chiasmolithus sp.,Chiasmolithus oamaruensis,Bramletteius serraculoides,Blackites spinosus,Birkelundia staurion,Cyclicargolithus sp. cf. C. marismontium,Reticulofenestra samodurovii,Clausicoccus obrutus,Cyclicargolithus cf. floridanus,Reticulofenestra sp. cf. R.dictyoda,Reticulofenestra daviesii,Sphenolithus predistentus,Isthmolithus recurvus,Clausicoccus subdistichus,Calcidiscus kingii,Reticulofenestra oamaruensis,Clausicoccus fenestratus,Discoaster sp.,Discoaster deflandrei,Chiasmolithus altus,Discoaster tanii nodifer,Cyclicargolithus cf. abisectus,Reticulofenestra sp. (small),Helicosphaera euphratis,Cyclicargolithus abisectus,Pyrocyclus hermosus,Discoaster adamanteus,Gephyrocapsa spp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,Quaternary       ,                  ,              ,114, 699,A,  2,H, 2,  15.00,     10.2500,Crux     ,Nannofossils                                 ,               ,                  ,             ,                ,               ,                 ,                    ,                       ,                                 ,                        ,                         ,                     ,               ,R                    ,                       ,                       ,                         ,                ,                       ,                         ,                   ,                         ,                    ,                    ,                         ,                   ,                         ,                         ,                      ,                       ,                     ,                  ,               ,                           ,                       ,                    ,                       ,                        ,                    ,                     ,                       ,                      ,                       ,                                       ,                    ,                 ,                          ,                             ,                         ,                      ,                             ,                   ,                        ,                             ,                   ,                      ,                       ,                            ,                               ,                        ,                       ,                    ,                  ,                 ,             ,                 ,                        ,                       ,                           ,                         ,                      ,                                 ,                 ,                         ,                          ,                  ,                    ,                                        ,                            ,                    ,                               ,                                   ,                         ,                         ,                     ,                         ,                  ,                            ,                        ,              ,                     ,                   ,                        ,                              ,                            ,                       ,                          ,                   ,                     ,                 ,Reworked coccoliths from ODP Leg 114 SR Chapter 7 Table 1 p.157
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,Quaternary       ,                  ,              ,114, 699,A,  2,H, 4,   5.00,     13.1500,Crux     ,Nannofossils                                 ,R              ,P                 ,             ,                ,               ,                 ,                    ,                       ,                                 ,                        ,                         ,                     ,               ,                     ,                       ,                       ,                         ,                ,                       ,                         ,                   ,                         ,                    ,                    ,                         ,                   ,                         ,                         ,                      ,                       ,                     ,                  ,               ,                           ,                       ,                    ,                       ,                        ,                    ,                     ,                       ,                      ,                       ,                                       ,                    ,                 ,                          ,                             ,                         ,                      ,                             ,                   ,                        ,                             ,                   ,                      ,                       ,                            ,                               ,                        ,                       ,                    ,                  ,                 ,             ,                 ,                        ,                       ,                           ,                         ,                      ,                                 ,                 ,                         ,                          ,                  ,                    ,                                        ,                            ,                    ,                               ,                                   ,                         ,                         ,                     ,                         ,                  ,                            ,                        ,              ,                     ,                   ,                        ,                              ,                            ,                       ,                          ,R                  ,                     ,R                ,Etched coccolith from ODP Leg 114 SR Chapter 7 Table 1 p.157
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,Quaternary       ,                  ,              ,114, 699,A,  8,H, 6,  19.00,     73.2900,Crux     ,Nannofossils                                 ,               ,                  ,             ,                ,               ,                 ,                    ,                       ,                                 ,                        ,                         ,                     ,               ,R                    ,                       ,                       ,                         ,                ,                       ,                         ,                   ,                         ,                    ,                    ,                         ,                   ,                         ,                         ,                      ,                       ,                     ,                  ,               ,                           ,                       ,                    ,                       ,                        ,                    ,                     ,                       ,                      ,                       ,                                       ,                    ,                 ,                          ,                             ,                         ,                      ,                             ,                   ,                        ,                             ,                   ,                      ,                       ,                            ,                               ,                        ,                       ,                    ,                  ,                 ,             ,                 ,                        ,                       ,                           ,                         ,                      ,                                 ,                 ,                         ,                          ,                  ,                    ,                                        ,                            ,                    ,                               ,                                   ,                         ,                         ,                     ,                         ,                  ,                            ,                        ,              ,                     ,                   ,                        ,                              ,                            ,                       ,                          ,                   ,                     ,                 ,from ODP Leg 114 SR Chapter 7 Table 1 p.157
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,Quaternary       ,                  ,              ,114, 699,A,  9,H, 4,  54.00,     80.1400,Crux     ,Nannofossils                                 ,R              ,                  ,             ,                ,               ,                 ,                    ,                       ,                                 ,                        ,                         ,                     ,               ,F                    ,                       ,                       ,                         ,                ,                       ,                         ,                   ,                         ,                    ,                    ,                         ,                   ,                         ,                         ,                      ,                       ,                     ,                  ,               ,                           ,                       ,                    ,                       ,                        ,                    ,                     ,                       ,                      ,                       ,                                       ,                    ,                 ,                          ,                             ,                         ,                      ,                             ,                   ,                        ,                             ,                   ,                      ,                       ,                            ,                               ,                        ,                       ,                    ,                  ,                 ,             ,                 ,                        ,                       ,                           ,                         ,                      ,                                 ,                 ,                         ,                          ,                  ,                    ,                                        ,                            ,                    ,                               ,                                   ,                         ,                         ,                     ,                         ,                  ,                            ,                        ,              ,                     ,                   ,                        ,                              ,                            ,                       ,                          ,                   ,                     ,                 ,from ODP Leg 114 SR Chapter 7 Table 1 p.157
