Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Haplophragmoides spp.	Globobulimina pacifica	Calcareous spp. (indeterminate)	Uvigerina subperegrina	Oridorsalis umbonatus	Melonis pompilioides	Martinottiella communis	Gyroidina spp.	Gyroidina soldanii rotundimargo	Cibicides spp.	Cassidulina norcrossi	Bulimina subcalva	Buccella tenerrima	Agglutinated spp. (indeterminate)	Uvigerina senticosa	Uvigerina hootsi	Pullenia bulloides	Plectofrondicularia sp.	Nodosaria spp.	Gyroidina soldanii altiformis	Fissurina spp.	Eponides sp.	Stilostomella spp.	Nodosaria spp. (costate forms)	Dentalina spp.	Cibicidoides spp.	Cibicidoides mckannai	Bulimina exilis	Bulimina barbata	Pyrgo sp.	Melonis barleeanus	Epistominella sp.	Epistominella pacifica	Cibicidoides wuellerstorfi	Cassidulina californica	Buliminella curta	Bulimina striata mexicana	Bulimina sp.	Bolivina argentea	Valvulineria araucana	Uvigerina peregrina	Uvigerina hispida	Quinqueloculina sp.	Hoeglundina elegans	Cassidulina translucens	Valvulineria spp.	Uvigerina sp.	Eponides healdi	Uvigerina garzaensis	Tritaxilina colei	Trifarina hannai	Plectofrondicularia californica	Lenticulina texana	Lenticulina spp.	Gyroidina orbicularis planata	Eponides minima	Cyclammina sp.	Cibicides sp.	Cibicides perlucida	Chilostomella ovoidea	Cassidulina globosa	Bulimina microcostata	Bulimina jacksonensis welcomensis	Buccella oregonensis	Anomalina sp.	Lagena spp.	Nonionella turgida digitata	Globocassidulina subglobosa	Bulimina subacuminata	Globobulimina affinis	Bolivina spissa	Sphaeroidina bulloides	Buliminella subfusiformis	Silicosigmoilina sp.	Nonionella labradorica	Cassidulina spp.	Glandulina laevigata	Triloculina sp.	Nonionella globosa	Cassidulinoides bradyi	Nonionella miocenica	Fursenkoina sp.	Cassidulina carinata	Bolivina spp.	Tosaia hanzawai	Fursenkoina bradyi	Elphidium spp.	Eggerella bradyi	Chilostomella oolina	Bulimina aculeata	Bolivina translucens	Uvigerina dirupta	Laticarinina pauperata	Cassidulina limbata	Comment



  SR	                 	                 	                  	              	146	 892	D	  1	X	 1	   7.00	      0.0700	Zellers  	Benthic Foraminifers                         	               	G                 	                     	C                     	R                              	R                     	                     	                    	R                      	              	                               	S             	                     	                 	                  	                                 	                   	                	R                 	R                      	S             	R                            	S             	            	R                 	                              	S             	S                	R                    	R              	                	         	R                 	                 	S                     	                          	                       	                 	F                        	            	                 	                     	R                  	R                	                   	                   	R                      	S                	             	               	                    	                 	                	                               	                  	                	                             	               	              	             	                   	                     	                   	                     	                                 	                    	             	R          	                           	                           	S                    	S                    	               	                      	                         	                    	                      	                	                    	S              	                  	                      	R                   	               	                    	S            	               	                  	              	                	                    	R                	                    	R                	S                     	S                  	from Leg 146 SR; Ch 5; Table 6; pp. 108-110

  SR	                 	                 	                  	              	146	 892	D	  2	X	 1	   1.00	      8.5100	Zellers  	Benthic Foraminifers                         	               	M                 	                     	S                     	S                              	F                     	R                    	S                   	                       	              	S                              	S             	                     	                 	                  	                                 	                   	R               	R                 	R                      	F             	S                            	              	S           	F                 	R                             	R             	S                	F                    	               	R               	R        	C                 	                 	S                     	                          	                       	                 	F                        	            	                 	R                    	                   	R                	                   	                   	                       	R                	S            	               	                    	                 	                	                               	                  	S               	                             	               	              	             	                   	                     	                   	                     	                                 	                    	S            	F          	                           	R                          	                     	S                    	               	                      	                         	                    	                      	                	S                   	R              	                  	                      	                    	R              	                    	S            	R              	R                 	S             	R               	F                   	R                	S                   	                 	                      	                   	from Leg 146 SR; Ch 5; Table 6; pp. 108-110

  SR	                 	                 	                  	              	146	 892	D	  2	X	CC	   7.00	     11.7100	Zellers  	Benthic Foraminifers                         	               	M                 	                     	F                     	                               	R                     	                     	R                   	                       	              	                               	S             	                     	                 	                  	                                 	R                  	R               	R                 	S                      	S             	S                            	S             	            	S                 	S                             	S             	S                	                     	R              	                	         	                  	                 	                      	S                         	                       	                 	R                        	            	                 	                     	S                  	                 	                   	                   	                       	                 	             	               	                    	                 	                	                               	                  	                	                             	               	              	             	                   	                     	                   	                     	                                 	                    	             	           	                           	                           	                     	                     	R              	                      	                         	                    	                      	S               	                    	               	                  	                      	                    	               	                    	S            	               	                  	              	                	                    	                 	                    	                 	                      	                   	from Leg 146 SR; Ch 5; Table 6; pp. 108-110

  SR	                 	                 	                  	              	146	 892	D	  3	X	CC	   0.00	     18.7800	Zellers  	Benthic Foraminifers                         	               	G                 	                     	F                     	                               	                      	S                    	R                   	                       	              	                               	S             	                     	                 	                  	                                 	R                  	                	                  	                       	R             	                             	R             	            	R                 	                              	              	                 	                     	R              	                	         	S                 	                 	                      	R                         	                       	                 	R                        	            	                 	                     	                   	                 	S                  	                   	S                      	                 	             	               	                    	                 	                	                               	                  	                	                             	               	              	             	                   	                     	                   	                     	                                 	                    	             	           	                           	                           	                     	                     	               	                      	                         	                    	                      	                	                    	               	                  	                      	                    	               	                    	             	               	                  	              	                	                    	                 	                    	                 	                      	                   	from Leg 146 SR; Ch 5; Table 6; pp. 108-110
