leg,site,hole,core,coretype,section,observer,top interval,piece number top,sub piece top,bottom interval,piece number bottom,sub piece bottom,lithology,color,color number,structures,drilling deformities,unusual occurrences,minerals,paleontology,other,induration,more data available,code,latitude,longitude,depth,top interval depth below sea floor,bottom interval depth below sea floor
124E,777,A,001,Hydraulic (Advanced) Piston Core,01,DRB,000,,,140,,,clay with manganese nodule at 137cm,"dark yellowish brown w/ light to medium orange? brown layers?/lenses at 93,123cm","10yr 3/4 w/ light to medium orange? 7.5yr 5/4 layers?/lenses at 93,123cm","~3cm in diameter manganese nodule(137cm); laminae/volcanic ash lenses?(93,123cm); massive",highly fragmented(0-8cm); moderately disturbed(8-140cm),"~3cm in diameter manganese nodule(137cm); volcanic ash lenses?(93,123cm)","~3cm in diameter manganese nodule(137cm); volcanic ash lenses?(93,123cm)",,"isolated, rounded manganese nodule(137cm);hemipelagic clay",very soft/soupy(0-8cm); very firm(102-105cm); soft to firm and slightly consolidated,,H,17.69780,148.68810,0001.00,100,240
124E,777,A,001,Hydraulic (Advanced) Piston Core,01,DRB,140,,,150,,,interstitial water sample(140-150cm),,,,,,,,,,,H,17.69780,148.68810,0001.00,240,250
124E,777,A,001,Hydraulic (Advanced) Piston Core,02,WDR,000,,,140,,,clay with manganese nodule at 71cm,reddish brown with light? to medium? orange? brown layer at 85-86cm,5yr 4/3 w/ light? to medium? orange? 7.5yr 5/4? layer at 85-86cm,silty layer(85-86cm); ~3cm indiameter manganese nodule(71cm),"slightly disturbed(12-31,41-90,102-136cm or 0-140cm)",~3cm in diameter manganese nodule(71cm),~3cm in diameter manganese nodule(71cm),,"silty layer(85-86cm); isolated, rounded manganese nodule(71cm); hemipelagic clay",,,H,17.69780,148.68810,0002.50,250,390
124E,777,A,001,Hydraulic (Advanced) Piston Core,02,WDR,140,,,150,,,interstitial water sample(140-150cm),,,,,,,,,,,H,17.69780,148.68810,0002.50,390,400
124E,777,A,001,Hydraulic (Advanced) Piston Core,03,WDR,000,,,150,,,clay,reddish brown,5yr 4/3,,"slightly disturbed(0-3,10-70,94-112cm or 0-150cm)",,,,hemipelagic clay,,,H,17.69780,148.68810,0004.00,400,550
124E,777,A,001,Hydraulic (Advanced) Piston Core,04,DRB,000,,,140,,,clay,dark reddish brown w/ light to medium orange? brown ~0.7cm volcanic ash? nodule/layer? at 102cm(0-140cm),5yr 3/3 w/ light to medium orange? 7.5yr 5/4 ~0.7cm volcanic ash? nodule/layer? at 102cm(0-140cm),massive,slightly disturbed,0.7cm volcanic ash? nodule(102cm),0.7cm volcanic ash? nodule(102cm),,hemipelagic clay,very soft/soft,,H,17.69780,148.68810,0005.50,550,690
124E,777,A,001,Hydraulic (Advanced) Piston Core,04,DRB,140,,,150,,,interstitial water sample(140-150cm),,,,,,,,,,,H,17.69780,148.68810,0005.50,690,700
124E,777,A,001,Hydraulic (Advanced) Piston Core,05,WDR,000,,,130,,,clay,reddish brown w/ lighter colored layer at 110-112cm(0-130cm),5yr 4/3,silty layer(110-112cm),slightly disturbed?,,,,hemipelagic clay,,,H,17.69780,148.68810,0007.00,700,830
124E,777,A,001,Hydraulic (Advanced) Piston Core,05,WDR,130,,,150,,,organic geochemistry sample(130-140cm); interstitial water sample(140-150cm),,,,,,,,,,,H,17.69780,148.68810,0007.00,830,850
124E,777,A,001,Hydraulic (Advanced) Piston Core,06,WDR,000,,,140,,,clay,reddish brown w/ scattered black streaks and flecks at 75-140cm(0-140cm),5yr 4/3,,slightly disturbed?,,,organic matter?(75-140cm),hemipelagic clay,,,H,17.69780,148.68810,0008.50,850,990
124E,777,A,001,Hydraulic (Advanced) Piston Core,06,WDR,140,,,150,,,interstitial water sample(140-150cm),,,,,,,,,,,H,17.69780,148.68810,0008.50,990,1000
124E,777,A,001,Hydraulic (Advanced) Piston Core,07,WDR,000,,,080,,,clay,reddish brown,5yr 4/3,,slightly disturbed?,,,,hemipelagic clay,,,H,17.69780,148.68810,0010.00,1000,1080
124E,777,A,001,Hydraulic (Advanced) Piston Core,CC,WDR,000,,,026,,,clay,reddish brown,5yr 4/3,,slightly disturbed?,,,,hemipelagic clay,,,H,17.69780,148.68810,0010.80,1080,1106
124E,777,A,002,Extended Core Barrel,01,DRB,000,,,074,,,clay,dark brown,7.5yr 3/4,massive,moderately disturbed(0-70cm); soupy(70-74cm),,,,hole-in-fill(0-7cm); hemipelagic clay,soft to very soft; more firm at 0-7cm,,X,17.69780,148.68810,0010.50,1050,1124
124E,777,A,002,Extended Core Barrel,CC,RBM,000,,,031,,,clay,dark brown,7.5yr 3/4,,moderately disturbed,,,,hemipelagic clay,,,X,17.69780,148.68810,0011.28,1127,1158
124E,777,A,003,Extended Core Barrel,01,DRB,000,,,080,,,clay,"dark brown w/ lighter color bands @ 41-70cm,light colored clay at 70-77cm(0-41,70-80cm); strong brown w/ reddish yellow layer at 50-52cm(41-70cm)","7.5yr 3/4(0-16cm); 7.5yr 3/2(16-41,70-80cm); 7.5yr 5/6 w/ 7.5yr 7/8 layer at 50-52cm(41-70cm)",massive; 10 degrees dipping layer(50-52cm); laminae?(78-80cm); mottling(41-70cm);color bands(41-70cm),"moderately(0-10,16-70cm) to highly(10-16,70-77cm) disturbed or moderately disturbed(0-80cm)",,,,hemipelagic clay;sticky(41-70cm),"soft to very soft(very soft @ 0-16,70-77cm;soft @ 41-70cm)",,X,17.69780,148.68810,0018.50,1850,1930
124E,777,A,003,Extended Core Barrel,CC,DRB,000,,,015,,,clay,"dark brown,mottled(0-6cm); dark reddish brown(6-15cm)",7.5yr 3/4(0-6cm); 5yr 3/3(6-15cm),massive; mottling(0-6cm),moderately disturbed,,,,hemipelagic clay,soft,,X,17.69780,148.68810,0019.32,1931,1946
