Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sliterella lobulata	Pleurostomella spp.	Osangularia plummerae	Oridorsalis umbonatus	Nuttallides truempyi	Lenticulina spp.	Gyroidinoides globosa	Gaudryina pyramidata	Dentalina spp.	Buliminella grata	Aragonia velascoensis	Osangularia mexicana	Oridorsalis tener	Marssonella trochoides	Gyroidinoides spp.	Aragonia ouezzanensis	Tritaxa spp.	Pyramidina szajnochae	Pullenia cretacea	Stilostomella subspinosa	Stilostomella spp.	Spiroplectammina jarvisi	Quadratobuliminella pyramidalis	Conorbinoides hillebrandti	Bulimina trinitatensis	Osangularia velascoensis	Nodosaria spp.	Neoflabellina jarvisi	Bulimina semicostata	Bathysiphon spp.	Orthomorphina spp.	Clinapertina complanata	Bulimina jarvisi	Vulvulina spinosa	Stilostomella abyssorum	Rectuvigerina spp.	Plectofrondicularia paucicostata	Linaresia grimsdalei	Karreriella bradyi	Globocassidulina subglobosa	Cibicidoides praemundulus	Bulimina velascoensis	Bulimina impendens	Bulimina elongata	Stilostomella gracillima	Nonion spp.	Cibicidoides subhaidingeri	Cibicidoides spp.	Cibicidoides incrassatus	Bolivina huneri	Gyroidinoides girardanus	Cibicidoides eocaenus	Cibicidoides dohmi	Gyroidinoides neosoldanii	Uvigerina hispida	Pyrgo murrhina	Pyrgo lucernula	Martinottiella sp.	Eggerella bradyi	Cibicidoides wuellerstorfi	Cibicidoides mundulus	Chrysalogonium longicostatum	Anomalinoides globulosus	Uvigerina senticosa	Pullenia bulloides	Parafissurina spp.	Uvigerina peregrina	Cibicidoides robertsonianus	Comment
  IR	                 	                 	                  	              	198	1211	B	 12	H	CC	  11.00	    110.7500	benthics 	Benthic Foraminifers                         	R              	M                 	                   	R                  	                     	                     	F                   	T               	                     	                    	              	T                	                     	                    	                 	                      	                  	                     	            	                     	                 	                        	                  	                        	                               	                          	                      	                        	              	                     	T                   	T               	R                 	T                      	R               	                 	                       	                  	                                	                    	                  	                           	                         	                     	                  	                 	                        	           	                          	                 	                        	               	                        	                     	                  	                         	                 	              	               	                  	                	                          	                     	                            	                        	                   	                  	                  	                   	                           	       

  IR	                 	                 	                  	              	198	1211	B	 13	H	CC	  11.00	    120.3900	benthics 	Benthic Foraminifers                         	R              	M                 	                   	                   	                     	R                    	R                   	T               	                     	                    	              	F                	                     	                    	+                	R                     	                  	R                    	            	                     	                 	                        	R                 	                        	                               	                          	                      	R                       	T             	T                    	T                   	+               	                  	                       	                	                 	                       	                  	                                	                    	                  	                           	                         	                     	                  	                 	                        	           	                          	                 	                        	               	                        	                     	                  	                         	                 	              	               	                  	                	                          	                     	                            	                        	                   	                  	                  	                   	                           	       

  IR	                 	                 	                  	              	198	1211	B	 14	H	CC	  15.00	    129.6800	benthics 	Benthic Foraminifers                         	R              	M                 	                   	                   	R                    	                     	F                   	F               	                     	                    	              	                 	R                    	                    	                 	R                     	                  	R                    	R           	                     	                 	R                       	R                 	R                       	T                              	A                         	T                     	                        	              	                     	                    	                	                  	                       	                	                 	                       	                  	                                	                    	                  	                           	                         	                     	                  	                 	                        	           	                          	                 	                        	               	                        	                     	                  	                         	                 	              	               	                  	                	                          	                     	                            	                        	                   	                  	                  	                   	                           	       

  IR	                 	                 	                  	              	198	1211	B	 15	H	CC	  11.00	    139.3900	benthics 	Benthic Foraminifers                         	T              	M                 	                   	                   	C                    	R                    	C                   	                	                     	                    	              	F                	                     	R                   	+                	                      	                  	T                    	T           	F                    	T                	                        	                  	                        	                               	                          	                      	                        	              	                     	                    	                	                  	                       	                	                 	                       	                  	                                	                    	                  	                           	                         	                     	                  	                 	                        	           	                          	                 	                        	               	                        	                     	                  	                         	                 	              	               	                  	                	                          	                     	                            	                        	                   	                  	                  	                   	                           	       

  IR	                 	                 	                  	              	198	1211	B	 17	H	CC	  16.00	    158.3300	benthics 	Benthic Foraminifers                         	R              	M                 	                   	                   	F                    	R                    	R                   	+               	                     	R                   	R             	R                	C                    	T                   	+                	R                     	R                 	T                    	            	                     	                 	                        	                  	                        	                               	                          	                      	                        	              	                     	                    	                	                  	                       	                	                 	                       	                  	                                	                    	                  	                           	                         	                     	                  	                 	                        	           	                          	                 	                        	               	                        	                     	                  	                         	                 	              	               	                  	                	                          	                     	                            	                        	                   	                  	                  	                   	                           	       

  IR	                 	                 	                  	              	198	1211	B	 19	H	CC	  12.00	    172.2100	benthics 	Benthic Foraminifers                         	R              	M                 	F                  	T                  	R                    	F                    	R                   	R               	T                    	R                   	R             	T                	T                    	                    	                 	                      	                  	                     	            	                     	                 	                        	                  	                        	                               	                          	                      	                        	              	                     	                    	                	                  	                       	                	                 	                       	                  	                                	                    	                  	                           	                         	                     	                  	                 	                        	           	                          	                 	                        	               	                        	                     	                  	                         	                 	              	               	                  	                	                          	                     	                            	                        	                   	                  	                  	                   	                           	       

