Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Spongebria miocenica,Spongebria curta,Septamesocena apiculata f. curvata,Septamesocena apiculata apiculata,Parathranium clathratum,Parathranium cf. clathratum,Parathranium cf. californicum,Parathranium bispinum,Hermesinum obliquum,Hermesinum adriaticum,Hermesinoid skeletons,Hermesinella schulzii,Hermesinella conata,Haplohermesinum hovassei,Foliactiniscus atlanticus,Falsebrioid Falsebrioid,Falsebria sp.,Falsebria cf. arborea,Ebriopsoid skeletons,Ebria inornata,Ditripodium latum,Distephanus speculum haliomma f. speculum,Distephanus speculum haliomma f. haliomma,Distephanus crux stradneri,Distephanus crux parvus,Distephanus crux longispinus,Distephanus crux,Distephanus aculeatus f. aculeatus,Corbisema triacantha,Canopilus hemisphaericus f. heptagonus,Cannopilus schulzii,Cannopilus hemisphaericus f. hemisphaericus,Ammodochium pyramidale,Ammodochioid skeletons,Actiniscus sp.,Actiniscus pentasterias,Actiniscus flosculus,Distephanus stradneri,Distephanus speculum hemisphaericus &  boliviensis (hemisphaericoid),Distephanus slavnicii,Distephanus quinquangellus,Distephanus crux scutulatus,Distephanus boliviensis & speculum (bolivienoid)-(w/ >4aw.),Distephanus boliviensis & speculum (bolivienoid),Distephanus &  speculum (bolivienoid)-(w/ 3aw.),Distephanus &  speculum (bolivienoid)-(w/ 2aw.),Dictyocha sp. 1,Caryocha ernestinae,Caryocha depressa,Bachmannocena triangula,Bachmannocena diodon nodosa,Bachmannocena apiculata curvata,Distephanus quinquangellus (w/ 2ap.),Dictyocha fibula,Thranium cf. crassipes,Hermesinella fenestrata,Foliactiniscus folia,Dictyocha species diversae (asperoid),Dictyocha fibula tenuis,Ammodochium serotinum,Actiniscus tetrasterias,Dictyocha aspera,Naviculopsis species diversae,Distephanus speculum haliomma formae diversae,Dictyocha fibula s.l.,Canopilus ernestinae,Cannopilus depressus,Distephanus hannai,Distephanus aff. pseudocrux,Ditripodium elphantinum,Ammodochium species diversae,Dictyocha brevispina,Thranium crassipes,Distephanus speculum f. speculum ,Bachmannocena diodon nodosa (w/ 3 sp. asym.),Mesocena diodon,Actiniscus planatus,Mesocena elliptica,Dictyocha varia,Dictyocha messaensis aspinosa,Actiniscus elongatus,Distephanus boliviensis &  speculum (bolivienoid)-(w/ 8brs.),Dictyocha longa,Bachmannocena quadrangula,Bachmannocena elliptica,Macrora stella,Hermesinum mirabile,Distephanus quinarius,Neonaviculopsis neonautica neonautica,Distephanus cf. xenus,Dictyocha subclinata,Dictyocha pulchella var. inflata,Dictyocha pentagona,Bachmannocena diodon diodon,Distephanus speculum f. pentagonus,Mesocena ovata,Distephanus speculum bolivienoid (w/ very long major spines),Distephanus crux ssp. 1,Distephanus crux (w/ 2aw.),Dictyocha cf. angulata,Bachmannocena dumitricae,Bachmannocena diodon nodosa (w/ 1 sp.),Bachmannocena circulus apiculata,Bachmannocena apiculata,Podamphora elgeri,Paramesocena circulus apiculata,Distephanus speculum  f. cannopileus-hexacanthus,Dictyocha epiodon,Distephanus boliviensis (w/ large aw.)      ,Naviculopsis lacrima,Distephanus stauracanthus f. octagonus,Dictyocha (aberrant forms),Ebriopsis crenulata,Actiniscus laciniatus,Dictyocha species diversae (messanensoid),Corbisema species diversae,Dictyocha clinata,Craniopsis sp.,Corbisema flexuosa,Distephanus aculeatus f. binoculus,Distephanus speculum speculum (coronoid)  ,Distephanus speculum giganteus,Distephanus (aberrant forms),Naviculopsis lata,Mesocena triangula,Thranium patulum,Distephanus crux bispinosus,Paramesocena circulus circulus,Ebriopsis cornuta,Distephanus speculum giganteus f. giganteus,Pseudammodochium species diversae,Naviculopsis navicula navicula,Mesocena quadrangula,Distephanus speculum giganteus f. cannopileus-hexacanthus,Distephanus sp. cf. D. speculum gigangteus f. giganteus,Naviculopsis iberica ,Distephanus jimlingii (w/ 2 or 3aw.),Distephanus jimlingii,Distephanus frugalis,Pseudammodochium robustum,Ditripodium japonicum,Distephanus sulcatus formae diversae,Distephanus speculum constrictus f. constrictus,Distephanus polyactis,Falsebria arborea,Distephanus speculum constrictus formae diversae,Dictyocha perlaevis,Distephanus speculum speculum,Distephanus jimlingii/sulcatus,Distephanus frugalis (w/ 2aw.),Distephanus sulcatus f. maximus,Distephanus sulcatus,Distephanus boliviensis &  speculum (bolivienoid)-(w/ 3aw. & 7brs.),Dictyocha quadria,Distephanus speculum  formae diversae,Dictyocha messanensis messanensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,Ds. aculeatus     ,E. cornuta    ,104, 642,C,  9,H, 1,  64.00,     61.3400,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                    ,                ,                                  ,                                 ,                       ,                           ,                             ,                     ,                   ,                     ,                     ,                     ,                   ,                        ,                         ,13.0%                  ,             ,35.0%                ,                    ,              ,                 ,                                         ,                                         ,                          ,                       ,                            ,T               ,9.0%                              ,                    ,                                      ,                   ,                                           ,                      ,T                     ,20.0%         ,T                      ,T                   ,                     ,                                                                    ,                     ,                          ,                           ,                                                           ,                                                ,                                               ,                                               ,               ,                   ,                 ,                       ,                           ,                               ,                                    ,                ,                      ,                       ,                    ,                                     ,                       ,1.0%                 ,                       ,                ,                             ,                                             ,                     ,                    ,                    ,                  ,                           ,                       ,                            ,                    ,                  ,19.0%                            ,                                            ,               ,                   ,                  ,               ,                             ,                    ,                                                            ,               ,                         ,                       ,              ,                   ,                     ,                                     ,                     ,                    ,                                ,                   ,                           ,1                                 ,              ,                                                            ,                       ,                          ,                      ,                        ,                                      ,                                ,                       ,                 ,                               ,                                                ,                 ,                                            ,                    ,                                      ,                          ,                   ,                     ,T                                        ,                          ,                 ,              ,                  ,60.0%                             ,7.0%                                      ,                              ,                            ,                 ,                  ,                ,                           ,                              ,8.0%             ,                                           ,                                 ,                              ,                    ,                                                         ,                                                       ,                     ,                                    ,                     ,                    ,16.0%                    ,                     ,                                    ,2.0%                                           ,                     ,5.0%             ,                                                ,                   ,                             ,                              ,                              ,T                              ,                    ,                                                                   ,                 ,T                                    ,T                                ,from ODP 104 SR Chaper 30  Tables 1 & 2 p 550-553
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,Ds. jimlingii b   ,              ,104, 642,C,  9,H, 2, 103.00,     63.2300,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                    ,                ,                                  ,                                 ,                       ,                           ,                             ,                     ,                   ,                     ,                     ,                     ,                   ,                        ,                         ,                       ,             ,                     ,                    ,              ,                 ,                                         ,                                         ,                          ,                       ,                            ,                ,                                  ,                    ,                                      ,                   ,                                           ,                      ,                      ,              ,                       ,                    ,                     ,                                                                    ,                     ,1                         ,                           ,4                                                          ,32                                              ,5                                              ,10                                             ,               ,                   ,                 ,                       ,                           ,                               ,                                    ,                ,                      ,                       ,                    ,                                     ,                       ,                     ,                       ,                ,                             ,                                             ,                     ,                    ,                    ,                  ,                           ,                       ,                            ,                    ,                  ,                                 ,                                            ,               ,                   ,                  ,               ,                             ,                    ,                                                            ,               ,                         ,                       ,              ,                   ,                     ,                                     ,                     ,                    ,                                ,                   ,                           ,                                  ,              ,                                                            ,                       ,                          ,                      ,                        ,                                      ,                                ,                       ,                 ,                               ,                                                ,                 ,4                                           ,                    ,                                      ,                          ,                   ,                     ,                                         ,                          ,                 ,              ,                  ,                                  ,                                          ,                              ,                            ,                 ,                  ,                ,                           ,                              ,                 ,                                           ,                                 ,                              ,                    ,                                                         ,                                                       ,                     ,12                                  ,18                   ,12                  ,                         ,                     ,                                    ,                                               ,                     ,                 ,                                                ,                   ,5                            ,6                             ,                              ,                               ,10                  ,1                                                                  ,r1               ,                                     ,                                 ,Total whole specimens = 121; Unidentifiabale fragments = 1; from ODP Leg 104 Sr Chapter 28 Table 1 p 504-507
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,Ds. aculeatus     ,E. cornuta    ,104, 642,C, 10,H, 4,  71.00,     68.7100,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                    ,                ,                                  ,                                 ,                       ,+                          ,                             ,                     ,                   ,                     ,                     ,                     ,                   ,                        ,                         ,20.0%                  ,             ,36.0%                ,                    ,              ,                 ,                                         ,                                         ,                          ,                       ,                            ,T               ,6.0%                              ,                    ,                                      ,                   ,                                           ,                      ,                      ,24.0%         ,1.0%                   ,                    ,                     ,                                                                    ,                     ,                          ,                           ,                                                           ,                                                ,                                               ,                                               ,               ,                   ,                 ,                       ,                           ,                               ,                                    ,                ,                      ,                       ,                    ,                                     ,                       ,2.0%                 ,                       ,                ,                             ,                                             ,                     ,                    ,                    ,                  ,                           ,                       ,                            ,                    ,                  ,25.0%                            ,                                            ,               ,                   ,                  ,               ,                             ,                    ,                                                            ,               ,                         ,                       ,              ,                   ,                     ,                                     ,                     ,                    ,                                ,                   ,                           ,                                  ,              ,                                                            ,                       ,                          ,                      ,                        ,                                      ,                                ,                       ,                 ,                               ,                                                ,                 ,                                            ,                    ,                                      ,                          ,                   ,                     ,                                         ,                          ,                 ,              ,                  ,57.0%                             ,9.0%                                      ,                              ,                            ,                 ,                  ,                ,                           ,                              ,6.0%             ,                                           ,                                 ,                              ,                    ,                                                         ,                                                       ,                     ,                                    ,                     ,                    ,8.0%                     ,                     ,1.0%                                ,T                                              ,                     ,3.0%             ,                                                ,                   ,                             ,                              ,                              ,1.0%                           ,                    ,                                                                   ,                 ,                                     ,                                 ,from ODP 104 SR Chaper 30  Tables 1 & 2 p 550-553
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,Ds. jimlingii a   ,              ,104, 642,C, 10,H, 5, 124.00,     70.7400,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                    ,                ,                                  ,                                 ,                       ,                           ,                             ,                     ,                   ,                     ,                     ,                     ,                   ,                        ,                         ,                       ,             ,                     ,                    ,              ,                 ,                                         ,                                         ,                          ,                       ,                            ,                ,                                  ,                    ,                                      ,                   ,                                           ,                      ,                      ,              ,                       ,                    ,                     ,                                                                    ,                     ,12                        ,                           ,4                                                          ,31                                              ,20                                             ,16                                             ,               ,                   ,                 ,                       ,                           ,                               ,                                    ,                ,                      ,                       ,                    ,                                     ,                       ,                     ,                       ,                ,                             ,                                             ,                     ,                    ,                    ,                  ,                           ,                       ,                            ,                    ,                  ,                                 ,                                            ,               ,                   ,                  ,               ,                             ,                    ,                                                            ,               ,                         ,                       ,              ,                   ,                     ,                                     ,                     ,                    ,                                ,                   ,                           ,                                  ,              ,                                                            ,                       ,                          ,                      ,                        ,                                      ,                                ,                       ,                 ,                               ,                                                ,                 ,6                                           ,                    ,                                      ,                          ,                   ,                     ,                                         ,                          ,                 ,              ,                  ,                                  ,                                          ,                              ,                            ,                 ,                  ,                ,                           ,                              ,                 ,                                           ,                                 ,                              ,                    ,                                                         ,                                                       ,                     ,10                                  ,11                   ,7                   ,                         ,                     ,                                    ,                                               ,                     ,                 ,                                                ,                   ,26                           ,10                            ,2                             ,                               ,                    ,                                                                   ,                 ,                                     ,                                 ,Total whole specimens = 155; Unidentifiabale fragments = 5; from ODP Leg 104 Sr Chapter 28 Table 1 p 504-507
