Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Pulleniatina obliquiloculata	Globorotalia tumida	Globorotalia tosaensis	Sphaeroidinella dehiscens	Pulleniatina praecursor	Globorotalia menardii	Orbulina universa	Neogloboquadrina humerosa	Globorotalia scitula	Globorotalia crassaformis	Globigerinoides trilobus	Globigerinoides quadrilobatus	Globigerinita glutinata	Orbulina suturalis	Globigerinoides ruber	Globigerinoides sacculifer	Globorotalia truncatulinoides	Globigerinoides fistulosus	Globorotalia crassula	Globigerinoides conglobatus	Zeaglobigerina rubescens	Globorotalia crassaformis hessi	Neogloboquadrina dutertrei	Globorotalia ungulata	Bolliella calida	Bolliella adamsi	Globorotalia fimbriata	Globorotalia cavernula	Globigerinella siphonifera	Globigerinella praesiphonifera	Globigerinella obesa	Comment



  IR	Pleistocene      	Holocene         	                  	              	180	1108	B	  1	R	 1	  30.00	      0.3000	Perembo  	Planktonic Foraminifers                      	A              	G                 	A                           	A                  	                      	A                        	                       	                     	F                	                         	                    	                         	                        	                             	R                      	                  	A                    	A                         	                             	                          	A                    	A                          	A                       	                               	A                         	R                    	A               	A               	R                     	R                     	A                         	A                             	A                   	       

  IR	Pleistocene      	Holocene         	                  	N23           	180	1108	B	  1	R	CC	  10.00	      1.7500	Perembo  	Planktonic Foraminifers                      	A              	G                 	                            	A                  	                      	A                        	                       	                     	F                	                         	                    	                         	                        	                             	                       	                  	A                    	A                         	                             	                          	A                    	A                          	A                       	                               	A                         	R                    	A               	F               	                      	                      	                          	                              	                    	       

  IR	Pleistocene      	Holocene         	                  	N22           	180	1108	B	  3	R	CC	   4.00	     14.5400	Perembo  	Planktonic Foraminifers                      	C              	G                 	D                           	F                  	F                     	A                        	                       	                     	                 	                         	                    	                         	                        	                             	R                      	                  	A                    	                          	                             	                          	                     	                           	F1                      	F                              	                          	                     	                	                	                      	                      	                          	                              	                    	       

  IR	Pliocene         	Pleistocene      	                  	              	180	1108	B	 14	R	CC	   4.00	    122.1300	Perembo  	Planktonic Foraminifers                      	A              	G                 	                            	A                  	R                     	A                        	                       	                     	                 	                         	                    	                         	                        	                             	                       	                  	                     	                          	                             	                          	                     	                           	                        	                               	                          	                     	                	                	                      	                      	                          	                              	                    	       

  IR	                 	Pliocene         	                  	              	180	1108	B	 15	R	CC	  15.00	    132.2000	Perembo  	Planktonic Foraminifers                      	C              	M                 	D                           	D                  	                      	D                        	                       	                     	                 	                         	                    	                         	                        	                             	                       	                  	                     	                          	                             	                          	                     	                           	                        	                               	                          	                     	                	                	                      	                      	                          	                              	                    	       

  IR	                 	Late Pliocene    	                  	              	180	1108	B	 16	R	CC	   7.00	    142.1100	Perembo  	Planktonic Foraminifers                      	A              	M                 	A                           	A                  	R                     	A                        	                       	A                    	F                	A                        	                    	F                        	                        	A                            	                       	                  	D                    	A                         	                             	F                         	                     	F                          	                        	                               	                          	                     	                	                	                      	                      	                          	                              	                    	       

