Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphaeroidinella dehiscens	Pulleniatina obliquiloculata	Orbulina universa	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina pachyderma	Neogloboquadrina dutertrei	Menardella menardii	Hastigerina siphonifera	Globorotaloides hexagona	Globorotalia tumida	Globorotalia truncatulinoides	Globorotalia scitula	Globorotalia hirsuta	Globorotalia crassaformis hessi	Globorotalia crassaformis	Globorotalia conglomerata	Globorotalia aequilaterus	Globoconella inflata	Globigerinoides trilobus	Globigerinoides sacculifer	Globigerinoides ruber (pink)	Globigerinoides ruber	Globigerinoides quadrilobatus	Globigerinoides immaturus	Globigerinita glutinata	Globigerina quinqueloba	Globigerina bulloides	Beella digitata	Comment



  IR	                 	                 	                  	              	175	1078	B	  1	H	CC	  21.00	      6.6100	Christensen	Planktonic Foraminifers                      	               	                  	                         	                            	+                	+                                      	+                          	+                         	                   	+                      	                        	                   	                             	                    	                    	                               	                         	                         	                         	                    	+                       	+                         	+                           	+                    	                             	                         	                       	                       	+                    	               	same as 1078A- dopminated by G. ruber (pink)

  IR	                 	                 	                  	              	175	1078	B	  2	H	CC	  22.00	     16.3500	Christensen	Planktonic Foraminifers                      	C              	G                 	                         	                            	A6               	A11                                    	0                          	2                         	                   	                       	                        	                   	                             	                    	                    	                               	2                        	                         	                         	D22                 	4                       	3                         	2                           	A10                  	                             	                         	                       	                       	1                    	               	       

  IR	                 	                 	                  	              	175	1078	B	  3	H	CC	  30.00	     26.0000	Christensen	Planktonic Foraminifers                      	A              	VG                	                         	                            	D31              	6                                      	2                          	4                         	                   	5                      	                        	                   	                             	                    	                    	                               	                         	                         	                         	5                   	4                       	3                         	A11                         	                     	                             	                         	                       	                       	D36                  	               	many shell frags

  IR	                 	                 	                  	              	175	1078	B	  4	H	CC	  35.00	     35.6100	Christensen	Planktonic Foraminifers                      	               	                  	                         	                            	A38              	2                                      	3                          	3                         	1                  	15                     	                        	                   	                             	                    	                    	                               	1                        	                         	                         	1                   	                        	A53                       	A22                         	A20                  	                             	                         	                       	                       	A23                  	               	many Bolivina spp. suggesting we are in the oxygen minimum zone; also get abundant Globobulimina spp.  planktonic species looks the same as 1H; broken shells; quatrz sands are angular, and there is mica

  IR	                 	                 	                  	              	175	1078	B	  5	H	CC	  25.00	     45.2500	Christensen	Planktonic Foraminifers                      	A              	VG                	                         	                            	D30              	                                       	6                          	+                         	                   	                       	3                       	                   	                             	                    	                    	                               	                         	                         	                         	1                   	                        	A19                       	A12                         	A10                  	                             	                         	                       	                       	3                    	               	Gastropod and broken shell bits  D not see the Bolivina/ Globulimina spp flood that you see in 4H. Flood is also lacking in 6H.

