Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus moriformis	Discoaster variabilis	Discoaster deflandrei	Cyclicargolithus floridanus	Coccolithus pelagicus	Sphenolithus heteromorphus	Discoaster spp.	Calcidiscus macintyrei	Calcidiscus premacintyrei	Helicosphaera scissura	Helicosphaera ampliaperta	Discoaster aulakos	Coccolithus miopelagicus	Coronocyclus nitescens	Reticulofenestra pseudoumbilica	Discoaster challengeri	Discoaster calcaris	Discoaster loeblichii	Discoaster surculus	Triquetrorhabdulus rugosus	Amaurolithus delicatus	Helicosphaera sellii	Calcidiscus leptoporus	Pseudoemiliania lacunosa	Comment



  IR	Pleistocene      	Pleistocene      	CN14a             	              	189	1168	C	  1	H	CC	  12.00	      9.9400	nannos   	Nannofossils                                 	A              	G                 	                       	                     	                     	                           	                     	                          	               	                      	                         	                      	                         	                  	                        	                      	                               	                      	                   	                     	                   	                          	                      	                    	                      	F                       	       

  IR	                 	                 	                  	              	189	1168	C	  2	H	CC	  25.00	     19.3000	nannos   	Nannofossils                                 	A              	G                 	                       	                     	                     	                           	                     	                          	               	C                     	                         	                      	                         	                  	                        	                      	                               	                      	                   	                     	                   	                          	                      	R                   	                      	C                       	       

  IR	Late Pliocene    	Late Pliocene    	CN12b             	              	189	1168	C	  3	H	CC	  19.00	     28.4000	nannos   	Nannofossils                                 	A              	G                 	                       	                     	                     	                           	                     	                          	               	                      	                         	                      	                         	                  	                        	                      	                               	                      	                   	                     	R                  	                          	                      	                    	                      	                        	       

  IR	                 	                 	                  	              	189	1168	C	  4	H	CC	  16.00	     38.4500	nannos   	Nannofossils                                 	A              	G                 	                       	                     	                     	                           	                     	                          	               	                      	                         	                      	                         	                  	                        	                      	                               	                      	                   	                     	R                  	                          	                      	                    	                      	                        	       

  IR	Early Pliocene   	Early Pliocene   	CN11b             	              	189	1168	C	  5	H	CC	  20.00	     47.5700	nannos   	Nannofossils                                 	A              	G                 	                       	                     	                     	                           	                     	                          	               	C                     	                         	                      	                         	                  	                        	                      	C                              	                      	                   	                     	R                  	                          	                      	                    	A                     	                        	       

  IR	Early Pliocene   	Early Pliocene   	CN10c             	              	189	1168	C	  6	H	CC	  22.00	     56.2600	nannos   	Nannofossils                                 	A              	G                 	                       	                     	                     	                           	                     	                          	               	C                     	                         	                      	                         	                  	                        	                      	C                              	                      	                   	                     	R                  	                          	R                     	                    	A                     	                        	       

  IR	                 	                 	                  	              	189	1168	C	  7	H	CC	  13.00	     63.0300	nannos   	Nannofossils                                 	A              	G                 	                       	                     	                     	                           	                     	                          	               	C                     	                         	                      	                         	                  	                        	                      	C                              	                      	                   	                     	R                  	                          	                      	                    	A                     	                        	       

  IR	                 	                 	                  	              	189	1168	C	  8	H	CC	   0.00	     74.7000	nannos   	Nannofossils                                 	A              	M                 	                       	                     	                     	                           	                     	                          	               	C                     	                         	                      	                         	                  	                        	                      	C                              	                      	                   	                     	                   	                          	                      	F                   	A                     	                        	       

