Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphaeroidinellopsis seminulina,Orbulina universa,Neogloboquadrina acostaensis (dextral),Globorotaloides hexagona,Globorotalia scitula,Globorotalia limbata,Globoquadrina venezuelana,Globoquadrina baroemoenensis,Globigerinoides trilobus,Globigerinoides obliquus obliquus,Globigerinella aequilateralis,Globigerina nepenthes,Sphaeroidinellopsis kochi,Globigerinita glutinata,Sphaeroidinellopsis paenedehiscens,Neogloboquadrina humerosa,Neogloboquadrina continuosa,Globorotalia plesiotumida,Globigerinoides obliquus extremus,Globigerina bulloides,Globorotalia margaritae,Globorotalia crassaformis crassaformis,Globigerinoides sacculifer,Globoquadrina dehiscens,Candeina nitida,Beella digitata,Neogloboquadrina pachyderma (dextral),Globorotalia miocenica,Globigerinoides conglobatus,Globigerina decoraperta,Globorotalia puncticulata,Globorotalia multicamerata,Globoquadrina altispira,Globorotalia exilis,Pulleniatina praecursor,Globorotalia menardii,Pulleniatina primalis,Neogloboquadrina dutertrei,Globorotalia tumida tumida,Globigerinoides ruber (white),Sphaeroidinella dehiscens,Pulleniatina obliquiloculata,Globigerinoides sp. cf. G. fistulosus,Globorotalia pertenuis,Globigerinoides fistulosus,Globigerinella calida,Neogloboquadrina pseudopima,Globorotalia crassula,Globigerina falconensis,Globorotalia crassaformis viola,Globorotalia crassaformis hessi,Globorotalia truncatulinoides,Globigerinoides ruber (pink),Globorotalia tumida flexuosa,Globorotalia inflata,Globigerinoides tenellus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. truncatulinoides,              ,108, 667,A,  1,H,CC,  12.00,      1.3200,Weaver   ,Planktonic Foraminifers                      ,A              ,M                 ,                              ,R                ,                                      ,R                       ,R                   ,                    ,                         ,                            ,C                       ,                                 ,R                            ,                     ,                         ,R                      ,                                  ,                         ,                           ,                         ,                                 ,R                    ,                       ,R                                     ,F                         ,                       ,               ,R              ,R                                    ,                      ,R                          ,                       ,                         ,                          ,                       ,                   ,                       ,R                    ,                     ,F                         ,R                         ,C                            ,R                        ,R                           ,                                     ,                      ,                          ,                     ,                           ,                     ,                       ,                               ,                               ,R                            ,                            ,R                           ,R                   ,R                       ,from ODP Leg 108 SR Chapter 5 Table 16 p 90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. truncatulinoides,              ,108, 667,A,  2,H,CC,   8.00,     10.5500,Weaver   ,Planktonic Foraminifers                      ,A              ,M                 ,                              ,R                ,                                      ,R                       ,                    ,                    ,                         ,                            ,C                       ,                                 ,R                            ,                     ,                         ,R                      ,                                  ,                         ,                           ,                         ,                                 ,R                    ,                       ,R                                     ,R                         ,                       ,               ,               ,F                                    ,                      ,R                          ,                       ,                         ,                          ,                       ,                   ,                       ,F                    ,                     ,F                         ,F                         ,F                            ,R                        ,R                           ,                                     ,                      ,                          ,R                    ,                           ,                     ,                       ,                               ,                               ,R                            ,                            ,R                           ,R                   ,R                       ,from ODP Leg 108 SR Chapter 5 Table 16 p 90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. truncatulinoides,              ,108, 667,A,  3,H, 3, 110.00,     14.9000,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,R                ,                                      ,R                       ,R                   ,                    ,                         ,                            ,C                       ,                                 ,F                            ,                     ,                         ,F                      ,                                  ,F                        ,                           ,                         ,                                 ,R                    ,                       ,R                                     ,C                         ,                       ,               ,               ,R                                    ,                      ,R                          ,                       ,                         ,                          ,                       ,                   ,                       ,F                    ,                     ,                          ,F                         ,C                            ,R                        ,R                           ,                                     ,                      ,                          ,                     ,                           ,                     ,                       ,                               ,R                              ,R                            ,F                           ,                            ,                    ,                        ,from ODP Leg 108 SR Chapter 5 Table 16 p 90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL6               ,              ,108, 667,A,  3,H, 5, 126.00,     18.0600,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,R                ,                                      ,R                       ,R                   ,                    ,                         ,                            ,F                       ,R                                ,R                            ,                     ,                         ,F                      ,                                  ,R                        ,                           ,                         ,                                 ,R                    ,                       ,R                                     ,C                         ,                       ,R              ,R              ,R                                    ,                      ,R                          ,F                      ,                         ,                          ,                       ,                   ,                       ,R                    ,                     ,F                         ,                          ,C                            ,R                        ,R                           ,                                     ,                      ,                          ,R                    ,                           ,                     ,                       ,                               ,R                              ,R                            ,                            ,                            ,                    ,                        ,from ODP Leg 108 SR Chapter 5 Table 16 p 90
