Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Lith. accessory shell fragment,Lith. accessory cement,Lith. accessory nodule/concretion,Lith. accessory sulfide,Lithological accessories comment,Macrofossil,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],Diagenetic constituent,Diagenetic constituent composition,Deformational structures,structure,General interval comment,MIN Lith. Prefix,MIN Lith. Principal name,MIN Lith. Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data
346-U1425D-1H-1-A,0,11,0,0.11,diatom rich,silty clay ,,diatom rich silty clay ,,,,,5YR 3/2 (dark reddish brown),heavy ,3,,,,,,,,,,,,,,,diatom rich  silty clay ,silty clay ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,
346-U1425D-1H-1-A,11,58,0.11,0.58,,clay ,,clay ,,,,mottling ,2.5Y 3/1 (very dark gray),heavy ,3,,,,,,,,,,,,,,,clay ,clay ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,
346-U1425D-1H-1-A,58,62,0.58,0.62,foraminifer rich,clay ,,foraminifer rich clay ,,,,lamination,2.5Y 3/1 (very dark gray),,,,,,,,,,,,,,,,,foraminifer rich  clay ,clay ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,
346-U1425D-1H-1-A,62,94,0.62,0.94,,clay ,,clay ,,,,,10Y 5/1 (greenish gray),,,,,,,,,,,,,,,,,clay ,clay ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,
346-U1425D-1H-1-A,94,150,0.94,1.5,,clay ,,clay ,,,,mottling ,2.5Y 3/1 (very dark gray),,,,,,,,,,,,,,,,,clay ,clay ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,
346-U1425D-1H-1-A,103,125,1.03,1.25,,,,,,,,mottling ,,heavy ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1425D-1H-2-A,0,25,1.5,1.75,,silty clay ,,silty clay ,,,,lamination,2.5Y 3/1 (very dark gray),,,,,,,,,,,,,,,,,silty clay ,silty clay ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,
346-U1425D-1H-2-A,25,38,1.75,1.88,,clay ,,clay ,,,,,10Y 5/1 (greenish gray),,,,,,,,,,,,,,,,,clay ,clay ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,
346-U1425D-1H-2-A,38,45,1.88,1.95,,tephra ,,tephra ,vitric,,,,N 5 (gray),,,,,,,,,,,,,,,,,tephra ,tephra ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,
346-U1425D-1H-2-A,45,58,1.95,2.08,,silty clay ,,silty clay ,,,,,5Y 3/1 (very dark gray),,,,,,,,,,,,,,,,,silty clay ,silty clay ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,
346-U1425D-1H-2-A,58,113,2.08,2.63,,clay ,,clay ,,,,color banding,10Y 5/1 (greenish gray),,,,,,,,,,,,,,,,,clay ,clay ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,
346-U1425D-1H-2-A,113,116,2.63,2.66,,silty clay ,,silty clay ,,,,,5Y 3/1 (very dark gray),,,,,,,,,,,,,,,,,silty clay ,silty clay ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,
346-U1425D-1H-2-A,116,133,2.66,2.83,,clay ,,clay ,,,,,10Y 5/1 (greenish gray),,,,,,,,,,,,,,,,,clay ,clay ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,
346-U1425D-1H-2-A,133,145,2.83,2.95,,silty clay ,,silty clay ,,,,,5Y 3/2 (dark olive gray),,,,,,,,,,,,,,,,,silty clay ,silty clay ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,
346-U1425D-1H-2-A,145,146,2.95,2.96,,tephra ,,tephra ,vitric,,,,N 5 (gray),,,,,,,,,,,,,,,,,tephra ,tephra ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,
346-U1425D-1H-2-A,146,147,2.96,2.97,,silty clay ,,silty clay ,,,,,5Y 3/2 (dark olive gray),,,,,,,,,,,,,,,,,silty clay ,silty clay ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,
