Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],Amount of ash in lithology,Amount of ash in lithology rank [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Macrofossil,Diagenetic constituent,Diagenetic constituent composition,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data
341-U1419E-2H-1-A,0,150,9,10.5,silty,mud [Leg210],,silty mud ,,,,10Y 4/1 (dark greenish gray),none [DB86],0,present [A79],5,,,,,,,,,,,,,,,
341-U1419E-2H-2-A,0,137,10.5,11.87,silty,mud [Leg210],,silty mud ,,,,10Y 4/1 (dark greenish gray),none [DB86],0,present [A79],6,,,,,,,,,,,,,,,
341-U1419E-2H-2-A,137,150,11.87,12,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0,present [A79],3,,,,,,,,,,,,,,,
341-U1419E-2H-3-A,0,150,12,13.5,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0,present [A79],4,,,,,,,,,,,,,,,
341-U1419E-2H-4-A,0,150,13.5,15,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0,present [A79],9,,,,,pebble [W22_2],subangular,,,,4cm metasiltstone @ 126cm,,,,,
341-U1419E-2H-5-A,0,150,15,16.5,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],6,,,,,,,,,,"pebbles 2, 4 granules",,,,,
341-U1419E-2H-6-A,0,140,16.5,17.9,diatom rich,mud [Leg210],with foraminifers [Leg339],diatom rich mud  with foraminifers ,,,,10Y 4/1 (dark greenish gray),,,present [A79],1,,,,,pebble [W22_2],angular,,,,"argillite 3 cm, angular at 135 cm; argillite, 7 cm, rounded, at 30 cm in WH!
",,,,,
341-U1419E-2H-7-A,0,60,17.9,18.5,,mud [Leg210],,mud ,,,,10Y 4/1 (dark greenish gray),,,present [A79],1,,,pebble [W22_2],subangular,,,,,,"sandstone 2.5 cm, at 10 cm",,,,,
341-U1419E-2H-CC-A,0,21,18.5,18.71,,mud [Leg210],,mud ,,,,10Y 4/1 (dark greenish gray),,,present [A79],1,,,,,pebble [W22_2],subrounded,,,,argillite 2 cm at 6 cm,,,,,
341-U1419E-2H-CC-A,0,21,18.5,18.71,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,
341-U1419E-3H-1-A,0,111,18.5,19.61,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,10Y 4/1 (dark greenish gray),,,present [A79],3,,,,,,,shell fragment,,,outsized siltstone on top (caused drilling disturbance); shell fragment @ 90 cm,,,,,
341-U1419E-3H-1-A,111,115,19.61,19.65,,sand [Leg210],,sand ,,,,10Y 4/1 (dark greenish gray),,,present [A79],1,,,,,,,,,,fine sand patch,,,,,
341-U1419E-3H-1-A,115,146,19.65,19.96,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,10Y 4/1 (dark greenish gray),,,present [A79],2,,,,,,,,,,,,,,,
341-U1419E-3H-2-A,0,142,19.96,21.38,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,10Y 4/1 (dark greenish gray),,,present [A79],11,,,,,,,shell,,,color varies (N 4 to 10Y 4/1); intact shell @ 55 cm,,,,,
341-U1419E-3H-3-A,0,145,21.38,22.83,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,N 4 (dark gray),,,present [A79],13,,,,,,,,,,color varies (N 4 to 10Y 4/1); 2 silt laminae at top (@ 2 and 9 cm) of this section (fine; mainly quartz),,,,,
341-U1419E-3H-4-A,0,77,22.83,23.6,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,N 4 (dark gray),,,present [A79],7,,,,,,,,,,,,,,,
341-U1419E-3H-4-A,77,79,23.6,23.62,,ash(tuff) [MMK88m],,ash(tuff) ,ash,4,,2.5Y 6/1 (gray),,,,,,,,,,,,,,"silt to fine sand sized ash (with brown and green glass, 10% sand)",,,,,
341-U1419E-3H-4-A,79,145,23.62,24.28,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,N 4 (dark gray),,,present [A79],10,,,,,,,,,,,,,,,
341-U1419E-3H-5-A,0,130,24.28,25.58,,mud [Leg210],with diatoms [Leg339],mud  with diatoms ,,,,N 4 (dark gray),,,present [A79],12,,,,,,,,,,color changes from N 4 to 10Y 4/1,,,,,
341-U1419E-3H-5-A,130,146,25.58,25.74,,mud [Leg210],,mud ,,,,10Y 4/1 (dark greenish gray),,,present [A79],2,,,,,,,,,,foraminifer bearing coarse sand patch @ 143 to 145 cm,,,,,
341-U1419E-3H-6-A,0,24,25.74,25.98,,mud [Leg210],with diatoms [Leg339],mud  with diatoms ,,,,10Y 4/1 (dark greenish gray),slight [DB86],1,,,,,,,,,,,,few black mottles,,,,,
341-U1419E-3H-6-A,24,146,25.98,27.2,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,N 4 (dark gray),,,present [A79],25,,,,,,,,,,subtle color changes (N 4 to 10Y 4/1),,,,,
341-U1419E-3H-7-A,0,42,27.2,27.62,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,N 4 (dark gray),,,present [A79],10,,,,,,,,,,subtle color changes N 4 to 10Y 4/1,,,,,
341-U1419E-3H-7-A,42,47,27.62,27.67,muddy [Leg339],sand [Leg210],,muddy  sand ,,,,N 4 (dark gray),,,present [A79],1,,,,,,,,,,,,,,,
341-U1419E-3H-7-A,47,106,27.67,28.26,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,N 4 (dark gray),,,present [A79],11,,,,,,,,,,subtle color changes N 4 to 10Y 4/1,,,,,
341-U1419E-3H-CC-A,0,18,28.26,28.44,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,N 4 (dark gray),,,present [A79],3,,,,,,,,,,,,,,,
341-U1419E-3H-CC-A,18,23,28.44,28.49,,,,,,,,,,,,,,,,,,,,,,PAL sample,,,,,
341-U1419E-4H-1-A,0,150,28,29.5,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,milk shake meets cottage cheese,,,,,
341-U1419E-6H-1-A,0,140,36,37.4,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,N 4 (dark gray),,,present [A79],8,,,,,,,,,,,,,,,
341-U1419E-6H-2-A,0,41,37.4,37.81,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,
341-U1419E-6H-3-A,0,106,37.81,38.87,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,N 4 (dark gray),,,present [A79],5,,,,,,,,,,,,,,,
341-U1419E-6H-CC-A,0,8,38.87,38.95,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,
341-U1419E-6H-CC-A,8,13,38.95,39,,,,,,,,,,,,,,,,,,,,,,PAL sample,,,,,
341-U1419E-8H-1-A,0,130,46,47.3,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,totally destroyed,,,,,
341-U1419E-8H-2-A,0,66,47.3,47.96,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,totally destroyed,,,,,
341-U1419E-8H-CC-A,0,30,47.96,48.26,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,totally destroyed,,,,,
341-U1419E-8H-CC-A,30,35,48.26,48.31,,,,,,,,,,,,,,,,,,,,,,PAL sample,,,,,
341-U1419E-9H-1-A,0,145,48.3,49.75,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,somehow mixed mud; N 4 to 10Y 4/1,,,,,
341-U1419E-9H-2-A,0,92,49.75,50.67,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,somehow mixed mud; N 4 to 10Y 4/1,,,,,
341-U1419E-11H-1-A,0,81,51.9,52.71,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,N 4 (dark gray),,,present [A79],8,,,,,,,,,,clayey mud; subtle color changes (N 4 to 10Y 4/1); black metasiltstone on top of section (fall in?),,,,,
341-U1419E-11H-1-A,81,83,52.71,52.73,,sand [Leg210],,sand ,,,,N 4 (dark gray),,,,,,,,,,,,,,fine to medium sand; irregular/discontinuous shape,,,,,
341-U1419E-11H-1-A,83,145,52.73,53.35,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,N 4 (dark gray),,,present [A79],7,,,,,,,,,,clayey mud; subtle color changes (N 4 to 10Y 4/1); fine sand lamina @ 112-113 cm; 5x6 cm granitoid @ 134-140 cm (in WH),,,,,
341-U1419E-11H-2-A,0,144,53.35,54.79,,mud [Leg210],with silty sand [Leg339],mud  with silty sand ,,,,N 4 (dark gray),,,present [A79],11,,,,,,,,,,clayey mud with silt and fine sand laminae (up to 1 cm; sharp boundaries)throughout section; sand with ferromanganese minerals,,,,,
341-U1419E-11H-3-A,0,80,54.79,55.59,silty,mud [Leg210],,silty mud ,,,,N 4 (dark gray),,,present [A79],19,,,,,,,,,,,,,,,
341-U1419E-11H-3-A,80,145,55.59,56.24,,mud [Leg210],with silt [Leg339],mud  with silt ,,,,N 4 (dark gray),,,present [A79],3,,,,,,,,,,mud with irregularly dispersed discontinuous silt and fine sand patches and silt laminae,,,,,
341-U1419E-11H-4-A,0,115,56.24,57.39,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,N 4 (dark gray),slight [DB86],1,present [A79],16,,,,,,,,,,clayey mud with few black mottles; color changes (N 4 to 10Y 4/1),,,,,
341-U1419E-11H-4-A,115,138,57.39,57.62,diatom bearing,mud [Leg210],with sand [Leg339],diatom bearing mud  with sand ,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,,,,,,
341-U1419E-11H-4-A,138,146,57.62,57.7,,mud [Leg210],,mud ,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,,,,,,
341-U1419E-11H-5-A,0,60,57.7,58.3,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,10Y 4/1 (dark greenish gray),slight [DB86],1,present [A79],3,,,,,,,,,,clayey mud with few black mottles,,,,,
341-U1419E-11H-5-A,60,110,58.3,58.8,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,
341-U1419E-11H-5-A,110,147,58.8,59.17,,mud [Leg210],with sand [Leg339],mud  with sand ,,,,N 4 (dark gray),,,,,,,,,,,,,,"mud with fine sand patches (discontinuous, irregular shape)",,,,,
341-U1419E-11H-6-A,0,9,59.17,59.26,,mud [Leg210],with sand [Leg339],mud  with sand ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,
341-U1419E-11H-6-A,9,149,59.26,60.66,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,N 4 (dark gray),,,present [A79],6,,,,,,,,,,clayey mud with fine sand patch @ 65-71 cm; outsized granitoid @ 104-109 cm (in WH); few black mottles,,,,,
341-U1419E-11H-7-A,0,124,60.66,61.9,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,10Y 4/1 (dark greenish gray),slight [DB86],1,present [A79],9,,,,,,,,,,clayey mud with few black mottles; 10Y 4/1 to N 4,,,,,
