Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithification,MAJ Lith. Prefix,MAJ Lith. Principal name,Texture Rank,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],"FACIES (neritic, hemipelagic, pelagic)",MAJ lith color (simple),Fossil,Sedimentary structure,Diagenetic structure,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data
356-U1459A-2X-1-A,0,37,0.1,0.47,lithified [B84],skeletal,floatstone [E&K72; D62],5,,skeletal floatstone,neritic,beige,bryozoa,,,,,,,,"Lithified beige skeletal floatstone with bryozoans, foraminifera (small benthic). Neritic",,,
356-U1459A-2X-1-A,0,37,0.1,0.47,,,,,,,,,foraminifera (small benthic),microbialite,,,,,,,,,,
356-U1459A-2X-CC-A,0,8,0.47,0.55,lithified [B84],skeletal,floatstone [E&K72; D62],5,,skeletal floatstone,neritic,beige,foraminifera (planktic),,,,,,,,"Lithified beige skeletal floatstone with foraminifera (planktic), foraminifera (small benthic).",,,
356-U1459A-2X-CC-A,0,8,0.47,0.55,,,,,,,,,bryozoa,,,,,,,,,,,
356-U1459A-2X-CC-A,0,8,0.47,0.55,,,,,,,,,foraminifera (large benthic),,,,,,,,,,,
356-U1459A-2X-CC-A,0,8,0.47,0.55,,,,,,,,,foraminifera (small benthic),microbialite,,,,,,,,,,
356-U1459A-2X-CC-A,8,11,0.55,0.58,,,,,,,,,,,,,,,,,to PAL,,,
356-U1459A-2X-CC-A,11,26,0.58,0.73,lithified [B84],skeletal,floatstone [E&K72; D62],5,,skeletal floatstone,neritic,beige,foraminifera (planktic),,,,,,,,"Lithified beige skeletal floatstone with foraminifera (planktic), foraminifera (small benthic).",,,
356-U1459A-2X-CC-A,11,26,0.58,0.73,,,,,,,,,bryozoa,,,,,,,,,,,
356-U1459A-2X-CC-A,11,26,0.58,0.73,,,,,,,,,foraminifera (large benthic),,,,,,,,,,,
356-U1459A-2X-CC-A,11,26,0.58,0.73,,,,,,,,,foraminifera (small benthic),microbialite,,,,,,,,,,
356-U1459A-4X-1-A,0,10,13.4,13.5,lithified [B84],foraminifer rich,packstone [E&K72; D62],3,with bivalves,foraminifer rich packstone with bivalves,neritic,beige,bivalve,,,thickly bedded [I54],slight [B06],2,gradational,horizontal,Lower 5 cm have small (mm-scale) cavities. Wavy laminae towards base.,,,
356-U1459A-4X-1-A,0,10,13.4,13.5,,,,,,,,,coralline algae,,,,,,,,,,,
356-U1459A-4X-1-A,0,10,13.4,13.5,,,,,,,,,foraminifera (large benthic),,,,,,,,,,,
356-U1459A-4X-1-A,10,41,13.5,13.81,lithified [B84],glauconite rich,packstone [E&K72; D62],3,with gastropods,glauconite rich packstone with gastropods,neritic,light greenish gray,bivalve,,,,moderate [B06],3,gradational,horizontal,"Glauconite most abundant between 18-27 cm. Bioerosion cavities with dark gray and brown intraclast, possible bioerosion structures. The small cavities maybe due to solution or carbonates.",,,
356-U1459A-4X-1-A,10,41,13.5,13.81,,,,,,,,,foraminifera (large benthic),,,,,,,,,,,
356-U1459A-4X-1-A,10,41,13.5,13.81,,,,,,,,,gastropod,intraclasts,,,,,,,,,,
356-U1459A-4X-CC-A,0,8,13.81,13.89,lithified [B84],,packstone [E&K72; D62],3,with intraclasts [2014],packstone with intraclasts,neritic,beige,gastropod,intraclasts,,,common [B06],4,gradational,horizontal,"Intraclasts common bioerosion cavities filled with mud, also solution cavities.",,,
356-U1459A-6F-1-A,0,34,32.1,32.44,unlithified [Leg194],,floatstone [E&K72; D62],5,,floatstone,neritic,beige,,,,,,,sharp,inclined,"Mixed gravel with little mud, likely highly disturbed by coring.",,,
356-U1459A-6F-1-A,34,40,32.44,32.5,lithified [B84],,floatstone [E&K72; D62],5,,floatstone,neritic,beige,bivalve,,,,,,,,Cemented disc within mixed gravel. A disk of lithified core probably from higher up in the core.,,,
356-U1459A-6F-1-A,34,40,32.44,32.5,,,,,,,,,bryozoa,,,,,,,,,,,
356-U1459A-6F-1-A,40,58,32.5,32.68,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,beige,,,,,,,,,Overlapping wedge of mixed gravel and mud along the length of the mud interval. They are separated and likely an artifact of coring.,,,
356-U1459A-6F-2-A,0,13,32.68,32.81,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,light greenish gray,,,,,,,sharp,sub-horizontal,"Unlithified silty gravel, heavily disturbed by coring.",,,
356-U1459A-6F-2-A,13,125,32.81,33.93,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,light gray,,,,,,,sharp,horizontal,Undifferentiated mud and/or silt,,,
356-U1459A-6F-2-A,125,131,33.93,33.99,unlithified [Leg194],foraminifer rich,grainstone [E&K72; D62],4,with glauconite [2014],foraminifer rich grainstone with glauconite,neritic,light greenish gray,foraminifera (small benthic),,,,,,,,Uniform foraminifera sand with glauconite,,,
356-U1459A-6F-3-A,0,7,33.99,34.06,unlithified [Leg194],foraminifer rich,wackestone [E&K72; D62],2,with glauconite [2014],foraminifer rich wackestone with glauconite,hemipelagic,light greenish gray,foraminifera (small benthic),,,,,,sharp,horizontal,Unlithified light greenish gray foraminfera-rich (small benthic) wackestone with glauconite. Hemipelagic.,,,
356-U1459A-6F-3-A,7,80,34.06,34.79,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,light greenish gray,bivalve,,,,,,,,The lower 10 cm are more indurated.,,,
356-U1459A-6F-3-A,7,80,34.06,34.79,,,,,,,,,gastropod,,,,,,,,,,,
