Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. prefix+name [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Clast abundance,Macrofossil,MAJ Lith. ave. grain size ,Diagenetic constituent,Diagenetic constituent composition,General interval comment,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data
363-U1485D-1H-1-A,0,150,0,1.5,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5Y 4/2 (olive gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1485D-1H-2-A,0,150,1.5,3,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5Y 4/2 (olive gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1485D-1H-3-A,0,150,3,4.5,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5Y 4/2 (olive gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1485D-1H-4-A,0,92,4.5,5.42,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5Y 4/2 (olive gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1485D-1H-4-A,92,93,5.42,5.43,,ash(tuff) [MMK88m],ash(tuff),,5Y 2.5/1 (black),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1485D-1H-4-A,93,124,5.43,5.74,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5Y 4/2 (olive gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1485D-1H-CC-A,0,20,5.74,5.94,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5Y 4/2 (olive gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1485D-2H-1-A,0,141,5.9,7.31,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5Y 4/2 (olive gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1485D-2H-2-A,0,142,7.31,8.73,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5Y 4/2 (olive gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1485D-2H-3-A,0,56,8.73,9.29,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5Y 4/2 (olive gray),heavy [DB86],,,,,,,,,,,,,,,,,,
