leg,site,hole,age mnemonic,auxiliary age mnemonic,top of section depth(m),bottom of section depth(m),special condition,age,auxiliary age,averaged age,age top of section(million years),age bottom of section(million years),average age(million years)t,data source
50,416,A,LOWER PLIOCENE,,146.0,146.3,,NO AGE GIVEN,,NO AGE GIVEN,  3.4,    5,  4.2,DSDP INITIAL REPORTS
50,416,A,UPPER MIOCENE,,146.3,146.8,,NO AGE GIVEN,,NO AGE GIVEN,    5, 10.5, 7.75,DSDP INITIAL REPORTS
50,416,A,MIDDLE MIOCENE,,146.8,148.0,,NO AGE GIVEN,,NO AGE GIVEN, 10.5,   16,13.25,DSDP INITIAL REPORTS
50,416,A,LOWER MIOCENE,,148.0,307.5,,NO AGE GIVEN,,NO AGE GIVEN,   16, 22.5,19.25,DSDP INITIAL REPORTS
50,416,A,UPPER OLIGOCENE,,450.0,459.5,,NO AGE GIVEN,,NO AGE GIVEN, 22.5,   30,26.25,DSDP INITIAL REPORTS
50,416,A,LOWER OLIGOCENE,UPPER EOCENE,602.0,611.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   30,   43, 36.5,DSDP INITIAL REPORTS
50,416,A,LOWER EOCENE,,754.0,754.6,,NO AGE GIVEN,,NO AGE GIVEN,   49, 53.5,51.25,DSDP INITIAL REPORTS
50,416,A,ALBIAN,,754.6,763.5,,NO AGE GIVEN,,NO AGE GIVEN,  100,  108,  104,DSDP INITIAL REPORTS
50,416,A,LOWER APTIAN,,891.0,896.0,,NO AGE GIVEN,,NO AGE GIVEN,  112,  115,113.5,DSDP INITIAL REPORTS
50,416,A,HAUTERIVIAN,,982.0,1222.0,,NO AGE GIVEN,,NO AGE GIVEN,  121,  126,123.5,DSDP INITIAL REPORTS
50,416,A,VALANGINIAN,,1222.0,1539.6,,NO AGE GIVEN,,NO AGE GIVEN,  126,  131,128.5,DSDP INITIAL REPORTS
50,416,A,BERRIASIAN,,1539.6,1578.6,,NO AGE GIVEN,,NO AGE GIVEN,  131,  135,  133,DSDP INITIAL REPORTS
50,416,A,TITHONIAN,,1578.6,1624.0,,NO AGE GIVEN,,NO AGE GIVEN,  135,  141,  138,DSDP INITIAL REPORTS
