Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Ticinella primula,Ticinella madecassiana,Globigerinelloides bentonensis,Globigerinelloides caseyi,Whiteinella baltica,Heterohelix moremani,Hedbergella planispira,Hedbergella delrioensis,Heterohelix globulosa,Whiteinella inornata,Whiteinella archaeocretacea,Marginotruncana pseudolinneiana,Dicarinella concavata,Dicarinella canaliculata,Clavihedbergella simplex,Rugoglobigerina rugosa,Globotruncanella pschadae,Globotruncana ventricosa,Globotruncana esnehensis,Globotruncana aegyptiaca,Contusotruncana fornicata,Pseudoguembelina costulata,Globotruncanita conica,Globotruncana linneiana,Archaeoglobigerina blowi,Globotruncanella havanensis,Globotruncanella citae,Globotruncana arca,Abathomphalus intermedius,Rugoglobigerina rotundata,Racemiguembelina fructicosa,Pseudotextularia elegans,Globotruncanita stuarti,Rugoglobigerina hexacamerata,Pseudoguembelina palpebra,Gansserina gansseri,Contusotruncana contusa,Rugoglobigerina scotti,Abathomphalus mayaroensis,Praemurica uncinata,Praemurica inconstans,Parasubbotina pseudobulloides,Morozovella praeangulata,Subbotina velascoensis,Subbotina triangularis,Morozovella velascoensis,Morozovella pasionensis,Morozovella occlusa,Globanomalina pseudomenardii,Acarinina nitida,Subbotina triloculinoides,Morozovella subbotinae,Morozovella apanthesma,Morozovella aequa,Morozovella acuta,Acarinina soldadoensis,Acarinina coalingensis,Chiloguembelina wilcoxensis,Pseudohastigerina micra,Acarinina wilcoxensis,Acarinina quetra,Morozovella gracilis,Morozovella marginodentata,Subbotina patagonica,Muricoglobigerina senni,Turborotalia pomeroli,Turborotalia cerroazulensis,Subbotina boweri,Morozovella spinulosa,Morozovella aragonensis,Igorina broedermanni,Guembelitrioides higginsi,Globigerinatheka mexicana,Acarinina bullbrooki,Morozovella lehneri,Acarinina rohri,Globigerinatheka kugleri,Globigerinatheka index,Acarinina topilensis,Orbulinoides beckmanni,Clavigerinella eocanica,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1260,B,  1,R,CC,  11.00,     48.7900,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                 ,                      ,                              ,                         ,                   ,                    ,                      ,                       ,                     ,                    ,                           ,                               ,                     ,                        ,                        ,                      ,                         ,                        ,                        ,                        ,                         ,                          ,                      ,                       ,                        ,                           ,                      ,                  ,                         ,                         ,                           ,                        ,                       ,                            ,                         ,                   ,                       ,                      ,                         ,                   ,                     ,                             ,                        ,                      ,                      ,                        ,                       ,                   ,                            ,                ,                         ,                      ,                      ,                 ,                 ,                      ,                      ,                           ,                       ,                     ,                ,                    ,                          ,                    ,                       ,P                    ,                           ,                ,P                    ,                       ,                    ,                         ,P                        ,                    ,P                  ,P              ,                        ,P                     ,P                   ,P                     ,P                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1260,B,  2,R,CC,  14.00,     56.4100,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                 ,                      ,                              ,                         ,                   ,                    ,                      ,                       ,                     ,                    ,                           ,                               ,                     ,                        ,                        ,                      ,                         ,                        ,                        ,                        ,                         ,                          ,                      ,                       ,                        ,                           ,                      ,                  ,                         ,                         ,                           ,                        ,                       ,                            ,                         ,                   ,                       ,                      ,                         ,                   ,                     ,                             ,                        ,                      ,                      ,                        ,                       ,                   ,                            ,                ,                         ,                      ,                      ,                 ,                 ,                      ,                      ,                           ,                       ,                     ,                ,                    ,                          ,                    ,                       ,P                    ,                           ,                ,P                    ,                       ,                    ,                         ,P                        ,                    ,P                  ,P              ,                        ,                      ,                    ,P                     ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1260,B,  3,R,CC,  15.00,     62.8600,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                 ,                      ,                              ,                         ,                   ,                    ,                      ,                       ,                     ,                    ,                           ,                               ,                     ,                        ,                        ,                      ,                         ,                        ,                        ,                        ,                         ,                          ,                      ,                       ,                        ,                           ,                      ,                  ,                         ,                         ,                           ,                        ,                       ,                            ,                         ,                   ,                       ,                      ,                         ,                   ,                     ,                             ,                        ,                      ,                      ,                        ,                       ,                   ,                            ,                ,                         ,                      ,                      ,                 ,                 ,                      ,                      ,                           ,                       ,                     ,                ,                    ,                          ,                    ,P                      ,P                    ,P                          ,                ,                     ,                       ,                    ,                         ,                         ,P                   ,                   ,P              ,P                       ,                      ,                    ,P                     ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1260,B,  4,R,CC,   0.00,     74.1700,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                 ,                      ,                              ,                         ,                   ,                    ,                      ,                       ,                     ,                    ,                           ,                               ,                     ,                        ,                        ,                      ,                         ,                        ,                        ,                        ,                         ,                          ,                      ,                       ,                        ,                           ,                      ,                  ,                         ,                         ,                           ,                        ,                       ,                            ,                         ,                   ,                       ,                      ,                         ,                   ,                     ,                             ,                        ,                      ,                      ,                        ,                       ,                   ,                            ,                ,                         ,                      ,                      ,                 ,                 ,                      ,                      ,                           ,                       ,                     ,                ,                    ,                          ,                    ,P                      ,P                    ,P                          ,                ,                     ,                       ,                    ,                         ,                         ,P                   ,P                  ,P              ,                        ,                      ,P                   ,P                     ,                       ,       
