Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reticulofenestra spp. (small - medium)	Pseudoemiliania lacunosa	Florisphaera profunda	Discoaster pentaradiatus	Discoaster brouweri	Calcidiscus macintyrei	Helicosphaera carteri	Discoaster variabilis	Discoaster surculus	Coccolithus pelagicus	Ceratolithus cristatus	Calcidiscus leptoporus	Sphenolithus abies/neoabies	Reticulofenestra pseudoumbilicus	Discoaster asymmetricus	Gephyrocapsa spp. (small)	Umbilicosphaera sibogae	Thorosphaera flabellata	Syracosphaera pulchra	Rhabdosphaera clavigera	Pontosphaera spp.	Gephyrocapsa margerelii	Gephyrocapsa oceanica	Reticulofenestra asanoi	Scapholithus fossilis	Helicosphaera hyalina	Gephyrocapsa caribbeanica	Syracosphaera spp.	Oolithotus antillarum	Helicosphaera wallichii	Helicosphaera pavimentum	Helicosphaera inversa	Umbellosphaera irregularis	Emiliania huxleyi	Umbellosphaera tenuis	Discosphaera tubifera	Comment



  IR	Pleistocene      	Pleistocene      	NN21B             	NN21B         	184	1145	A	  1	H	CC	   8.00	      1.2800	nannos   	Nannofossils                                 	A              	G                 	F                                     	                        	A                    	                        	                   	                      	F                    	                     	                   	R                    	R                     	C                     	                           	                                	                       	                         	C                      	                       	F                    	C                      	R                	                       	A                    	                       	F                    	R                    	                         	                  	F                    	R                      	                        	                     	R                         	D                	F                    	R                    	       

  IR	Pleistocene      	Pleistocene      	NN21B             	NN21B         	184	1145	A	  2	H	CC	   9.00	     10.1100	nannos   	Nannofossils                                 	A              	G                 	                                      	                        	A                    	                        	                   	                      	F                    	                     	                   	                     	R                     	F                     	                           	                                	                       	                         	C                      	R                      	F                    	F                      	R                	                       	A                    	                       	R                    	F                    	                         	R                 	F                    	R                      	                        	                     	R                         	D                	F                    	                     	       

  IR	Pleistocene      	Pleistocene      	NN21A             	NN21A         	184	1145	A	  3	H	CC	   8.00	     20.4100	nannos   	Nannofossils                                 	C              	M                 	                                      	                        	A                    	                        	                   	                      	F                    	                     	                   	                     	R                     	F                     	                           	                                	                       	F                        	F                      	                       	F                    	F                      	                 	                       	C                    	                       	R                    	R                    	                         	                  	F                    	R                      	                        	                     	R                         	C                	                     	                     	       

  IR	Pleistocene      	Pleistocene      	NN21A             	NN21A         	184	1145	A	  4	H	CC	   0.00	     29.5600	nannos   	Nannofossils                                 	A              	G                 	F                                     	                        	A                    	                        	                   	                      	F                    	                     	                   	                     	R                     	C                     	                           	                                	                       	A                        	C                      	                       	F                    	F                      	                 	                       	C                    	                       	R                    	                     	R                        	R                 	F                    	                       	R                       	                     	R                         	C                	F                    	                     	       

  IR	Pleistocene      	Pleistocene      	NN21A             	NN21A         	184	1145	A	  5	H	CC	  49.00	            	nannos   	Nannofossils                                 	A              	G                 	F                                     	                        	A                    	                        	                   	                      	F                    	                     	                   	                     	R                     	C                     	                           	                                	                       	A                        	F                      	F                      	F                    	C                      	R                	F                      	A                    	                       	R                    	F                    	F                        	                  	F                    	R                      	R                       	R                    	F                         	C                	                     	                     	       

