Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reticulofenestra "small"	Coccolithus pelagicus	Placolithus (unidentified taxa)	Calcidiscus leptoporus	Pseudoemiliania lacunosa	Helicosphaera sellii	Gephyrocapsa caribbeanica	Gephyrocapsa aperta	Pontosphaera japonica	Dictyococcites productus	Helicosphaera carteri	Gephyrocapsa oceanica	Calcidiscus macintyrei	Pontosphaera sp.	Comment



  SR	                 	                 	                  	              	128	 798	B	 14	H	 2	  19.00	    124.5900	Muza     	Nannofossils                                 	C              	P                 	                        	C                    	F                              	                      	                        	                    	                         	                   	                     	                        	                     	                     	                      	                	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	B	 14	H	 3	 100.00	    126.9000	Muza     	Nannofossils                                 	A              	P                 	A                       	A                    	C                              	                      	                        	                    	A                        	                   	                     	A                       	                     	C                    	                      	F               	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	B	 14	H	 4	  60.00	    128.0000	Muza     	Nannofossils                                 	A              	P                 	A                       	A                    	A                              	A                     	C                       	                    	V                        	                   	                     	A                       	                     	F                    	                      	C               	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	B	 14	H	 5	 100.00	    129.9000	Muza     	Nannofossils                                 	A              	P                 	A                       	A                    	A                              	A                     	F                       	                    	A                        	                   	                     	A                       	                     	F                    	                      	F               	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	B	 14	H	 6	  30.00	    130.7000	Muza     	Nannofossils                                 	C              	P                 	                        	C                    	C                              	C                     	                        	                    	C                        	                   	                     	                        	                     	                     	                      	                	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	B	 14	H	 7	  10.00	    132.0000	Muza     	Nannofossils                                 	C              	P                 	                        	C                    	C                              	                      	                        	                    	C                        	                   	                     	                        	                     	                     	                      	                	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	B	 14	H	 8	  14.00	    133.5400	Muza     	Nannofossils                                 	C              	P                 	                        	C                    	C                              	                      	                        	                    	C                        	                   	                     	                        	                     	                     	                      	                	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	B	 15	H	 1	 106.00	    133.9600	Muza     	Nannofossils                                 	C              	P                 	                        	C                    	C                              	C                     	                        	                    	C                        	                   	                     	                        	                     	                     	                      	                	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	B	 15	H	 3	  47.00	    136.0300	Muza     	Nannofossils                                 	F              	P                 	                        	C                    	F                              	                      	                        	                    	                         	                   	                     	                        	                     	                     	                      	                	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

