Leg,Site,H,Age Model Type           ,Depth (mbsf),    Age (Ma),,Control Point Comment
,,,,,,,
,,,,,,,
,,,,,,,
154, 925,A,Initial Reports          ,     316.720,   14.700000,,B Fohsella peripheroacuta
,,,,,,,
154, 925,A,Initial Reports          ,     322.700,   14.800000,,T Praeorbulina sicana
,,,,,,,
154, 925,A,Initial Reports          ,     323.800,   15.100000,,B Orbulina suturalis
,,,,,,,
154, 925,A,Initial Reports          ,     332.350,   15.800000,,T Helicosphaera ampliaperta
,,,,,,,
154, 925,A,Initial Reports          ,     381.680,   16.400000,,B Praeorbulina sicana
,,,,,,,
154, 925,A,Initial Reports          ,     392.310,   17.299999,,T Catapsydrax dissimilis
,,,,,,,
154, 925,A,Initial Reports          ,     401.090,   18.100000,,B Sphenolithus heteromorphus
,,,,,,,
154, 925,A,Initial Reports          ,     410.420,   18.400000,,T Sphenolithus belemnos
,,,,,,,
154, 925,A,Initial Reports          ,     433.810,   19.100000,,T Globoquadrina binaiensis
,,,,,,,
154, 925,A,Initial Reports          ,     458.620,   21.600000,,T Paragloborotalia kugleri
,,,,,,,
154, 925,A,Initial Reports          ,     458.630,   22.100000,,B Globoquadrina binaiensis
,,,,,,,
154, 925,A,Initial Reports          ,     501.290,   23.299999,,T Globigerina angulisuturalis
,,,,,,,
154, 925,A,Initial Reports          ,     501.680,   23.700001,,T Sphenolithus delphix
,,,,,,,
154, 925,A,Initial Reports          ,     508.760,   24.500000,,B common Globigerinoides primordius
,,,,,,,
154, 925,A,Initial Reports          ,     542.800,   26.299999,,B Paragloborotalia pseudokugleri
,,,,,,,
154, 925,A,Initial Reports          ,     574.210,   26.500000,,T Sphenolithus distentus
,,,,,,,
154, 925,A,Initial Reports          ,     579.410,   27.100000,,T Paragloborotalia opima
,,,,,,,
154, 925,A,Initial Reports          ,     592.770,   28.100000,,B Sphenolithus ciperoensis
,,,,,,,
154, 925,A,Initial Reports          ,     593.460,   28.500000,,T common Chiloguembelina cubensis
,,,,,,,
154, 925,A,Initial Reports          ,     641.380,   29.700001,,B Globigerina angulisuturalis
,,,,,,,
154, 925,A,Initial Reports          ,     655.800,   30.400000,,B Sphenolithus distentus
,,,,,,,
154, 925,A,Initial Reports          ,     740.510,   32.099998,,T >14 microns Reticulofenestra umbilicus
,,,,,,,
154, 925,A,Initial Reports          ,     746.060,   32.500000,,T Pseudohastigerina
,,,,,,,
154, 925,A,Initial Reports          ,     755.340,   32.700001,,T Coccolithus formosus
,,,,,,,
154, 925,A,Initial Reports          ,     776.750,   33.799999,,T Hantkenina alabamensis
,,,,,,,
154, 925,A,Initial Reports          ,     777.230,   33.900002,,T Turborotalia cerroazulensis
,,,,,,,
154, 925,A,Initial Reports          ,     778.700,   34.000000,,T Cribrohantkenina inflata
,,,,,,,
154, 925,A,Initial Reports          ,     779.810,   34.200001,,T Globigerinatheka index
,,,,,,,
154, 925,A,Initial Reports          ,     786.090,   34.200001,,T Discoaster saipanensis
,,,,,,,
154, 925,A,Initial Reports          ,     792.440,   35.000000,,T Cribrocentrum reticulatum
,,,,,,,
154, 925,A,Initial Reports          ,     799.510,   35.400002,,T Calcidiscus protoannula
,,,,,,,
154, 925,A,Initial Reports          ,     857.160,   37.099998,,T Chiasmolithus grandis
,,,,,,,
154, 925,A,Initial Reports          ,     880.970,   40.200001,,T Orbulinoides beckmanni
,,,,,,,
154, 925,A,Initial Reports          ,     920.640,   42.200001,,B >14 microns Reticulofenestra umbilicus
,,,,,,,
