leg,site,hole,age mnemonic,auxiliary age mnemonic,top of section depth(m),bottom of section depth(m),special condition,age,auxiliary age,averaged age,age top of section(million years),age bottom of section(million years),average age(million years)t,data source
36,327,A,UPPER PLEISTOCENE,,4.5,13.5,,NO AGE GIVEN,,NO AGE GIVEN, 0.01,  0.7,0.355,DSDP INITIAL REPORTS
36,327,A,LOWER EOCENE,,13.5,23.0,,NO AGE GIVEN,,NO AGE GIVEN,   49, 53.5,51.25,DSDP INITIAL REPORTS
36,327,A,LOWER EOCENE,UPPER PALEOCENE,23.0,32.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   49,   60, 54.5,DSDP INITIAL REPORTS
36,327,A,UPPER PALEOCENE,,32.5,70.5,,NO AGE GIVEN,,NO AGE GIVEN, 53.5,   60,56.75,DSDP INITIAL REPORTS
36,327,A,PALEOCENE,,70.5,80.0,,NO AGE GIVEN,,NO AGE GIVEN, 53.5,   65,59.25,DSDP INITIAL REPORTS
36,327,A,MAESTRICHTIAN,,89.5,118.0,,NO AGE GIVEN,,NO AGE GIVEN,   65,   70, 67.5,DSDP INITIAL REPORTS
36,327,A,MAESTRICHTIAN,CAMPANIAN,137.0,146.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   65,   78, 71.5,DSDP INITIAL REPORTS
36,327,A,SANTONIAN,,146.5,154.2,,NO AGE GIVEN,,NO AGE GIVEN,   78,   82,   80,DSDP INITIAL REPORTS
36,327,A,CENOMANIAN,,154.2,156.0,,NO AGE GIVEN,,NO AGE GIVEN,   92,  100,   96,DSDP INITIAL REPORTS
36,327,A,UPPER ALBIAN,,175.0,184.5,,NO AGE GIVEN,,NO AGE GIVEN,  100,  104,  102,DSDP INITIAL REPORTS
36,327,A,MIDDLE ALBIAN,LOWER ALBIAN,184.5,317.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  104,  108,  106,DSDP INITIAL REPORTS
36,327,A,UPPER APTIAN,,336.5,374.5,,NO AGE GIVEN,,NO AGE GIVEN,  108,  112,  110,DSDP INITIAL REPORTS
36,327,A,LOWER APTIAN,,393.5,431.5,,NO AGE GIVEN,,NO AGE GIVEN,  112,  115,113.5,DSDP INITIAL REPORTS
36,327,A,NEOCOMIAN,,450.5,469.5,,NO AGE GIVEN,,NO AGE GIVEN,  121,  135,  128,DSDP INITIAL REPORTS
