Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Triquetrorhabdulus rugosus,Sphenolithus moriformis,Sphenolithus heteromorphus,Sphenolithus compactus,Reticulofenestra sp. (small),Reticulofenestra pseudoumbilica,Pontosphaera multipora,Helicosphaera carteri,Helicosphaera ampliaperta,Discoaster variabilis,Discoaster kugleri,Discoaster deflandrei,Dictyococcites perplexus,Cyclicargolithus floridanus,Coccolithus pelagicus,Coccolithus miopelagicus,Dictyococcites productus,Sphenolithus abies,Discoaster sp.,Calcidiscus leptoporus,Discoaster sanmiguelensis,Triquetrorhabdulus carinatus,Discoaster exilis,Discoaster adamanteus,Discoaster stellulus,Calcidiscus macintyrei,Discoaster brouweri,Braarudosphaera bigelowii,Sphenolithus neoabies,Sphenolithus umbrellus,Pontosphaera distincta,Gephyrocapsa sp. (small),Gephyrocapsa caribbeanica,Gephyrocapsa oceanica,Pseudoemiliania lacunosa,Coccolithus streckerii,Pontosphaera sp.,Coccolithus sp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,CN14b             ,              ,127, 797,B,  2,H, 1, 102.00,      6.9200,Rahman   ,Nannofossils                                 ,M              ,M                 ,                          ,                       ,                          ,                      ,M                           ,                               ,                      ,                     ,                         ,                     ,                  ,                     ,                        ,                           ,F                    ,                        ,                        ,                  ,              ,                      ,                         ,                            ,                 ,                     ,                    ,                      ,                   ,                         ,                     ,                      ,                      ,R                       ,F                        ,M                    ,                        ,                      ,                ,               ,from ODP Legs 127&128 SR Chapter 11 Table 5 p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,CN14b             ,              ,127, 797,B,  3,H, 1,  26.00,     15.6600,Rahman   ,Nannofossils                                 ,M              ,M                 ,                          ,                       ,                          ,                      ,M                           ,                               ,                      ,                     ,                         ,                     ,                  ,                     ,                        ,                           ,M                    ,                        ,                        ,                  ,              ,R                     ,                         ,                            ,                 ,                     ,                    ,                      ,                   ,                         ,                     ,                      ,                      ,                        ,R                        ,                     ,                        ,                      ,                ,               ,from ODP Legs 127&128 SR Chapter 11 Table 5 p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,CN14b             ,              ,127, 797,B,  3,H, 6, 103.00,     23.9300,Rahman   ,Nannofossils                                 ,A              ,G                 ,                          ,                       ,                          ,                      ,A                           ,                               ,                      ,                     ,                         ,                     ,                  ,                     ,                        ,                           ,F                    ,                        ,                        ,                  ,              ,                      ,                         ,                            ,                 ,                     ,                    ,                      ,                   ,                         ,                     ,                      ,                      ,R                       ,                         ,R                    ,                        ,                      ,                ,               ,from ODP Legs 127&128 SR Chapter 11 Table 5 p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,CN14a             ,              ,127, 797,B,  3,H, 6, 135.00,     24.2500,Rahman   ,Nannofossils                                 ,A              ,G                 ,                          ,                       ,                          ,                      ,A                           ,                               ,                      ,                     ,                         ,                     ,                  ,                     ,                        ,                           ,R                    ,                        ,                        ,                  ,              ,                      ,                         ,                            ,                 ,                     ,                    ,                      ,                   ,F                        ,                     ,                      ,                      ,R                       ,                         ,R                    ,R                       ,                      ,                ,R              ,from ODP Legs 127&128 SR Chapter 11 Table 5 p 177
