Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Guexella nudata,Tricolocapsa sp. aff. T.(?) fusiformis,Tricolocapsa conexa,Stichocapsa robusta,Ristola altissima,Protunuma turbo,Parvicingula dhimenaesis,Hsuum maxwelli,Hsuum brevicostatum,Haliodictya(?) hojnosi,Eucyrtidiellum unumaense,Dictyomitrella(?) kamoensis,Archaeodictyomitra(?) amabilis,Acanthocircus suboblongus,Stylocapsa tecta,Theocapsomma cordis,Stylocapsa oblongula,Dicolocapsa conoformis,Stylocapsa catenarum,Stichocapsa sp. P,Paronaella mulleri,Mirifusus fragilis,Eucyrtidiellum nodosum,Podobursa helvetica,Emiluvia chica,Williriedellum sp. A,Stylocapsa(?) spiralis,Tetratrabs zealis,Stichocapsa doryspheroides,Gongylothorax sakawaensis,Andromeda sp. M,Zhamoidellum mikamense,Eucyrtidiellum ptyctum,Cyrtocapsa sp. A,Tricolocapsa yaoi,Perispyridium ordinarium,Gongylothorax sp. aff. G. favosus,Emiluvia hopsoni,Cinguloturris carpatica,Solenotryma(?) ichikawai,Spongocapsula palmerae,Acaeniotyle diaphorogona,Pseudodictyomitra (?) sp. D,Mirifusus guadalupensis,Eucyrtidiellum sp. P,Crucella theokaftensis,Protunuma japonicus,Pseudodictyomitra primitiva,Foremanella diamphidia,Napora pyramidalis,Protovallupus spp.,Spongocapsula sp. A,Mesovallupus guadalupensis,Vallupus hopsoni,Mirifusus mediodilatatus,Pseudodictyomitra carpatica,Parvicingula boesii,Archaeodictyomitra apiarium,Sethocapsa uterculus,Xitus spicularius,Thanarla pulchra,Sethocapsa cetia,Podocapsa amphitreptera,Podobursa triacantha,Parvicingula cosmoconica,Archaeodictyomitra pseudoscalaris,Archaeodictyomitra excellens,Alievium helenae,Acanthocircus trizonalis,Archaeodictyomitra brouweri var. alpha,Acanthocircus dicranacanthos,Syringocapsa agolarium,Acaeniotyle umbilicata,Cecrops septemporatus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. septemporatus  ,NP8           ,129, 801,B, 14,R,CC,   0.00,    318.9100,Matsuoka ,Radiolarians                                 ,A              ,P-M               ,               ,                                      ,                   ,                   ,                 ,               ,                        ,              ,                   ,                      ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,                      ,                   ,              ,                    ,                      ,                 ,                          ,                         ,               ,                      ,                      ,                ,                 ,                        ,                                 ,                ,                       ,                        ,                      ,                        ,                           ,                       ,                    ,                      ,                   ,                           ,                      ,                  ,                  ,                   ,                          ,                ,                        ,                           ,                   ,                           ,                    ,                 ,+               ,                ,                       ,+                   ,                        ,+                                ,+                           ,+               ,                        ,+                                     ,                            ,                      ,                      ,+                    ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Valanginian      ,                 ,P. carpatica      ,NP2           ,129, 801,B, 15,R, 1,  23.00,    327.9300,Matsuoka ,Radiolarians                                 ,A              ,P                 ,               ,                                      ,                   ,                   ,                 ,               ,                        ,              ,                   ,                      ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,                      ,                   ,              ,                    ,                      ,                 ,                          ,                         ,               ,                      ,                      ,                ,                 ,                        ,                                 ,                ,                       ,                        ,                      ,                        ,                           ,                       ,                    ,                      ,                   ,                           ,                      ,                  ,                  ,                   ,                          ,                ,                        ,+                          ,+                  ,+                          ,+                   ,                 ,+               ,                ,                       ,                    ,                        ,                                 ,+                           ,                ,+                       ,+                                     ,+                           ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Valanginian      ,                 ,P. carpatica      ,NP2           ,129, 801,B, 16,R, 1,   9.00,    337.2900,Matsuoka ,Radiolarians                                 ,A              ,P                 ,               ,                                      ,                   ,                   ,                 ,               ,                        ,              ,                   ,                      ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,                      ,                   ,              ,                    ,                      ,                 ,                          ,                         ,               ,                      ,                      ,                ,                 ,                        ,                                 ,                ,                       ,                        ,                      ,                        ,                           ,                       ,                    ,                      ,                   ,                           ,                      ,                  ,                  ,                   ,                          ,                ,                        ,+                          ,                   ,                           ,                    ,+                ,+               ,                ,                       ,                    ,                        ,+                                ,                            ,                ,+                       ,+                                     ,+                           ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Valanginian      ,                 ,P. carpatica      ,NP2           ,129, 801,B, 16,R, 1,  32.00,    337.5200,Matsuoka ,Radiolarians                                 ,A              ,P-M               ,               ,                                      ,                   ,                   ,                 ,               ,                        ,              ,                   ,                      ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,                      ,                   ,              ,                    ,                      ,                 ,                          ,                         ,               ,                      ,                      ,                ,                 ,                        ,                                 ,                ,                       ,                        ,                      ,                        ,                           ,                       ,                    ,                      ,                   ,                           ,                      ,                  ,                  ,                   ,                          ,                ,                        ,+                          ,                   ,+                          ,                    ,+                ,                ,                ,                       ,                    ,                        ,                                 ,                            ,+               ,                        ,+                                     ,+                           ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
