Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Coccolithus pelagicus,Gephyrocapsa Group 1,Gephyrocapsa oceanica,Gephyrocapsa Group 3,Calcidiscus leptoporus,Pontosphaera sp.,Emiliania huxleyi,Gephyrocapsa Group 2,Gephyrocapsa Group 4,Reticulofenestra sp.,Pontosphaera japonica,Gephyrocapsa caribbeanica,Coccolithus crassipons,Braarudosphaera bigelowii,Syracosphaera pulchra,Emiliania pujosae,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,Holocene         ,NN21B             ,              ,139, 857,C,  1,R, 1,   0.00,      0.0000,Mao      ,Nannofossils                                 ,C              ,M                 ,F                    ,                    ,C                    ,                    ,F                     ,                ,C                ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,R                    ,                 ,",from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,Holocene         ,NN21B             ,              ,139, 857,C,  1,R, 1,  61.00,      0.6100,Mao      ,Nannofossils                                 ,C              ,P                 ,F                    ,                    ,C                    ,                    ,                      ,                ,R                ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,",from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Holocene         ,                 ,NN21              ,              ,139, 857,C,  1,R, 2, 125.00,      2.7500,Mao      ,Nannofossils                                 ,C              ,P                 ,F                    ,C                   ,                     ,                    ,                      ,                ,F                ,F                   ,R                   ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,Holocene         ,NN21B             ,              ,139, 857,C,  1,R,CC,  13.00,      3.5600,Mao      ,Nannofossils                                 ,C              ,M                 ,F                    ,                    ,C                    ,                    ,R                     ,                ,C                ,                    ,                    ,                    ,R                    ,R                        ,                      ,R                        ,R                    ,R                ,",from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 857,C,  2,R, 1,   6.00,     56.5600,Mao      ,Nannofossils                                 ,C              ,P                 ,C                    ,C                   ,                     ,                    ,                      ,                ,R                ,F                   ,R                   ,                    ,                     ,                         ,R                     ,R                        ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
