Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group	Group Abundance	Group Preservation	Globigerinoides trilobus	Globigerinoides quadrilobatus	Globigerinoides obliquus	Globigerinella siphonifera	Orbulina universa	Dentoglobigerina globosa	Globigerinoides extremus	Sphaeroidinellopsis subdehiscens	Neogloboquadrina humerosa	Globorotalia menardii	Globigerinoides conglobatus	Pulleniatina primalis	Globigerinoides sacculifer	Dentoglobigerina altispira	Globorotalia tumida	Neogloboquadrina acostaensis	Globorotalia tumida flexuosa	Globorotalia scitula	Globorotalia margaritae	Sphaeroidinellopsis seminulina	Sphaeroidinellopsis paenedehiscens	Sphaeroidinella dehiscens	Pulleniatina spectabilis	Pulleniatina obliquiloculata	Pulleniatina praecursor	Globorotalia crassaformis	Globigerinoides ruber	Sphaeroidinella dehiscens s.l.	Globorotalia tosaensis	Comment
																																														
																																														
																																														
IR		Late Pliocene		N21	180	1109	D	1	R	CC	33.00	359.0100	Perembo	Planktonic Foraminifers	A	VG									A					A	A							A		A		A			A	
																																														
IR		Early Pliocene		N20	180	1109	D	2	R	CC	15.00	368.0000	Perembo	Planktonic Foraminifers	A	VG														A	A							A		A		A				
																																														
IR		Pliocene		N20	180	1109	D	3	R	CC	31.00	377.7200	Perembo	Planktonic Foraminifers	A	VG														A	A							A		A	A	A				
																																														
IR		Pliocene		N20	180	1109	D	4	R	CC	40.00	386.6600	Perembo	Planktonic Foraminifers	A	VG															A							A		A	A	F				
																																														
IR				N20	180	1109	D	5	R	CC	40.00	388.9900	Perembo	Planktonic Foraminifers	A	G									A						A							A			A	A				
																																														
IR		Pliocene		N20	180	1109	D	6	R	CC	21.00	403.9800	Perembo	Planktonic Foraminifers	A	VG									A						A							F		A	A	A				
																																														
IR		Pliocene		N20	180	1109	D	7	R	CC	22.00	413.0400	Perembo	Planktonic Foraminifers	A	VG									A						A							A				A				
																																														
IR		Pliocene			180	1109	D	8	R	CC	15.00	424.8600	Resig	Planktonic Foraminifers	F	M	F	F			R		R			R				F	R	F	F					R			F	R	F	R		
																																														
IR		Pliocene			180	1109	D	9	R	CC	23.00	434.7000	Resig	Planktonic Foraminifers	F	M	F	R			R	R				R	R		F			R	R								R	R	F			
																																														
IR		Pliocene			180	1109	D	10	R	CC	9.00	444.4900	Resig	Planktonic Foraminifers	F	M		F			R	F	F			R	R		F	R	F	F	R		R			R		F		R	F	R		
																																														
IR		Pliocene			180	1109	D	11	R	CC	22.00	453.7900	Resig	Planktonic Foraminifers	C	M	A	A				F	A		A	F	F		F	F	F	A	F					R			F	F	A	R		
																																														
IR		Pliocene			180	1109	D	12	R	7	58.00	462.8800	Resig	Planktonic Foraminifers	F	M	F	F							F	R			F	R	R											R	F	R		
																																														
IR		Pliocene			180	1109	D	13	R	CC	14.00	473.7100	Resig	Planktonic Foraminifers	C	M	A	A				F	A		F	F	F		A	F	F							R			F	R	A			
																																														
IR		Pliocene			180	1109	D	14	R	CC	15.00	483.4500	Resig	Planktonic Foraminifers	F	M		F			R	F	F		F	F			F	R	R		R								F		F	F		
																																														
