Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus moriformis	Reticulofenestra coenura	Pontosphaera spp.	Helicosphaera intermedia	Dictyococcites bisectus	Cyclicargolithus floridanus	Coccolithus pelagicus	Chiasmolithus spp.	Zygrhablithus bijugatus	Rhabdosphaera tenuis	Reticulofenestra umbilica	Reticulofenestra reticulata	Lanternithus minutus	Discoaster tanii	Discoaster saipanensis	Discoaster germanicus	Coccolithus formosus	Clausicoccus subdistichus	Chiasmolithus oamaruensis	Chiasmolithus modestus	Braarudosphaera bigelowii	Reticulofenestra samodurovii	Reticulofenestra spp.	Blackites spinosus	Isthmolithus recurvus	Chiasmolithus altus	Reticulofenestra haqii	Reticulofenestra daviesii	Micrantholithus flos	Helicosphaera recta	Cyclicargolithus abisectus	Coronocyclus nitescens	Triquetrorhabdulus carinatus	Sphenolithus distentus	Discoaster deflandrei	Sphenolithus predistentus	Helicosphaera bramlettei	Amaurolithus primus	Sphenolithus dissimilis	Sphenolithus capricornutus	Coccolithus miopelagicus	Sphenolithus calyculus	Discoaster calculosus	Helicosphaera ampliaperta	Sphenolithus conicus	Discoaster formosus	Sphenolithus belemnos	Helicosphaera perch-nielseniae	Sphenolithus heteromorphus	Discoaster variabilis	Calcidiscus premacintyrei	Reticulofenestra pseudoumbilica	Triquetrorhabdulus rugosus	Calcidiscus macintyrei	Helicosphaera sellii	Discoaster loeblichii	Discoaster surculus	Discoaster mendomobensis	Discoaster intercalaris	Discoaster pentaradiatus	Discoaster challengeri	Discoaster blackstockae	Amaurolithus delicatus	Discoaster asymmetricus	Ceratolithus acutus	Pseudoemiliania lacunosa	Gephyrocapsa spp. (small)	Comment



  IR	                 	Pleistocene      	CN14              	CN14          	189	1168	A	  1	H	CC	  22.00	      7.2400	nannos   	Nannofossils                                 	               	                  	                       	                        	                 	                        	                       	                           	                     	                  	                       	                    	                         	                           	                    	                	                      	                     	                    	                         	                         	                      	                         	                            	                     	                  	                     	                   	                      	                         	                    	                   	                          	                      	                            	                      	                     	                         	                        	                   	                       	                          	                        	                      	                     	                         	                    	                   	                     	                              	                          	                     	                         	                               	                          	                      	                    	                     	                   	                        	                       	                        	                      	                       	                      	                       	                   	F                       	C                        	       

  IR	                 	Pleistocene      	                  	CN13          	189	1168	A	  2	H	CC	   9.00	     17.0000	nannos   	Nannofossils                                 	               	                  	                       	                        	                 	                        	                       	                           	                     	                  	                       	                    	                         	                           	                    	                	                      	                     	                    	                         	                         	                      	                         	                            	                     	                  	                     	                   	                      	                         	                    	                   	                          	                      	                            	                      	                     	                         	                        	                   	                       	                          	                        	                      	                     	                         	                    	                   	                     	                              	                          	                     	                         	                               	                          	F                     	F                   	                     	                   	                        	                       	                        	                      	                       	                      	                       	                   	                        	                         	       

  IR	                 	Late Pliocene    	CN12b             	CN12a         	189	1168	A	  3	H	CC	  29.00	     26.7100	nannos   	Nannofossils                                 	               	                  	                       	                        	                 	                        	                       	                           	                     	                  	                       	                    	                         	                           	                    	                	                      	                     	                    	                         	                         	                      	                         	                            	                     	                  	                     	                   	                      	                         	                    	                   	                          	                      	                            	                      	                     	                         	                        	                   	                       	                          	                        	                      	                     	                         	                    	                   	                     	                              	                          	                     	                         	                               	                          	                      	                    	                     	R                  	                        	                       	                        	                      	                       	                      	                       	                   	                        	                         	       

  IR	                 	                 	                  	              	189	1168	A	  4	H	CC	   0.00	     35.7500	nannos   	Nannofossils                                 	               	                  	                       	                        	                 	                        	                       	                           	                     	                  	                       	                    	                         	                           	                    	                	                      	                     	                    	                         	                         	                      	                         	                            	                     	                  	                     	                   	                      	                         	                    	                   	                          	                      	                            	                      	                     	                         	                        	                   	                       	                          	                        	                      	                     	                         	                    	                   	                     	                              	                          	                     	                         	                               	                          	                      	                    	                     	R                  	                        	                       	                        	                      	                       	                      	                       	                   	                        	                         	       
