Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Circulodinium distinctum	Operculodinium centrocarpum	Deflandrea phosphoritica group	Spiniferites ramosus	Cribroperidinium giuseppei	Systematophora placacantha	Pyxidinopsis waipawaensis	Lejeunecysta spp.	Diphyes ficusoides	Impagidinium dispertitum	Hystrichokolpoma rigaudiae	Distatodinium ellipticum	Thalassiphora pelagica	Wetzeliella spp. (pars.)	Operculodinium israelianum	Lingulodinium machaerophorum	Hystrichostrogylon spp.	Glaphyrocysta intricata	Eocladopyxis sp.	Apteodinium australiense	Dapsilidinium pseudocolligerum	Cannosphaeropsis sp.	Reticulatosphaera actinocoronata	Nematosphaeropsis labyrinthea	Impagidinium cf. I. aculeatum	Impagidinium aculeatum	Operculodinium longispinigerum	Impagidinium velorum	Impagidinium sphaericum	Impagidinium patulum	Apteodinium spiridoides	Pentadinium laticinctum	Operculodinium psilatum	Operculodinium echigoense	Cerebrocysta sp. A	Spiniferites mirabilis	Pyxidinopsis fairhavenensis	Achomosphaera spp. (pars.)	Impagidinium paradoxum	Achomosphaera andalousiensis	Spiniferites membranaceus	Invertocysta tabulata	Impagidinium strialatum	Spiniferites pseudofurcatus	Wetzeliella articulata	Tectatodinium pellitum	Brigantedinium spp.	Amiculosphaera umbracula	Echinidinium spp.	Corrudinium harlandii	Bitectatodinium tepikiense	Ataxiodinium spp.	Spiniferites hyperacanthus	Spiniferites bentorii	Impagidinium? pallidum	Spiniferites pachyderma	Polysphaeridium zoharyi	Comment



  IR	                 	                 	                  	              	189	1168	A	  1	H	CC	  22.00	      7.2400	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	A              	G                 	                        	15                         	                              	29                  	                          	                          	                         	                 	                  	                        	                          	                        	                      	                        	1                         	3                           	                       	                       	                	                        	                              	                    	                                	33                           	                             	65                    	                              	                    	                       	7                   	                       	                       	                       	                         	                  	2                     	                           	                          	29                    	                            	                         	                     	2                      	                           	                      	                      	7                  	                        	                 	                     	1                         	1                	1                         	1                    	1                     	4                      	1                      	       

  IR	                 	                 	                  	              	189	1168	A	  2	H	CC	   9.00	     17.0000	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	A              	G                 	                        	30                         	                              	29                  	                          	                          	                         	3                	                  	                        	                          	                        	                      	                        	                          	37                          	                       	                       	                	                        	                              	                    	                                	2                            	                             	32                    	                              	                    	1                      	4                   	                       	                       	                       	                         	                  	6                     	                           	                          	39                    	                            	                         	                     	                       	                           	                      	                      	12                 	                        	                 	                     	2                         	                 	4                         	1                    	1                     	                       	                       	       

  IR	                 	                 	                  	              	189	1168	A	  3	H	CC	  29.00	     26.7100	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	C              	G                 	                        	1                          	                              	3                   	                          	                          	                         	                 	                  	                        	                          	                        	                      	                        	1                         	2                           	                       	                       	                	                        	                              	                    	                                	                             	                             	14                    	                              	                    	                       	2                   	                       	                       	                       	                         	                  	                      	                           	                          	41                    	                            	                         	                     	                       	                           	                      	                      	6                  	                        	                 	6                    	+                         	1                	                          	                     	                      	                       	                       	       

  IR	                 	                 	                  	              	189	1168	A	  4	H	CC	   0.00	     35.7500	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	C              	G                 	                        	1                          	                              	40                  	                          	                          	                         	1                	                  	                        	                          	                        	                      	                        	                          	                            	                       	                       	                	                        	                              	                    	                                	1                            	                             	35                    	                              	                    	                       	                    	                       	                       	                       	                         	                  	1                     	                           	                          	1                     	                            	                         	                     	                       	                           	                      	                      	3                  	                        	1                	                     	                          	                 	                          	                     	                      	                       	                       	       
