Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Praeorbulina sicana	Globorotaloides variabilis	Globorotaloides suteri	Globorotalia mayeri	Globorotalia archeomenardii	Globoquadrina venezuelana	Globoquadrina dehiscens	Globoquadrina baroemoenensis	Globigerinoides quadrilobatus s.l.	Globigerinoides obliquus s.l.	Dentoglobigerina altispira altispira	Clavatorella bermudezi	Praeorbulina glomerosa curva	Globorotalia praescitula	Globorotalia peripheroronda	Globigerinoides ruber s.l.	Praeorbulina glomerosa glomerosa	Globigerinatella insueta	Globoturborotalita nepenthes	Globoquadrina praedehiscens	Dentoglobigerina altispira globosa	Praeorbulina glomerosa circularis	Sphaeroidinellopsis disjuncta	Globorotaloides hexagona	Orbulina suturalis	Globorotalia peripheroacuta	Sphaeroidinellopsis seminulina	Globorotalia praemenardii	Sphaeroidinellopsis kochi	Globorotalia praefohsi	Globorotalia fohsi fohsi	Globorotalia scitula	Orbulina universa	Globorotalia fohsi lobata	Globigerinella siphonifera	Globorotalia menardii	Globorotalia fohsi robusta	Neogloboquadrina acostaensis	Globorotalia plesiotumida	Globorotalia limbata	Globorotalia tumida	Globigerinoides diminutus	Comment



  SR	Pliocene         	                 	N18               	              	138	 846	B	 20	H	CC	  16.00	    187.8200	Vincent  	Planktonic Foraminifers                      	C              	P                 	                   	                          	                      	                   	                           	T                        	                       	T                           	+                                 	+                            	T                                   	                      	                            	                        	                           	                          	                                	                        	                            	                           	                                  	                                 	                             	                        	                  	                           	+                             	                         	                         	                      	                        	                    	+                	                         	T                         	T                    	                          	T                           	                         	+                   	+                  	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Late Miocene     	                 	N17               	              	138	 846	B	 21	H	 1	  79.00	    188.2900	Vincent  	Planktonic Foraminifers                      	               	                  	                   	                          	                      	                   	                           	+                        	                       	                            	+                                 	+                            	+                                   	                      	                            	                        	                           	                          	                                	                        	                            	                           	                                  	                                 	                             	T                       	T                 	                           	+                             	                         	T                        	                      	                        	                    	T                	                         	T                         	+                    	                          	+                           	                         	T                   	                   	T                        	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Late Miocene     	                 	N17               	              	138	 846	B	 21	H	CC	  23.00	    197.6500	Vincent  	Planktonic Foraminifers                      	C              	M                 	                   	                          	                      	                   	                           	+                        	                       	                            	+                                 	+                            	                                    	                      	                            	                        	                           	                          	                                	                        	                            	                           	                                  	                                 	                             	+                       	                  	                           	T                             	                         	                         	                      	                        	                    	+                	                         	                          	+                    	                          	+                           	+                        	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Late Miocene     	                 	N17               	              	138	 846	B	 22	H	CC	  21.00	    207.0600	Vincent  	Planktonic Foraminifers                      	F              	P                 	                   	                          	                      	                   	                           	+                        	                       	                            	+                                 	+                            	T                                   	                      	                            	                        	                           	                          	                                	                        	                            	                           	                                  	                                 	                             	+                       	                  	                           	T                             	                         	                         	                      	                        	T                   	+                	                         	                          	T                    	                          	+                           	T                        	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901
