Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Gephyrocapsa oceanica,Gephyrocapsa ericsonii,Gephyrocapsa caribbeanica,Coccolithus pelagicus,Calcidiscus leptoporus,Helicosphaera carteri,Syracosphaera mediterranea,Comment
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN20              ,              ,141, 863,B,  4,X, 2,  70.00,    328.1000,Spiegler ,Nannofossils                                 ,F              ,G                 ,                     ,F                     ,                         ,T                    ,                      ,                     ,                          ,from ODP Leg 141 SR; Chapter 14; Table 11; p. 209
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN20              ,              ,141, 863,B,  4,X, 3,  52.00,    329.4200,Spiegler ,Nannofossils                                 ,R              ,G                 ,                     ,R                     ,                         ,                     ,                      ,                     ,                          ,from ODP Leg 141 SR; Chapter 14; Table 11; p. 209
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN20              ,              ,141, 863,B,  4,X, 5,  48.00,    332.3800,Spiegler ,Nannofossils                                 ,F              ,G                 ,                     ,F                     ,                         ,R                    ,R                     ,                     ,                          ,from ODP Leg 141 SR; Chapter 14; Table 11; p. 209
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN20              ,              ,141, 863,B,  5,X,CC,  24.00,    335.8400,Spiegler ,Nannofossils                                 ,F              ,G                 ,                     ,F                     ,                         ,R                    ,                      ,R                    ,                          ,from ODP Leg 141 SR; Chapter 14; Table 11; p. 209
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN20              ,              ,141, 863,B,  6,X,CC,  43.00,    345.6300,Spiegler ,Nannofossils                                 ,F              ,G                 ,                     ,F                     ,                         ,R                    ,R                     ,                     ,                          ,from ODP Leg 141 SR; Chapter 14; Table 11; p. 209
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN20              ,              ,141, 863,B,  7,N, 1,  71.00,    355.6100,Spiegler ,Nannofossils                                 ,F              ,G                 ,T                    ,C                     ,                         ,F                    ,R                     ,                     ,                          ,from ODP Leg 141 SR; Chapter 14; Table 11; p. 209
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN20              ,              ,141, 863,B,  8,N,CC,   8.00,    358.7400,Spiegler ,Nannofossils                                 ,C              ,G                 ,                     ,C                     ,                         ,R                    ,                      ,R                    ,                          ,from ODP Leg 141 SR; Chapter 14; Table 11; p. 209
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN20              ,              ,141, 863,B,  9,X,CC,  49.00,    361.8900,Spiegler ,Nannofossils                                 ,C              ,G                 ,                     ,C                     ,                         ,R                    ,                      ,R                    ,                          ,from ODP Leg 141 SR; Chapter 14; Table 11; p. 209
,,,,,,,,,,,,,,,,,,,,,,,,
