Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Unidentified benthic forams,miolinids unknown,Pullenia bulloides,Nonionella bradyi,Lagena spp.,Dentalina spp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1095,B, 23,X, 5,  34.00,    298.0400,Osterman ,Benthic Foraminifers                         ,R              ,P                 ,                           ,8                ,2                 ,1                ,1          ,2             ,PP sample heated to 100C very poor preservation Small sand fraction
,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1095,B, 44,X,CC,  22.00,    493.6200,Osterman ,Benthic Foraminifers                         ,T              ,P                 ,T1                         ,                 ,                  ,                 ,           ,              ,       
,,,,,,,,,,,,,,,,,,,,,,,
