Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Rocella gelida	Naviculopsis biapiculata	Actiniscus pentasterias s.l.	Septamesocena apiculata	Distephanus speculum speculum	Distephanus crux crux	Actiniscus cf. elongatus	Hermesinella conata	Dictyocha varia	Corbisema triacantha	Parathranium clathratum	Paramesocena circulus apiculata	Distephanus stauracanthus f. stauracanthus	Distephanus speculum  pentagonus	Ammodochium serotinum	? Cinctactiniscus sp	Distephanus stauracanthus f. octagonus	Cannopilus hemisphaericus	Dictyocha epiodon	Dictyocha messaensis aspinosa	Dictyocha messaensis m. aspinosa	Dictyocha messanensis stapedia	Distephanus crux bispinosus	Distephanus aculeatus aculeatus	Dictyocha fibula fibula	Distephanus speculum speculum f. septenarius	Distephanus aculeatus ornamentum	Mesocena quadrangula	Distephanus bioctonarius bioctonarius	Dictyocha messanensis aculeata	Dictyocha perlaevis perlaevis	Comment



  SR	Pleistocene      	                 	D. mess. aculeata 	              	112	 682	A	  1	H	CC	  12.00	      9.7900	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	              	                        	                            	                       	                             	                     	R                       	                   	               	                    	                       	                               	                                          	                                	                     	                    	                                      	                         	                 	                             	R                               	                              	                           	                               	                       	                                            	                                	                    	                                     	R                             	                             	,from ODP Leg 112 SR Chapter 10 Table 1 p 159

  SR	Pleistocene      	                 	D. mess. aculeata 	              	112	 682	A	  2	H	CC	  18.00	     18.9300	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	              	                        	R                           	                       	F                            	                     	                        	                   	               	                    	                       	                               	                                          	R                               	                     	                    	                                      	                         	                 	                             	F                               	                              	                           	r                              	                       	                                            	                                	                    	R                                    	                              	R                            	,from ODP Leg 112 SR Chapter 10 Table 1 p 159

  SR	Pleistocene      	                 	B. quadrangula    	              	112	 682	A	  3	H	CC	  24.00	     28.0600	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	              	                        	                            	r                      	R                            	                     	                        	R                  	               	                    	                       	                               	                                          	R                               	                     	                    	                                      	                         	                 	                             	F                               	R                             	                           	                               	                       	                                            	                                	R                   	R                                    	R                             	                             	R,from ODP Leg 112 SR Chapter 10 Table 1 p 159

  SR	Late Miocene     	Pliocene         	D. m. stapedia    	              	112	 682	A	  5	X	CC	  15.00	     39.9100	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	              	                        	                            	                       	R                            	                     	R                       	                   	               	                    	                       	                               	                                          	R                               	F                    	                    	                                      	                         	                 	R                            	                                	R                             	                           	                               	                       	                                            	R                               	                    	                                     	                              	                             	from ODP Leg 112 SR Chapter 10 Table 1 p 159

