Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Schackoina primitiva	Globanomalina planoconica	Globanomalina australiformis	Acarinina wilcoxensis	Acarinina soldadoensis	Acarinina quetra	Acarinina pseudotopilensis	Acarinina coalingensis	Igorina broedermanni	Chiloguembelina spp.	Acarinina pentacamerata	Acarinina camerata	Subbotina patagonica	Subbotina inaequispira	Comment



  SR	Early Eocene     	                 	AP7               	              	120	 749	C	  6	R	CC	  23.00	    150.2600	Berggren 	Planktonic Foraminifers                      	A              	G                 	C                   	R                        	F                           	F                    	                      	                	F                         	                      	                    	C                   	                       	F                 	C                   	                      	from ODP Leg 120 SR Chapter 31 Table Appendix F back pocket microfiche

  SR	Early Eocene     	                 	AP7               	              	120	 749	C	  7	R	 1	  40.00	    159.4000	Berggren 	Planktonic Foraminifers                      	A              	G                 	C                   	R                        	F                           	F                    	                      	                	F                         	                      	                    	C                   	                       	F                 	C                   	                      	from ODP Leg 120 SR Chapter 31 Table Appendix F back pocket microfiche

  SR	Early Eocene     	                 	AP7               	              	120	 749	C	  7	R	 2	  40.00	    160.9000	Berggren 	Planktonic Foraminifers                      	A              	G                 	C                   	R                        	F                           	R                    	                      	                	R                         	                      	F                   	C                   	                       	F                 	F                   	R                     	from ODP Leg 120 SR Chapter 31 Table Appendix F back pocket microfiche

  SR	Early Eocene     	                 	AP7               	              	120	 749	C	  7	R	 3	  40.00	    162.4000	Berggren 	Planktonic Foraminifers                      	A              	G                 	C                   	R                        	F                           	R                    	                      	                	R                         	                      	F                   	C                   	                       	F                 	F                   	R                     	from ODP Leg 120 SR Chapter 31 Table Appendix F back pocket microfiche

  SR	Early Eocene     	                 	AP7               	              	120	 749	C	  7	R	 3	  85.00	    162.8500	Berggren 	Planktonic Foraminifers                      	A              	G                 	C                   	R                        	F                           	F                    	R                     	                	R                         	R                     	                    	C                   	R                      	F                 	F                   	                      	from ODP Leg 120 SR Chapter 31 Table Appendix F back pocket microfiche

  SR	Early Eocene     	                 	AP6               	              	120	 749	C	  8	R	 1	  69.00	    169.1900	Berggren 	Planktonic Foraminifers                      	A              	G                 	C                   	R                        	F                           	F                    	                      	                	R                         	                      	                    	R                   	R                      	R                 	                    	                      	from ODP Leg 120 SR Chapter 31 Table Appendix F back pocket microfiche

  SR	Early Eocene     	                 	AP6               	              	120	 749	C	 10	R	 1	  60.00	    188.1000	Berggren 	Planktonic Foraminifers                      	A              	G                 	C                   	R                        	R                           	F                    	F                     	F               	F                         	R                     	R                   	                    	                       	                  	                    	                      	from ODP Leg 120 SR Chapter 31 Table Appendix F back pocket microfiche

  SR	Early Eocene     	                 	AP6               	              	120	 749	C	 10	R	CC	  20.00	    188.8700	Berggren 	Planktonic Foraminifers                      	A              	G                 	C                   	R                        	R                           	F                    	F                     	F               	F                         	R                     	                    	                    	                       	                  	                    	                      	from ODP Leg 120 SR Chapter 31 Table Appendix F back pocket microfiche

