Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Trinacria simulacrum,Trinacria aries,Stephanopyxis spp.,Stellarima sp. 2,Sceptroneis spp.,Pterotheca spp.,Hemiaulus ? velatus,Hemiaulus peripterus var. peripterus,Coscinodiscus spp.,Trinacria pileolus,Triceratium spp.,Triceratium mirabile,Pseudopodosira westii,Hemiaulus ? ciesielskii,Hemiaulus spp.,Triceratium sp. 1,Paralia sulcata,Trochosira spp.,Triceratium sp. 3,Triceratium gombosii var. A,Rhizosolenia sp. aff. Rhizosolenia hebetata,Rhizosolenia cretacea,Hemiaulus sp. 2,Hemiaulus polycystinorum,Triceratium gombosii,Thalassiosiropsis sp.,Stellarima sp. 1,Odontotropis sp.,Hyalodiscus sp. 1,Hyalodiscus scoticus,Triceratium aff. mirabile (coarse),Cosmiodiscus sp.,Triceratium cf. tesselatum,Hemiaulus incurvus,Trochosira radiata,Coscinodiscus sp. 1,Trinacria excavata f. tetragona,Hyalodiscus spp.,Hemiaulus inequilaterus,Coscinodiscus aff. undulosus,Skeletonema spp.,Melosira architecturalis s. ampl.,Hemiaulus polymorphus var. frigida,Actinoptychus spp.,Stictodiscus bipolaris,Stephanopyxis aff. schulzii,Thalassiosira ? sp. 1,Pseudostictodiscus angulatus,Pseudopodosira bella,Hemiaulus ?  conicus,Pseudopodosira sp. 1,Hemiaulus sp. 1,Trinacria exsculpta,Anaulus fennerae,Triceratium orbiculatum,Fenestrella barbadensis,Trinacria excavata,Hemiaulus peripterus var. longispinus,Hemiaulus ? sp. 3,Pyxilla gracilis,Arachnoidiscus sp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 752,A, 17,X, 3,  55.00,    155.2500,Fourtanier,Diatoms                                      ,A              ,M/G               ,R                   ,               ,A                 ,F               ,F               ,R              ,                   ,                                    ,F                 ,                  ,                ,                    ,F                    ,                       ,              ,C                ,F              ,F              ,                 ,                           ,F                                          ,C                    ,               ,F                       ,                    ,                     ,                ,                ,R                ,R                   ,                                  ,                ,                          ,                  ,                  ,                   ,F                              ,                ,                       ,F                           ,                ,C                                ,                                  ,                  ,                      ,                           ,                     ,                            ,                    ,                    ,                    ,F              ,                   ,                ,R                      ,                       ,R                 ,F                                    ,                 ,                ,R                 ,from ODP Leg 121 SR Chapter 6 Table 1 p 176-178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 752,A, 17,X, 4,  11.00,    156.3100,Fourtanier,Diatoms                                      ,C              ,MP                ,R                   ,               ,C                 ,                ,F               ,R              ,                   ,                                    ,R                 ,                  ,                ,                    ,F                    ,                       ,F             ,C                ,               ,               ,                 ,                           ,F                                          ,F                    ,R              ,                        ,                    ,                     ,                ,                ,                 ,                    ,                                  ,                ,                          ,                  ,                  ,                   ,                               ,                ,                       ,R                           ,                ,R                                ,                                  ,                  ,                      ,                           ,                     ,                            ,                    ,                    ,                    ,               ,                   ,                ,                       ,R                      ,                  ,F                                    ,R                ,F               ,                  ,from ODP Leg 121 SR Chapter 6 Table 1 p 176-178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 752,A, 17,X,CC,  36.00,    156.9700,Fourtanier,Diatoms                                      ,C              ,M                 ,R                   ,               ,C                 ,                ,F               ,F              ,                   ,                                    ,R                 ,                  ,                ,                    ,F                    ,                       ,              ,C                ,               ,F              ,                 ,                           ,R                                          ,C                    ,               ,F                       ,                    ,                     ,R               ,                ,R                ,R                   ,                                  ,                ,                          ,                  ,                  ,                   ,R                              ,                ,                       ,R                           ,                ,F                                ,                                  ,                  ,                      ,                           ,                     ,                            ,                    ,                    ,                    ,               ,                   ,                ,                       ,                       ,                  ,F                                    ,                 ,F               ,                  ,from ODP Leg 121 SR Chapter 6 Table 1 p 176-178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 752,A, 18,X, 1,  38.00,    161.7800,Fourtanier,Diatoms                                      ,C              ,P/M               ,R                   ,               ,C                 ,                ,R               ,F              ,R                  ,                                    ,C                 ,                  ,                ,                    ,                     ,                       ,              ,A                ,F              ,               ,                 ,                           ,R                                          ,C                    ,               ,?                       ,                    ,                     ,                ,                ,                 ,                    ,                                  ,                ,R                         ,                  ,                  ,                   ,R                              ,R               ,                       ,F                           ,                ,                                 ,                                  ,                  ,                      ,                           ,                     ,                            ,                    ,                    ,                    ,F              ,                   ,                ,                       ,                       ,                  ,F                                    ,R                ,                ,                  ,from ODP Leg 121 SR Chapter 6 Table 1 p 176-178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 752,A, 18,X, 2,  53.00,    163.4300,Fourtanier,Diatoms                                      ,C              ,P/M               ,R                   ,               ,C                 ,                ,R               ,R              ,                   ,                                    ,R                 ,                  ,                ,                    ,R                    ,                       ,F             ,C                ,R              ,R              ,                 ,                           ,F                                          ,F                    ,               ,F                       ,                    ,                     ,                ,                ,                 ,F                   ,                                  ,                ,R                         ,?                 ,                  ,                   ,F                              ,                ,                       ,R                           ,                ,R                                ,                                  ,                  ,R                     ,                           ,                     ,                            ,                    ,                    ,                    ,               ,                   ,                ,                       ,                       ,                  ,F                                    ,                 ,                ,                  ,from ODP Leg 121 SR Chapter 6 Table 1 p 176-178
