Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Trinacria simulacrum,Trinacria aries,Stephanopyxis spp.,Stellarima sp. 2,Sceptroneis spp.,Pterotheca spp.,Hemiaulus ? velatus,Hemiaulus peripterus var. peripterus,Coscinodiscus spp.,Trinacria pileolus,Triceratium spp.,Triceratium mirabile,Pseudopodosira westii,Hemiaulus ? ciesielskii,Hemiaulus spp.,Triceratium sp. 1,Paralia sulcata,Trochosira spp.,Triceratium sp. 3,Triceratium gombosii var. A,Rhizosolenia sp. aff. Rhizosolenia hebetata,Rhizosolenia cretacea,Hemiaulus sp. 2,Hemiaulus polycystinorum,Triceratium gombosii,Thalassiosiropsis sp.,Stellarima sp. 1,Odontotropis sp.,Hyalodiscus sp. 1,Hyalodiscus scoticus,Triceratium aff. mirabile (coarse),Cosmiodiscus sp.,Triceratium cf. tesselatum,Hemiaulus incurvus,Trochosira radiata,Coscinodiscus sp. 1,Trinacria excavata f. tetragona,Hyalodiscus spp.,Hemiaulus inequilaterus,Coscinodiscus aff. undulosus,Skeletonema spp.,Melosira architecturalis s. ampl.,Hemiaulus polymorphus var. frigida,Actinoptychus spp.,Stictodiscus bipolaris,Stephanopyxis aff. schulzii,Thalassiosira ? sp. 1,Pseudostictodiscus angulatus,Pseudopodosira bella,Hemiaulus ?  conicus,Pseudopodosira sp. 1,Hemiaulus sp. 1,Trinacria exsculpta,Anaulus fennerae,Triceratium orbiculatum,Fenestrella barbadensis,Trinacria excavata,Hemiaulus peripterus var. longispinus,Hemiaulus ? sp. 3,Pyxilla gracilis,Arachnoidiscus sp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 752,A, 18,X,CC,  33.00,    164.1100,Fourtanier,Diatoms                                      ,A              ,M/G               ,R                   ,               ,A                 ,                ,F               ,R              ,F                  ,                                    ,C                 ,                  ,                ,                    ,F                    ,                       ,              ,C                ,F              ,               ,                 ,                           ,F                                          ,F                    ,               ,C                       ,                    ,                     ,                ,                ,                 ,R                   ,                                  ,                ,                          ,C                 ,R                 ,                   ,                               ,                ,                       ,F                           ,                ,R                                ,                                  ,                  ,                      ,                           ,                     ,                            ,                    ,                    ,                    ,F              ,                   ,                ,C                      ,                       ,R                 ,F                                    ,                 ,                ,                  ,from ODP Leg 121 SR Chapter 6 Table 1 p 176-178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 752,A, 19,X, 1,  55.00,    171.6500,Fourtanier,Diatoms                                      ,C              ,P/M               ,R                   ,               ,C                 ,                ,                ,F              ,R                  ,                                    ,R                 ,                  ,                ,                    ,F                    ,R                      ,              ,F                ,               ,               ,                 ,                           ,R                                          ,F                    ,               ,F                       ,                    ,                     ,                ,                ,                 ,                    ,                                  ,                ,                          ,F                 ,                  ,                   ,                               ,                ,                       ,                            ,                ,                                 ,                                  ,                  ,                      ,                           ,                     ,                            ,                    ,                    ,                    ,               ,                   ,                ,F                      ,                       ,                  ,                                     ,                 ,                ,                  ,from ODP Leg 121 SR Chapter 6 Table 1 p 176-178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 752,A, 19,X, 3,  55.00,    174.6500,Fourtanier,Diatoms                                      ,A              ,M/G               ,F                   ,               ,A                 ,F               ,F               ,R              ,R                  ,                                    ,C                 ,                  ,R               ,R                   ,C                    ,R                      ,F             ,                 ,               ,C              ,                 ,                           ,R                                          ,C                    ,               ,C                       ,                    ,                     ,F               ,                ,F                ,F                   ,                                  ,                ,                          ,R                 ,                  ,                   ,                               ,                ,                       ,F                           ,                ,R                                ,R                                 ,R                 ,                      ,                           ,                     ,                            ,                    ,                    ,R                   ,R              ,                   ,                ,F                      ,                       ,                  ,                                     ,                 ,                ,                  ,from ODP Leg 121 SR Chapter 6 Table 1 p 176-178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 752,A, 20,X, 1,  55.00,    181.2500,Fourtanier,Diatoms                                      ,A              ,M                 ,R                   ,R              ,C                 ,                ,F               ,F              ,R                  ,                                    ,R                 ,                  ,                ,                    ,F                    ,C                      ,C             ,                 ,R              ,R              ,                 ,                           ,R                                          ,C                    ,F              ,C                       ,                    ,                     ,                ,                ,                 ,R                   ,                                  ,                ,R                         ,R                 ,                  ,                   ,R                              ,                ,R                      ,F                           ,                ,                                 ,?                                 ,                  ,R                     ,F                          ,                     ,                            ,                    ,                    ,R                   ,               ,R                  ,                ,                       ,                       ,                  ,                                     ,                 ,                ,                  ,from ODP Leg 121 SR Chapter 6 Table 1 p 176-178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 752,A, 21,X, 1,  55.00,    190.9500,Fourtanier,Diatoms                                      ,A              ,M/G               ,                    ,F              ,C                 ,R               ,F               ,F              ,C                  ,                                    ,F                 ,                  ,                ,                    ,F                    ,C                      ,F             ,                 ,R              ,F              ,                 ,                           ,R                                          ,C                    ,               ,C                       ,                    ,                     ,R               ,                ,R                ,F                   ,                                  ,                ,R                         ,C                 ,                  ,                   ,                               ,F               ,?                      ,F                           ,                ,R                                ,                                  ,                  ,R                     ,                           ,                     ,                            ,                    ,                    ,F                   ,R              ,R                  ,                ,                       ,R                      ,                  ,                                     ,                 ,                ,                  ,from ODP Leg 121 SR Chapter 6 Table 1 p 176-178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 752,A, 21,X,CC,  28.00,    193.3300,Fourtanier,Diatoms                                      ,A              ,G                 ,                    ,R              ,A                 ,R               ,F               ,               ,C                  ,                                    ,R                 ,                  ,                ,                    ,C                    ,C                      ,C             ,F                ,F              ,               ,                 ,                           ,                                           ,C                    ,               ,C                       ,                    ,                     ,R               ,R               ,                 ,F                   ,                                  ,                ,                          ,F                 ,                  ,                   ,                               ,                ,R                      ,                            ,                ,F                                ,                                  ,                  ,                      ,                           ,                     ,                            ,                    ,                    ,R                   ,F              ,                   ,F               ,R                      ,                       ,                  ,                                     ,                 ,                ,                  ,from ODP Leg 121 SR Chapter 6 Table 1 p 176-178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 752,A, 22,X, 1,  55.00,    200.6500,Fourtanier,Diatoms                                      ,A              ,M                 ,                    ,R              ,A                 ,R               ,R               ,R              ,F                  ,                                    ,R                 ,                  ,                ,                    ,F                    ,C                      ,F             ,C                ,               ,R              ,                 ,                           ,R                                          ,C                    ,F              ,C                       ,?                   ,                     ,R               ,                ,                 ,F                   ,                                  ,                ,R                         ,C                 ,R                 ,                   ,R                              ,                ,R                      ,                            ,                ,F                                ,F                                 ,                  ,                      ,                           ,R                    ,                            ,                    ,                    ,R                   ,F              ,                   ,F               ,                       ,                       ,                  ,                                     ,                 ,                ,                  ,from ODP Leg 121 SR Chapter 6 Table 1 p 176-178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 752,A, 22,X, 3,  55.00,    203.6500,Fourtanier,Diatoms                                      ,A              ,G                 ,                    ,R              ,C                 ,                ,                ,R              ,F                  ,                                    ,R                 ,R                 ,                ,R                   ,F                    ,F                      ,              ,R                ,F              ,               ,                 ,                           ,                                           ,C                    ,               ,C                       ,F                   ,                     ,F               ,                ,F                ,F                   ,                                  ,?               ,R                         ,C                 ,R                 ,                   ,                               ,                ,?                      ,                            ,F               ,F                                ,R                                 ,                  ,F                     ,R                          ,                     ,                            ,                    ,                    ,                    ,F              ,                   ,                ,                       ,                       ,                  ,                                     ,                 ,                ,                  ,from ODP Leg 121 SR Chapter 6 Table 1 p 176-178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 752,A, 22,X,CC,  40.00,    205.7500,Fourtanier,Diatoms                                      ,C              ,M                 ,                    ,R              ,A                 ,R               ,F               ,R              ,F                  ,                                    ,F                 ,                  ,                ,?                   ,C                    ,F                      ,F             ,C                ,C              ,R              ,                 ,                           ,                                           ,F                    ,               ,F                       ,                    ,                     ,R               ,                ,R                ,R                   ,                                  ,R               ,R                         ,C                 ,                  ,                   ,                               ,F               ,R                      ,                            ,                ,                                 ,                                  ,                  ,                      ,                           ,                     ,                            ,                    ,                    ,                    ,F              ,                   ,                ,                       ,                       ,                  ,                                     ,                 ,                ,                  ,from ODP Leg 121 SR Chapter 6 Table 1 p 176-178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 752,A, 23,X, 1,  44.00,    210.2400,Fourtanier,Diatoms                                      ,A              ,M/G               ,                    ,F              ,A                 ,                ,F               ,R              ,F                  ,                                    ,F                 ,R                 ,                ,R                   ,F                    ,F                      ,F             ,                 ,F              ,               ,                 ,                           ,                                           ,C                    ,R              ,                        ,R                   ,                     ,R               ,R               ,R                ,F                   ,                                  ,?               ,F                         ,C                 ,                  ,                   ,                               ,                ,R                      ,F                           ,                ,F                                ,                                  ,                  ,R                     ,                           ,                     ,                            ,                    ,                    ,                    ,               ,R                  ,                ,                       ,                       ,                  ,                                     ,                 ,                ,                  ,from ODP Leg 121 SR Chapter 6 Table 1 p 176-178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 752,A, 23,X,CC,  34.00,    211.9000,Fourtanier,Diatoms                                      ,A              ,M                 ,                    ,               ,                  ,                ,F               ,F              ,F                  ,                                    ,C                 ,                  ,                ,                    ,R                    ,F                      ,              ,                 ,C              ,F              ,                 ,                           ,                                           ,F                    ,               ,F                       ,                    ,                     ,                ,                ,R                ,F                   ,                                  ,R               ,                          ,C                 ,                  ,                   ,R                              ,R               ,                       ,                            ,                ,                                 ,F                                 ,                  ,                      ,                           ,                     ,                            ,                    ,R                   ,R                   ,F              ,                   ,                ,                       ,                       ,                  ,                                     ,                 ,                ,                  ,from ODP Leg 121 SR Chapter 6 Table 1 p 176-178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 752,A, 24,X, 1,  55.00,    220.0500,Fourtanier,Diatoms                                      ,A              ,G                 ,                    ,C              ,A                 ,R               ,F               ,R              ,R                  ,                                    ,C                 ,R                 ,C               ,F                   ,R                    ,R                      ,R             ,R                ,C              ,               ,                 ,                           ,R                                          ,F                    ,               ,F                       ,R                   ,                     ,F               ,                ,R                ,F                   ,                                  ,R               ,?                         ,F                 ,                  ,                   ,                               ,                ,                       ,                            ,                ,F                                ,                                  ,                  ,                      ,                           ,R                    ,                            ,R                   ,R                   ,                    ,               ,                   ,                ,                       ,                       ,                  ,                                     ,                 ,                ,                  ,from ODP Leg 121 SR Chapter 6 Table 1 p 176-178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 752,A, 24,X,CC,   0.00,    221.7800,Fourtanier,Diatoms                                      ,A              ,G                 ,R                   ,C              ,A                 ,F               ,F               ,F              ,F                  ,                                    ,F                 ,R                 ,R               ,F                   ,F                    ,R                      ,              ,                 ,F              ,F              ,                 ,                           ,R                                          ,F                    ,               ,C                       ,                    ,                     ,F               ,                ,R                ,F                   ,                                  ,R               ,F                         ,C                 ,                  ,F                  ,                               ,                ,?                      ,                            ,                ,                                 ,                                  ,                  ,                      ,                           ,R                    ,R                           ,                    ,                    ,                    ,               ,                   ,                ,                       ,                       ,                  ,                                     ,                 ,                ,                  ,from ODP Leg 121 SR Chapter 6 Table 1 p 176-178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 752,A, 25,X, 1,  53.00,    229.6300,Fourtanier,Diatoms                                      ,A              ,M/G               ,R                   ,C              ,A                 ,                ,F               ,F              ,F                  ,                                    ,F                 ,                  ,R               ,F                   ,R                    ,                       ,F             ,                 ,               ,F              ,                 ,                           ,                                           ,F                    ,               ,F                       ,?                   ,                     ,R               ,                ,R                ,F                   ,                                  ,R               ,F                         ,F                 ,R                 ,R                  ,                               ,F               ,?                      ,                            ,R               ,R                                ,R                                 ,                  ,                      ,                           ,R                    ,R                           ,R                   ,F                   ,                    ,               ,                   ,                ,                       ,                       ,                  ,                                     ,                 ,                ,                  ,from ODP Leg 121 SR Chapter 6 Table 1 p 176-178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 752,A, 25,X, 3,  51.00,    232.6100,Fourtanier,Diatoms                                      ,A              ,G                 ,                    ,C              ,A                 ,F               ,F               ,               ,F                  ,                                    ,F                 ,                  ,C               ,R                   ,R                    ,R                      ,F             ,?                ,R              ,F              ,                 ,                           ,                                           ,F                    ,               ,C                       ,                    ,F                    ,F               ,                ,R                ,F                   ,                                  ,R               ,F                         ,C                 ,                  ,F                  ,                               ,                ,                       ,                            ,                ,                                 ,                                  ,                  ,R                     ,R                          ,                     ,                            ,                    ,                    ,                    ,               ,                   ,                ,                       ,                       ,                  ,                                     ,                 ,                ,                  ,from ODP Leg 121 SR Chapter 6 Table 1 p 176-178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 752,A, 25,X,CC,   8.00,    233.2800,Fourtanier,Diatoms                                      ,A              ,G                 ,                    ,F              ,A                 ,F               ,F               ,               ,R                  ,                                    ,C                 ,                  ,                ,R                   ,R                    ,                       ,              ,                 ,F              ,F              ,                 ,R                          ,R                                          ,F                    ,               ,                        ,                    ,R                    ,C               ,R               ,R                ,F                   ,                                  ,R               ,F                         ,F                 ,                  ,F                  ,                               ,                ,                       ,                            ,                ,                                 ,                                  ,R                 ,                      ,                           ,                     ,                            ,                    ,                    ,                    ,               ,                   ,                ,                       ,                       ,                  ,                                     ,                 ,                ,                  ,from ODP Leg 121 SR Chapter 6 Table 1 p 176-178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
