Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Trinacria sp.	Thalassiosira sp.1	Stellarima (all generic taxa)	Rhizosolenia hebetata	Nitzschia januaria	Eucampia antarctica	Denticulopsis hustedtii var. ovata	Denticulopsis hustedtii	Denticulopsis dimorpha	Azpeitia endoi/tabularis	Actinocyclus tsugaruensis	Actinocyclus ingens	Nitzschia praecurta	Actinocyclus fryxellae	Thalassiosira nativa	Thalassiosira gersondei	Nitzschia donahuensis	Asteromphalus kennettii	Thalassiosira burckliana	Hemidiscus karstenii	Lithodesmium reynoldsii	Denticulopsis dimorpha var. areolata	Rouxia fusiformis	Thalassiosira mahoodii	Cosmiodiscus intersectus	Thalassiosira torokina	Nitzschia clementia	Rouxia californica	Nitzschia cylindrica	Rouxia peragalli	Actinocyclus ingens var. ovalis	Nitzschia marina/reinholdii	Cosmiodiscus insignis f. triangula	Nitzschia miocenica	Thalassiosira jacksonii	Nitzschia pseudokerguelenis	Thalassiosira praeconvexa	Thalassiosira miocenica	Thalassiosira convexa var. aspinosa	Comment



  SR	                 	                 	                  	              	119	 746	A	  4	H	 1	  60.00	    165.4000	Baldauf  	Diatoms                                      	A              	M                 	             	                  	                             	                     	                  	                   	                                  	F                      	                      	                        	                         	                   	F                  	                      	F                   	                       	                     	                       	                        	                    	                       	                                    	                 	                      	R                       	                      	                   	R                 	                    	F               	                               	R                          	                                  	                   	                       	                           	R                        	F                      	F                                  	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	  4	H	 2	  60.00	    166.9000	Baldauf  	Diatoms                                      	A              	M                 	             	                  	                             	                     	                  	                   	                                  	F                      	                      	R                       	                         	                   	F                  	                      	F                   	R                      	                     	                       	                        	                    	                       	                                    	                 	                      	                        	                      	                   	R                 	                    	F               	                               	                           	                                  	F                  	R                      	R                          	R                        	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	  4	H	 3	  60.00	    168.4000	Baldauf  	Diatoms                                      	A              	G                 	             	                  	                             	                     	                  	R                  	                                  	F                      	                      	                        	                         	                   	R                  	                      	F                   	R                      	                     	                       	                        	                    	                       	                                    	                 	                      	F                       	R                     	                   	R                 	                    	F               	                               	R                          	                                  	R                  	                       	R                          	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	  4	H	 4	  60.00	    169.9000	Baldauf  	Diatoms                                      	A              	G                 	             	                  	                             	                     	                  	                   	                                  	F                      	                      	                        	                         	                   	C                  	                      	F                   	F                      	                     	                       	                        	                    	                       	                                    	                 	                      	F                       	R                     	                   	R                 	                    	R               	                               	                           	                                  	R                  	R                      	                           	R                        	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

