Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassionema nitzschioides,Stephanopyxis turris,Stephanopyxis grunowii,Roperia tesselata,Paralia sulcata,Denticulopsis punctata var. hustedtii,Denticulopsis hustedtii,Delphineis novaecaesaraea,Actinocyclus ingens,Rhizosolenia barboi,Nitzschia marina,Denticulopsis hyalina,Coscinodiscus marginatus,Asteromphalus undulatus,Actinocyclus ellipticus,Pseudoeunotia doliolus,Paralia sulcata var. coronata,Crucidenticula nicobarica,Craspedodiscus coscinodiscus,Actinocyclus tenellus,Rhizosolenia miocenica,Mediaria splendida,Azpeitia endoi,Cavitatus jouseanus,Cymatosira immunis,Coscinodiscus lewisianus,Coscinodiscus temperei,Rhizosolenia praebarboi,Thalassiosira grunowii,Rhizosolenia styliformis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 906,A,  1,H,CC,  13.00,      8.6800,Burckle  ,Diatoms                                      ,F              ,G                 ,R                          ,                    ,R                     ,                 ,               ,                                     ,                       ,                         ,                   ,                   ,                ,                     ,R                       ,R                      ,                       ,                      ,                             ,                         ,                            ,                     ,                      ,                  ,              ,                   ,                  ,                        ,                      ,                       ,R                     ,R                       ,from Leg 150 SR; Ch 2; Table 3; p 26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 906,A,  2,H,CC,  18.00,     19.3500,Burckle  ,Diatoms                                      ,R              ,G                 ,                           ,                    ,                      ,                 ,               ,                                     ,                       ,                         ,                   ,                   ,                ,                     ,R                       ,                       ,                       ,                      ,                             ,                         ,                            ,                     ,                      ,                  ,              ,                   ,                  ,                        ,                      ,                       ,                      ,                        ,from Leg 150 SR; Ch 2; Table 3; p 26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 906,A,  3,H,CC,  32.00,     28.3900,Burckle  ,Diatoms                                      ,R              ,M                 ,R                          ,                    ,                      ,                 ,               ,                                     ,                       ,                         ,                   ,                   ,R               ,                     ,R                       ,                       ,                       ,                      ,R                            ,                         ,                            ,                     ,                      ,                  ,              ,                   ,                  ,                        ,                      ,                       ,R                     ,R                       ,from Leg 150 SR; Ch 2; Table 3; p 26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 906,A,  4,H,CC,  27.00,     37.8500,Burckle  ,Diatoms                                      ,C              ,G                 ,                           ,R                   ,F                     ,R                ,               ,                                     ,                       ,                         ,                   ,                   ,R               ,                     ,C                       ,R                      ,                       ,                      ,R                            ,                         ,                            ,                     ,                      ,                  ,              ,                   ,                  ,                        ,                      ,R                      ,                      ,                        ,from Leg 150 SR; Ch 2; Table 3; p 26
