Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tetrapyle(?) sp. B	Spongotrochus americanus	Lithelid gen. et sp. indet	Actinommid taxa	Pseudodictyophimus(?) sp. D	Cycladophora sp. cf. C. conica	Pseudodictyophimus sp. C	Pseudodictyophimus sp. B	Actinomma (?) spp. B group	Pseudodictyophimus horrida	Pseudodictyophimus platycephalus	Lithomelissa sp.	Actinomma sp. C	Lipmanella sp.	Spongurus(?) spp. B group.	Ceratocyrtis mashae	Siphocampe septata	Prunopyle (?) sp. aff. P. haysi	Corythospyris palmipodiscus	Lithelius sp.aff. L. nautiloides	Hexacontium sp.	Ceratocyrtis stigi	Siphocampe imbricata group	Amphipternis sp.	Comment



  SR	Late Miocene     	                 	                  	              	151	 908	A	 20	X	 5	  70.00	    184.1000	Hull     	Radiolarians                                 	F              	P                 	                  	                        	                          	               	                           	                              	                        	                        	                          	                          	                                	                	               	              	                          	                   	                  	                               	                           	T                               	               	                  	R                         	T               	From Leg 151SR; Ch 7; Table 1; p. 127

  SR	Early Oligocene  	Late Oligocene   	                  	              	151	 908	A	 21	X	 1	 119.00	    188.2900	Hull     	Radiolarians                                 	A              	M                 	T                 	                        	A                         	R              	                           	                              	                        	                        	                          	                          	                                	                	               	              	T                         	                   	                  	T                              	                           	                                	               	                  	                          	                	From Leg 151SR; Ch 7; Table 1; p. 127

  SR	Early Oligocene  	Late Oligocene   	                  	              	151	 908	A	 21	X	 2	  80.00	    189.4000	Hull     	Radiolarians                                 	A              	M                 	                  	                        	A                         	R              	                           	                              	                        	                        	                          	                          	                                	                	               	              	                          	                   	                  	                               	T                          	                                	               	                  	                          	                	From Leg 151SR; Ch 7; Table 1; p. 127

  SR	Early Oligocene  	Late Oligocene   	                  	              	151	 908	A	 21	X	 3	  73.00	    190.8300	Hull     	Radiolarians                                 	F              	P                 	                  	                        	F                         	R              	                           	                              	                        	                        	                          	                          	                                	                	               	              	                          	                   	                  	                               	                           	                                	               	                  	                          	                	From Leg 151SR; Ch 7; Table 1; p. 127

  SR	Early Oligocene  	Late Oligocene   	                  	              	151	 908	A	 21	X	 6	  46.00	    195.0600	Hull     	Radiolarians                                 	F              	M                 	T                 	                        	R                         	               	                           	                              	                        	                        	                          	                          	                                	                	               	              	                          	                   	                  	                               	                           	                                	               	                  	                          	                	From Leg 151SR; Ch 7; Table 1; p. 127

  SR	Early Oligocene  	Late Oligocene   	                  	              	151	 908	A	 22	X	 1	  94.00	    197.6400	Hull     	Radiolarians                                 	A              	M                 	R                 	T                       	F                         	A              	                           	                              	                        	                        	T                         	                          	                                	                	               	              	                          	                   	                  	T                              	                           	                                	R              	T                 	                          	                	From Leg 151SR; Ch 7; Table 1; p. 127

