Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Unidentified benthic forams,Tritaxia amorpha,Stilostomella midwayensis,Pullenia coryelli,Nuttallides truempyi,Nonion havanensis,Neoflabellina semireticulata,Neoeponides hillebrandti,Lenticulina whitei,Lenticulina spp.,Gyroidinoides quadratus,Gyroidinoides globosa,Gavelinella beccariiformis,Gaudryina pyramidata,Dorothia trochoides,Dentalina/Nodosaria spp.,Coryphostoma midwayensis,Cibicidoides pseudoperlucidus,Aragonia velascoensis,Anomalinoides praeacutus,Tappanina selmensis,Praebulimina sp.,Pleurostomella spp.,Oridorsalis umbonatus,Ellipsoglandulina sp.,Abyssamina quadrata,Abyssamina poagi,Heronallenia sp.,Globocassidulina sp.,Bulimina trinitatensis,Bulimina semicostata,Arenobulimina sp.,Aragonia aragonensis,Unilocular species,Pullenia spp.,Globocassidulina globosa,Tritaxia globulifera,Textularia spp.,Quadratobuliminella pyramidalis,Gyroidinoides spp.,Buliminella carseyae,Anomalinoides danicus,Rhizammina sp.,Cribrostomoides spp.,Vulvulina spinosa,Siphonodosaria abyssorum,Recurvoides sp.,Martinottiella communis,Cibicidoides havanensis,Cibicidoides eocaenus,Stilostomella subspinosa,Gyroidinoides soldanii,Cibicidoides praemundulus,Cibicidoides grimsdalei,Stilostomella lepidula,Pullenia subcarinata,Nuttallides umbonifera,Karreriella subglabra,Astrononion echolsi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,199,1220,B,  1,H,CC,  25.00,     43.4200,nannos   ,Benthic Foraminifers                         ,F              ,VG                ,F                          ,                ,                         ,                 ,                    ,                 ,                            ,                        ,                  ,                ,                       ,                     ,                          ,                    ,                   ,R                       ,                        ,                             ,                     ,                        ,                   ,                ,                   ,C                    ,R                    ,                   ,                ,                ,F                   ,                      ,                    ,                 ,                    ,R                 ,             ,                        ,                    ,               ,                               ,                  ,                    ,                     ,              ,                    ,                 ,R                       ,               ,                       ,                       ,F                    ,F                       ,F                     ,F                        ,F                      ,R                     ,F                   ,F                     ,F                    ,F                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,199,1220,B,  2,H,CC,  29.00,     53.5400,nannos   ,Benthic Foraminifers                         ,F              ,VG                ,R                          ,                ,                         ,                 ,                    ,                 ,                            ,                        ,                  ,                ,                       ,                     ,                          ,                    ,                   ,R                       ,                        ,                             ,                     ,                        ,                   ,                ,F                  ,F                    ,                     ,                   ,                ,                ,F                   ,                      ,                    ,                 ,                    ,                  ,R            ,                        ,                    ,               ,                               ,                  ,                    ,                     ,              ,                    ,                 ,F                       ,               ,R                      ,F                      ,F                    ,R                       ,F                     ,F                        ,F                      ,                      ,                    ,                      ,                     ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,199,1220,B,  3,H,CC,  19.00,     62.5500,nannos   ,Benthic Foraminifers                         ,R              ,VG                ,                           ,                ,                         ,                 ,                    ,                 ,                            ,                        ,                  ,                ,                       ,                     ,                          ,                    ,                   ,                        ,                        ,                             ,                     ,                        ,                   ,                ,                   ,F                    ,                     ,                   ,                ,                ,                    ,                      ,                    ,                 ,                    ,                  ,             ,                        ,                    ,               ,                               ,                  ,                    ,                     ,              ,                    ,F                ,F                       ,R              ,R                      ,F                      ,F                    ,                        ,                      ,                         ,                       ,                      ,                    ,                      ,                     ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,199,1220,B,  4,H,CC,   9.00,     73.6900,nannos   ,Benthic Foraminifers                         ,T              ,P                 ,                           ,                ,                         ,                 ,                    ,                 ,                            ,                        ,                  ,                ,                       ,                     ,                          ,                    ,                   ,                        ,                        ,                             ,                     ,                        ,                   ,                ,                   ,                     ,                     ,                   ,                ,                ,                    ,                      ,                    ,                 ,                    ,                  ,             ,                        ,                    ,               ,                               ,                  ,                    ,                     ,              ,A                   ,                 ,                        ,               ,                       ,                       ,                     ,                        ,                      ,                         ,                       ,                      ,                    ,                      ,                     ,                   ,       
