Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygrhablithus bijugatus	Triquetrorhabdulus carinatus	Thoracosphaera deflandrei	Sphenolithus moriformis	Sphenolithus ciperoensis	Dictyococcites bisectus	Cyclicargolithus floridanus	Coronocyclus nitescens	Coccolithus pelagicus	Braarudosphaera bigelowii	Sphenolithus grandis	Pontosphaera sp. B	Discoaster adamanteus	Coccolithus eopelagicus	Thoracosphaera saxea	Helicosphaera euphratis	Hayaster perplexus	Triquetrorhabdulus milowii	Triquetrorhabdulus challengeri	Sphenolithus predistentus	Sphenolithus conicus	Sphenolithus belemnos	Helicosphaera obliqua	Helicosphaera intermedia	Sphenolithus dissimilis	Umbilicosphaera sibogae	Discoaster druggii	Calcidiscus leptoporus	Sphenolithus heteromorphus	Micrantholithus pinguis	Helicosphaera perch-nielseniae	Helicosphaera carteri	Coccolithus radiatus	Schyphosphaera spp.	Reticulofenestra pseudoumbilica	Comment



  SR	Middle Miocene   	                 	NN4               	NN5           	122	 763	A	 16	H	 3	  88.00	    141.7800	Siesser  	Nannofossils                                 	               	                  	                       	                            	C                        	F                      	                        	                       	C                          	F                     	R                    	R                        	                    	R                 	R                    	                       	F                   	                       	                  	VR                        	                              	                         	                    	                     	                     	                        	                       	R                      	                  	R                     	F                         	                       	                              	F                    	                    	R                  	R                              	from ODP Leg 122 SR Chapter 36 Table 5 p 615 & Fig 6 p 625

  SR	Middle Miocene   	                 	NN4               	NN5           	122	 763	A	 16	H	 4	  99.00	    143.3900	Siesser  	Nannofossils                                 	               	                  	                       	                            	C                        	F                      	                        	                       	C                          	F                     	R                    	                         	                    	                  	                     	                       	R                   	                       	                  	                          	                              	                         	                    	                     	                     	                        	                       	R                      	                  	                      	C                         	                       	                              	                     	                    	                   	VR                             	from ODP Leg 122 SR Chapter 36 Table 5 p 615 & Fig 6 p 625

  SR	Middle Miocene   	                 	NN4               	NN5           	122	 763	A	 16	H	 5	  99.00	    144.8900	Siesser  	Nannofossils                                 	               	                  	                       	                            	C                        	C                      	                        	                       	C                          	R                     	                     	                         	                    	                  	                     	                       	                    	                       	                  	                          	                              	                         	                    	                     	                     	                        	                       	R                      	                  	R                     	F                         	                       	                              	                     	                    	                   	                               	from ODP Leg 122 SR Chapter 36 Table 5 p 615 & Fig 6 p 625

  SR	Middle Miocene   	                 	NN4               	NN5           	122	 763	A	 16	H	CC	  14.00	    147.5500	Siesser  	Nannofossils                                 	               	                  	                       	VR                          	C                        	C                      	                        	                       	A                          	F                     	R                    	C                        	                    	R                 	                     	R                      	F                   	                       	R                 	                          	                              	                         	                    	                     	                     	                        	                       	R                      	                  	R                     	F                         	R                      	                              	F                    	                    	R                  	                               	from ODP Leg 122 SR Chapter 36 Table 5 p 615 & Fig 6 p 625

