Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Chiloguembelina cubensis	Globigerina falconensis	Tenuitellinata juvenilis	Subbotina angiporoides	Tenuitellinata prestainforthi	Tenuitellinata angustiumbilicata	Tenuitella munda	Tenuitella gemma	Globorotaloides testarugosa	Globigerina officinalis	Globorotalia truncatulinoides	Chiloguembelina sp.	Globorotaloides suteri	Globorotalia inflata	Globoquadrina dehiscens	Zeaglobigerina nepenthes	Zeaglobigerina decoraperta	Sphaeroidinellopsis disjuncta	Orbulina universa	Orbulina suturalis	Globigerinoides quadrilobatus	Globigerinita glutinata	Catapsydrax unicavus	Zeaglobigerina woodi	Neogloboquadrina continuosa	Jenkinsella mayeri	Globigerinoides trilobus	Zeaglobigerina apertura	Sphaeroidinellopsis seminulina	Globorotalia tumida	Globorotalia menardii	Globorotalia margaritae	Globoconella conomiozea	Globoconella conoidea	Globigerinoides seigliei	Globigerinoides obliquus	Globigerinella siphonifera	Globigerina bulloides	Neogloboquadrina pachyderma	Globoconella sphericomiozea	Globigerinita juvenilis	Globigerina quinqueloba	Globorotalia crassula	Globorotalia crassaformis	Globigerinoides ruber	Globorotalia puncticulata	Globigerinoides sacculifer	Neogloboquadrina acostaensis	Globorotalia scitula	Globigerinita uvula	Neogloboquadrina dutertrei	Globigerinoides extremus	Neogloboquadrina humerosa	Globigerina eamesi	Sphaeroidinella dehiscens	Globigerinoides conglobatus	Globigerinella obesa	Globorotalia tosaensis	Comment



  IR	                 	Pleistocene      	                  	Pt1           	182	1128	B	  1	H	CC	  14.00	      5.6300	Li       	Planktonic Foraminifers                      	A              	M                 	                        	P                      	                        	                      	                             	                                	                	                	                           	                       	F                            	                   	                      	F                   	                       	                        	                          	                             	R                	                  	                             	F                      	                    	                    	                           	                  	                        	                       	                              	                   	                     	                       	                       	                     	                        	                        	P                         	R                    	F                          	                           	P                      	A                      	P                    	P                        	R                    	P                        	                          	                            	P                   	P                  	                          	                        	                         	                  	                         	                           	P                   	P                     	large tests mainly broken and displaced

  IR	Pliocene         	Pleistocene      	                  	              	182	1128	B	  2	H	CC	  21.00	     15.5000	Li       	Planktonic Foraminifers                      	A              	M                 	                        	A                      	                        	                      	                             	                                	                	                	                           	                       	                             	                   	                      	P                   	                       	                        	                          	                             	P                	                  	                             	R                      	                    	                    	                           	                  	                        	                       	                              	                   	                     	                       	                       	                     	                        	                        	P                         	P                    	                           	                           	                       	A                      	P                    	F                        	F                    	F                        	                          	                            	                    	                   	R                         	                        	R                        	                  	R                        	R                          	P                   	                      	cf conomiozea of Hornibrook; very early truncatu.

  IR	                 	Late Pliocene    	                  	              	182	1128	B	  3	H	 2	  18.00	     16.8800	Li       	Planktonic Foraminifers                      	A              	G                 	                        	F                      	                        	                      	                             	                                	                	                	                           	                       	                             	                   	                      	A                   	                       	                        	P                         	                             	                 	                  	                             	F                      	                    	                    	                           	                  	                        	                       	                              	                   	                     	                       	                       	                     	                        	                        	                          	F                    	F                          	                           	                       	F                      	                     	F                        	F                    	                         	                          	                            	P                   	                   	                          	                        	                         	P                 	                         	                           	                    	                      	pelagite

  IR	                 	Pliocene         	                  	              	182	1128	B	  3	H	CC	  21.00	     23.1900	Li       	Planktonic Foraminifers                      	A              	M                 	                        	R                      	                        	                      	                             	                                	                	                	                           	                       	                             	                   	                      	F                   	                       	                        	                          	                             	P                	                  	P                            	F                      	                    	P                   	                           	                  	                        	                       	                              	                   	                     	                       	                       	                     	                        	                        	                          	F                    	                           	                           	                       	F                      	R                    	F                        	F                    	F                        	                          	                            	P                   	                   	                          	                        	P                        	                  	                         	                           	                    	                      	cf nepenthes; some broken
