Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus moriformis,Sphenolithus heteromorphus,Sphenolithus abies,Reticulofenestra pseudoumbilicus,"Reticulofenestra ""small""",Helicosphaera carteri,Helicosphaera ampliaperta,Coccolithus miopelagicus,Sphenolithus verensis,Discoaster berggrenii,Coccolithus pelagicus,Calcidiscus macintyrei,Discoaster intercalaris,"Discoaster ""six-rayed""",Discoaster surculus,Calcidiscus leptoporus,Discoaster variabilis,Discoaster brouweri,Discoaster pentaradiatus,Discoaster kugleri,Discoaster quinqueramus,Ceratolithus rugosus,Ceratolithus armatus,Ceratolithus cristatus,Helicosphaera sellii,Discoaster asymmetricus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,NN15              ,NN12          ,170,1041,B,  1,R,CC,   0.00,    161.0500,Muza     ,Nannofossils                                 ,C              ,M                 ,F                      ,                          ,F                 ,C                               ,A                       ,C                    ,                         ,                        ,                     ,                     ,                     ,                      ,                       ,                      ,                   ,C                     ,                     ,R                  ,                        ,                  ,                       ,                    ,                    ,                      ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,NN11          ,170,1041,B,  2,R,CC,   0.00,    170.7600,Muza     ,Nannofossils                                 ,R              ,P                 ,                       ,                          ,R                 ,R                               ,R                       ,                     ,                         ,                        ,                     ,                     ,                     ,                      ,                       ,                      ,                   ,                      ,                     ,R                  ,                        ,                  ,rR                     ,                    ,                    ,                      ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,NN11          ,170,1041,B,  3,R,CC,   6.00,    181.5900,Muza     ,Nannofossils                                 ,R              ,P                 ,                       ,                          ,R                 ,                                ,R                       ,R                    ,                         ,                        ,R                    ,                     ,                     ,                      ,                       ,                      ,                   ,R                     ,                     ,R                  ,                        ,                  ,                       ,                    ,                    ,                      ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,NN11          ,170,1041,B,  4,R,CC,  12.00,    193.3800,Muza     ,Nannofossils                                 ,A              ,M                 ,                       ,                          ,C                 ,C                               ,A                       ,C                    ,                         ,                        ,F                    ,                     ,                     ,                      ,                       ,                      ,                   ,C                     ,                     ,F                  ,                        ,                  ,                       ,R                   ,                    ,                      ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
