Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reticulofenestra pseudoumbilica	Reticulofenestra gelida	Helicosphaera mediterranea	Discoaster variabilis	Discoaster loeblichii	Discoaster intercalaris	Discoaster challengeri	Discoaster brouweri	Coccolithus pelagicus	Calcidiscus macintyrei	Calcidiscus leptoporus	Discoaster pentaradiatus	Triquetrorhabdulus rugosus	Reticulofenestra minuta	Discoaster surculus	Amaurolithus delicatus	Amaurolithus ninae	Pseudoemiliania lacunosa	Gephyrocapsa > 4.5	Comment



  IR	                 	                 	                  	              	189	1170	C	  1	H	CC	  10.00	      9.0200	nannos   	Nannofossils                                 	A              	G                 	                               	                       	                          	                     	                     	                       	                      	                   	A                    	                      	R                     	                        	                          	                       	                   	                      	                  	                        	A                 	       

  IR	                 	                 	                  	              	189	1170	C	  2	H	CC	  20.00	     18.0400	nannos   	Nannofossils                                 	A              	G                 	                               	                       	                          	                     	                     	                       	                      	                   	                     	                      	A                     	                        	                          	                       	                   	                      	                  	                        	                  	       

  IR	                 	                 	                  	              	189	1170	C	  3	H	CC	  10.00	     28.5100	nannos   	Nannofossils                                 	A              	G                 	                               	                       	                          	                     	                     	                       	                      	                   	                     	                      	F                     	                        	                          	                       	                   	                      	                  	F                       	F                 	       

  IR	                 	                 	                  	              	189	1170	C	  4	H	CC	  17.00	     35.7700	nannos   	Nannofossils                                 	A              	G                 	                               	                       	                          	                     	                     	                       	                      	                   	                     	                      	                      	                        	                          	                       	                   	                      	                  	F                       	F                 	       

  IR	                 	                 	                  	              	189	1170	C	  5	H	CC	  10.00	     47.1300	nannos   	Nannofossils                                 	A              	G                 	R                              	                       	                          	                     	                     	                       	                      	                   	                     	R                     	                      	                        	                          	                       	                   	                      	                  	                        	                  	       

  IR	                 	                 	                  	              	189	1170	C	  6	H	CC	   9.00	     56.8200	nannos   	Nannofossils                                 	A              	G                 	R                              	                       	                          	                     	                     	                       	                      	                   	                     	R                     	                      	                        	                          	                       	                   	                      	                  	                        	                  	       

  IR	                 	                 	                  	              	189	1170	C	  7	H	CC	  15.00	     65.5800	nannos   	Nannofossils                                 	A              	G                 	F                              	                       	                          	                     	                     	                       	                      	                   	                     	F                     	                      	                        	                          	                       	                   	                      	                  	                        	                  	       

  IR	                 	                 	                  	              	189	1170	C	  8	H	CC	   9.00	     76.0700	nannos   	Nannofossils                                 	A              	G                 	R                              	                       	                          	                     	                     	                       	                      	                   	                     	F                     	                      	                        	                          	                       	                   	                      	                  	                        	                  	       

  IR	                 	                 	                  	              	189	1170	C	  9	H	CC	  18.00	     85.6200	nannos   	Nannofossils                                 	A              	G                 	R                              	                       	                          	                     	                     	                       	                      	                   	                     	F                     	                      	                        	                          	                       	                   	                      	                  	                        	                  	       

  IR	                 	                 	                  	              	189	1170	C	 10	H	CC	   0.00	     94.7600	nannos   	Nannofossils                                 	A              	G                 	R                              	                       	                          	                     	                     	                       	                      	                   	                     	F                     	                      	                        	                          	                       	                   	                      	                  	                        	                  	       

  IR	                 	                 	                  	              	189	1170	C	 11	H	CC	  18.00	    104.3000	nannos   	Nannofossils                                 	A              	G                 	R                              	                       	                          	                     	                     	                       	                      	                   	                     	F                     	                      	                        	                          	                       	                   	                      	                  	                        	                  	       

  IR	                 	                 	                  	              	189	1170	C	 12	H	CC	  22.00	    113.9800	nannos   	Nannofossils                                 	A              	G                 	F                              	                       	                          	                     	                     	                       	                      	                   	                     	F                     	                      	                        	                          	                       	                   	                      	                  	                        	                  	       

  IR	                 	                 	                  	              	189	1170	C	 13	H	CC	  19.00	    122.9600	nannos   	Nannofossils                                 	A              	G                 	F                              	                       	                          	                     	                     	                       	                      	                   	                     	F                     	                      	                        	                          	                       	                   	                      	                  	                        	                  	       

  IR	                 	                 	                  	              	189	1170	C	 14	H	CC	  16.00	    132.5900	nannos   	Nannofossils                                 	A              	G                 	F                              	                       	                          	                     	                     	                       	                      	                   	                     	F                     	                      	                        	                          	                       	                   	                      	                  	                        	                  	       

  IR	Early Pliocene   	                 	CN11              	              	189	1170	C	 15	H	CC	  16.00	    142.4900	nannos   	Nannofossils                                 	A              	M                 	F                              	A                      	R                         	R                    	                     	R                      	                      	                   	F                    	C                     	C                     	                        	                          	A                      	                   	                      	R                 	                        	                  	       

  IR	                 	                 	                  	              	189	1170	C	 16	H	CC	  16.00	    150.6300	nannos   	Nannofossils                                 	A              	M                 	F                              	A                      	                          	C                    	                     	F                      	                      	                   	C                    	F                     	A                     	                        	                          	C                      	                   	R                     	                  	                        	                  	       

  IR	Late Miocene     	                 	CN9a              	CN9a          	189	1170	C	 17	H	CC	  11.00	    161.2400	nannos   	Nannofossils                                 	A              	M                 	F                              	                       	                          	F                    	F                    	F                      	                      	R                  	A                    	                      	F                     	                        	C                         	A                      	F                  	                      	                  	                        	                  	       

  IR	                 	                 	CN9a              	CN8b          	189	1170	C	 18	H	CC	   7.00	    170.0900	nannos   	Nannofossils                                 	A              	M                 	F                              	C                      	                          	F                    	F                    	                       	                      	                   	F                    	F                     	F                     	R                       	                          	                       	                   	                      	                  	                        	                  	       

  IR	Late Miocene     	                 	CN9a              	CN8b          	189	1170	C	 19	H	CC	  13.00	    180.4400	nannos   	Nannofossils                                 	A              	M                 	F                              	C                      	R                         	C                    	R                    	F                      	F                     	R                  	A                    	A                     	A                     	                        	                          	                       	                   	                      	                  	                        	                  	       

