Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Paragloborotalia nympha	Paragloborotalia continuosa	Orbulina universa	Globoturborotalita woodi	Globoturborotalita decoraperta	Globoturborotalita apertura	Globorotalia miotumida	Globorotalia conoidea	Globigerinita uvula	Globigerinita glutinata	Globigerina quinqueloba	Globigerina falconensis	Globigerina bulloides	Globorotalia juanai	Globorotalia challengeri	Globorotalia panda	Neogloboquadrina pachyderma (sinistral)	Globorotalia conomiozea	Globorotalia puncticuloides	Globorotalia puncticulata	Globorotalia margaritae	Globorotalia crassula	Globorotalia crassaformis	Globorotalia crassacarina	Globorotalia sphericomiozea	Globorotalia scitula	Neogloboquadrina pachyderma	Globorotalia triangula	Globorotalia inflata	Globigerinella aequilateralis	Globorotalia crassaconica	Globorotalia tosaensis	Globigerina umbilicata	Comment



  IR	                 	                 	                  	SN14          	189	1170	C	  1	H	CC	  10.00	      9.0200	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                           	                 	                        	                              	                           	                      	                     	                   	+                      	+                      	+                      	+                    	                   	                        	                  	+                                      	                       	                           	                         	                       	+                    	+                        	+                        	                           	+                   	                           	                      	+                   	+                            	+                        	                      	+                     	Gr. truncatulinoides unreliable marker

  IR	                 	                 	                  	SN14          	189	1170	C	  2	H	CC	  20.00	     18.0400	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                           	+                	                        	                              	                           	                      	                     	                   	+                      	+                      	+                      	+                    	                   	                        	                  	+                                      	                       	                           	                         	                       	+                    	+                        	+                        	                           	+                   	                           	                      	+                   	+                            	+                        	                      	+                     	Gr. truncatulinoides unreliable marker

  IR	                 	                 	                  	SN14          	189	1170	C	  3	H	CC	  10.00	     28.5100	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                           	+                	                        	                              	                           	                      	                     	                   	+                      	+                      	+                      	+                    	                   	                        	                  	+                                      	                       	                           	                         	                       	+                    	+                        	+                        	                           	+                   	                           	                      	+                   	+                            	+                        	+                     	                      	Gr. truncatulinoides extremely rare and diminutive

  IR	                 	                 	                  	SN13          	189	1170	C	  4	H	CC	  17.00	     35.7700	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                           	+                	                        	                              	                           	                      	                     	                   	+                      	+                      	+                      	+                    	                   	                        	                  	+                                      	                       	                           	                         	                       	+                    	+                        	+                        	                           	+                   	                           	                      	+                   	                             	+                        	                      	                      	       

  IR	                 	                 	                  	SN13          	189	1170	C	  5	H	CC	  10.00	     47.1300	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                           	+                	                        	                              	                           	                      	                     	                   	+                      	+                      	+                      	+                    	                   	                        	                  	+                                      	                       	+                          	+                        	                       	+                    	+                        	                         	                           	+                   	+                          	                      	+                   	+                            	+                        	                      	                      	       

