Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zeaglobigerina woodi,Zeaglobigerina nepenthes,Zeaglobigerina connecta,Orbulina universa,Jenkinsella mayeri,Globorotalia scitula,Globorotalia plesiotumida,Globorotalia menardii,Globoquadrina dehiscens,Globigerinoides trilobus,Globigerina falconensis,Neogloboquadrina continuosa,Neogloboquadrina acostaensis,Globoconella conoidea,Globigerinita juvenilis,Globigerinita glutinata,Fohsella peripheroronda,Zeaglobigerina apertura,Sphaeroidinellopsis seminulina,Globorotalia merotumida,Globorotalia cibaoensis,Globoconella sphericomiozea,Globigerinoides obliquus,Globigerinella siphonifera,Globigerina bulloides,Globorotalia tumida,Globigerinoides bollii,Neogloboquadrina pachyderma (dextral),Globorotalia tosaensis,Globorotalia puncticulata,Globorotalia inflata,Globorotalia crassaformis,Globigerinoides ruber,Globorotalia crassula,Neogloboquadrina dutertrei,Zeaglobigerina decoraperta,Globorotalia truncatulinoides,Globigerinoides tenellus,Globigerinoides sacculifer,Globigerina quinqueloba,Globigerinella obesa,Pulleniatina finalis,Sphaeroidinella dehiscens,Globigerinoides quadrilobatus,Neogloboquadrina humerosa,Zeaglobigerina rubescens,Beella digitata,Pulleniatina obliquiloculata,Globorotalia hirsuta,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1           ,182,1127,B,  1,H,CC,  26.00,      5.8300,Li       ,Planktonic Foraminifers                      ,F              ,G                 ,                    ,                        ,                       ,                 ,                  ,                    ,                         ,                     ,                       ,                        ,F                      ,                           ,                            ,                     ,                       ,P                      ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,                          ,P                    ,                   ,                      ,P                                    ,                      ,                         ,F                   ,                         ,F                    ,                     ,                          ,                          ,                             ,                        ,                          ,                       ,                    ,                    ,                         ,                             ,                         ,P                       ,               ,                            ,P                   ,"bivlaves, sponge spicules, ben forams, gastropods"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Quaternary       ,                  ,Pt1           ,182,1127,B,  2,H,CC,  12.00,     15.3400,Li       ,Planktonic Foraminifers                      ,C              ,G                 ,                    ,                        ,                       ,P                ,                  ,                    ,                         ,                     ,                       ,                        ,F                      ,                           ,                            ,                     ,                       ,P                      ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,                          ,F                    ,                   ,                      ,P                                    ,                      ,                         ,F                   ,                         ,P                    ,                     ,                          ,                          ,R                            ,                        ,                          ,P                      ,                    ,                    ,                         ,                             ,                         ,P                       ,               ,                            ,P                   ,"gastropods, sponge spicules"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1           ,182,1127,B,  3,H,CC,  17.00,     23.3200,Li       ,Planktonic Foraminifers                      ,C              ,G                 ,                    ,                        ,                       ,P                ,                  ,                    ,                         ,                     ,                       ,                        ,F                      ,                           ,                            ,                     ,                       ,P                      ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,                          ,F                    ,                   ,                      ,P                                    ,                      ,                         ,F                   ,                         ,P                    ,                     ,                          ,                          ,P                            ,                        ,                          ,P                      ,                    ,                    ,                         ,                             ,                         ,P                       ,               ,                            ,                    ,"gastropods, bivalves, ostracodes, sponge spicules"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1           ,182,1127,B,  4,H,CC,  16.00,     34.6300,Li       ,Planktonic Foraminifers                      ,C              ,VG                ,                    ,                        ,                       ,P                ,                  ,P                   ,                         ,                     ,                       ,                        ,F                      ,                           ,                            ,                     ,                       ,P                      ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,                          ,F                    ,                   ,                      ,P                                    ,                      ,                         ,F                   ,                         ,P                    ,                     ,                          ,                          ,P                            ,                        ,                          ,P                      ,                    ,                    ,                         ,                             ,                         ,P                       ,               ,                            ,P                   ,"gastropods, bivalves, ostracodes, sponge spicules"
