Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,planktonics miscellaneous,Globigerina bulloides,Comment
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,174,1071,A,  3,H,CC,  15.00,     12.0000,Olson    ,Planktonic Foraminifers                      ,T              ,                  ,1                        ,                     ,P/B=3% benthics=F glauconite=R-F
,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,174,1071,A,  5,H,CC,  10.00,     25.8300,Olson    ,Planktonic Foraminifers                      ,T              ,                  ,2                        ,1                    ,P/B=1% benthics=F-C glauconite=R mica=F-C
,,,,,,,,,,,,,,,,,,,
