Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Ebriopsis antiqua antiqua	Distephanus jimlingii	Ammodochium rectangulare	Distephanus quinquangellus	Distephanus speculum	Mesocena elliptica	Ebriopsis antiqua cornuta	Hermesinum adriaticum	Dictyocha fibula	Dictyocha neopseudofibula	Paramesocena circulus	Dictyocha spp.	Dictyocha subarctios	Distephanus octonarius	Comment



  SR	                 	                 	                  	              	128	 798	B	 14	H	 1	  28.00	    123.4800	Ling     	Silicoflagellates/Ebridians/Actiniscidians   	F              	M                 	                         	                     	                        	                          	                    	R                 	                         	                     	                	                         	                     	              	F                   	                      	from ODP Legs 127&128 Chapter 14 Table 2 p 242-243

  SR	                 	                 	                  	              	128	 798	B	 14	H	 3	  36.00	    126.2600	Ling     	Silicoflagellates/Ebridians/Actiniscidians   	C              	M                 	                         	                     	                        	                          	R                   	R                 	                         	                     	R               	                         	                     	              	C                   	                      	from ODP Legs 127&128 Chapter 14 Table 2 p 242-243

  SR	                 	                 	                  	              	128	 798	B	 14	H	 5	  36.00	    129.2600	Ling     	Silicoflagellates/Ebridians/Actiniscidians   	C              	M                 	                         	                     	                        	                          	                    	R                 	                         	                     	                	                         	                     	              	C                   	                      	from ODP Legs 127&128 Chapter 14 Table 2 p 242-243

  SR	                 	                 	                  	              	128	 798	B	 14	H	 7	  36.00	    132.2600	Ling     	Silicoflagellates/Ebridians/Actiniscidians   	R              	M                 	                         	                     	                        	                          	R                   	R                 	                         	                     	R               	                         	                     	R             	F                   	                      	from ODP Legs 127&128 Chapter 14 Table 2 p 242-243

  SR	                 	                 	                  	              	128	 798	B	 14	H	CC	  24.00	    134.5900	Ling     	Silicoflagellates/Ebridians/Actiniscidians   	R              	M                 	                         	                     	                        	                          	R                   	                  	                         	                     	R               	                         	                     	              	R                   	                      	from ODP Legs 127&128 Chapter 14 Table 2 p 242-243

  SR	                 	                 	                  	              	128	 798	B	 15	H	CC	  25.00	    144.2400	Ling     	Silicoflagellates/Ebridians/Actiniscidians   	C              	M                 	                         	                     	                        	                          	R                   	                  	                         	                     	R               	                         	                     	R             	C                   	R                     	from ODP Legs 127&128 Chapter 14 Table 2 p 242-243

  SR	                 	                 	                  	              	128	 798	B	 16	X	CC	  19.00	    152.0800	Ling     	Silicoflagellates/Ebridians/Actiniscidians   	C              	M                 	                         	                     	                        	                          	                    	F                 	                         	                     	                	                         	                     	F             	R                   	R                     	from ODP Legs 127&128 Chapter 14 Table 2 p 242-243

  SR	                 	                 	                  	              	128	 798	B	 17	X	CC	  17.00	    162.3000	Ling     	Silicoflagellates/Ebridians/Actiniscidians   	C              	M                 	                         	                     	                        	                          	R                   	                  	                         	                     	F               	                         	                     	F             	F                   	                      	from ODP Legs 127&128 Chapter 14 Table 2 p 242-243

