Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thoracosphaera spp.,Syracosphaera spp.,Sphenolith (unspecified taxon or taxa),Scyphosphaera spp.,Rhabdosphaera spp.,Reticulofenestrid taxa,Pseudoemiliania lacunosa,Helicosphaera sellii,Helicosphaera carteri,Gephyrocapsa (small),Geminilithella rotula,Discoaster variabilis,Discoaster triradiatus,Discoaster tamalis,Discoaster surculus,Discoaster pentaradiatus,Discoaster decorus,Discoaster brouweri,Discoaster asymmetricus,Coccolithus radiatus,Ceratolithus rugosus,Ceratolithus cristatus,Catinaster coalitus,Calcidiscus macintyrei,Calcidiscus leptoporus,Discoaster neohamatus,Discoaster intercalaris,Pontosphaera spp.,Coccolithus pelagicus,Umbilicosphaera spp.,Gephyrocapsa oceanica s.l.,Gephyrocapsa (large),Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN13b             ,              ,115, 709,B,  2,H, 7,  52.00,     13.3200,Rio      ,Nannofossils                                 ,A              ,G                 ,R                  ,C                 ,                                      ,                  ,F                 ,F                     ,C                       ,                    ,C                    ,C                   ,                     ,                     ,                      ,                  ,                   ,                        ,                  ,                   ,                       ,F                   ,                    ,                      ,                   ,                      ,C                     ,                     ,                       ,F                ,                     ,C                   ,C                         ,F                   ,from 115 SR. Chapter 15. Table 10. page 190.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN13b             ,              ,115, 709,B,  3,H, 5,   0.00,     19.4000,Rio      ,Nannofossils                                 ,A              ,G                 ,R                  ,C                 ,                                      ,                  ,F                 ,C                     ,C                       ,C                   ,C                    ,C                   ,                     ,                     ,                      ,                  ,                   ,                        ,                  ,                   ,                       ,F                   ,                    ,                      ,                   ,                      ,C                     ,                     ,                       ,                 ,C                    ,C                   ,                          ,                    ,from 115 SR. Chapter 15. Table 10. page 190.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN12d             ,              ,115, 709,B,  3,H, 6,   2.00,     20.9200,Rio      ,Nannofossils                                 ,A              ,G                 ,R                  ,C                 ,                                      ,                  ,R                 ,C                     ,C                       ,C                   ,C                    ,R                   ,F                    ,                     ,F                     ,                  ,                   ,                        ,                  ,C                  ,R                      ,F                   ,                    ,                      ,                   ,F                     ,C                     ,                     ,                       ,                 ,C                    ,C                   ,                          ,                    ,from 115 SR. Chapter 15. Table 10. page 190.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN12d             ,              ,115, 709,B,  3,H, 6,  50.00,     21.4000,Rio      ,Nannofossils                                 ,A              ,G                 ,                   ,C                 ,                                      ,                  ,R                 ,C                     ,C                       ,C                   ,C                    ,R                   ,C                    ,                     ,R                     ,                  ,                   ,                        ,                  ,C                  ,                       ,F                   ,                    ,R                     ,                   ,F                     ,F                     ,                     ,                       ,                 ,C                    ,C                   ,                          ,                    ,from 115 SR. Chapter 15. Table 10. page 190.
