Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiphora delicata,Polysphaeridium subtile,Palaeocystodinium golzowense,Lentinia wetzellii,Lejeunecysta hyalina,Hystrichosphaeridium tubiferum,Hystrichokolpoma rigaudiae,Hafniasphaera septata,Glaphyrocysta pastielsii,Glaphyrocysta ordinata,Diphyes colligerum,Deflandrea oebisfeldensis,Caligodinium amiculum,Areoligera senonensis,Apectodinium parvum,Apectodinium hyperacanthum,Apectodinium augustum,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,E,102,R, 1,  50.00,   1154.0000,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                     ,-                      ,-                           ,+                 ,-                   ,-                             ,-                         ,-                    ,+                       ,-                     ,+                 ,+                        ,-                    ,-                    ,-                  ,-                         ,+                    ,from ODP 104 SR Chapter 33 Table 1 p 666
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,E,102,R, 1,  70.00,   1154.2000,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                     ,+                      ,-                           ,-                 ,-                   ,-                             ,-                         ,-                    ,-                       ,+                     ,-                 ,-                        ,-                    ,-                    ,-                  ,-                         ,-                    ,from ODP 104 SR Chapter 33 Table 1 p 666
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,E,102,R, 1,  89.00,   1154.3900,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,+                     ,-                      ,-                           ,-                 ,-                   ,-                             ,-                         ,-                    ,-                       ,+                     ,-                 ,+                        ,+                    ,-                    ,-                  ,-                         ,+                    ,from ODP 104 SR Chapter 33 Table 1 p 666
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,E,102,R, 1, 109.00,   1154.5900,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                     ,-                      ,-                           ,+                 ,+                   ,-                             ,-                         ,-                    ,-                       ,+                     ,-                 ,+                        ,-                    ,-                    ,-                  ,-                         ,+                    ,from ODP 104 SR Chapter 33 Table 1 p 666
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,E,105,R, 4,  70.00,   1177.3900,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                     ,-                      ,-                           ,+                 ,-                   ,-                             ,-                         ,-                    ,-                       ,-                     ,-                 ,+                        ,-                    ,-                    ,-                  ,-                         ,+                    ,from ODP 104 SR Chapter 33 Table 1 p 666
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
