Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Trochammina spp.	Hormosina ovulum-ovuloides	Haplophragmoides sp.	Glomospira gordialis	Verneuilinoides? sp.	Saccammina sp.	Saccammina placenta	Rhizammina spp.	Rhabdammina spp.	Recurvoides spp.	Paratrochamminoides spp.	Karrerulina conversa	Hormosina velascoensis	Glomospira irregularis	Glomospira charoides	Dorothia sp.	Dendrophrya excelsa	Aschemocella grandis	Aschemocella carpathica	Ammodiscus tenuissima	Ammodiscus cf. peruvianus	Reophax spp.	Haplophragmoides walteri	Arenobulimina sp.	Subreophax sp.	Subreophax scalaris	Paratrochamminoides acervulatus	Karrerulina conformis	Hyperammina subdiscreta	Conotrochammina whangai	Karrerulina horrida	Ammosphaeroidina sp.	Tolypammina? sp.	Kalamopsis grzybowskii	Hyperammina laevigata	Ammodiscus cf. pennyi	Ammodiscus cretaceus	Subreophax pseudoscalaris	Glomospira serpens	Reticulophragmium amplectens	Lituotuba lituiformis	Glomospirella sp.	Uvigerina peregrina	Trifarina angulosa	Stilostomella spp.	Stilostomella antillea	Spiroplectammina spp.	Siphotextularia rolshauseni	Pullenia subcarinata	Pullenia bulloides	Pleurostomella spp.	Oridorsalis umbonatus	Nuttallides umbonifera	Nonion spp.	Miliolid taxa	Lagena spp.	Hopkinsina spp.	Heronallenia crosbyi	Hanzawaia spp.	Gyroidina soldanii	Gavelinopsis cf. prageri	Florilus spp.	Fissurina spp.	Eponides weddellensis	Eponides tumidulus	Epistominella exigua	Discorbis spp.	Cibicidoides spp.	Cassidulina subglobosa	Bulimina alazanensis	Bolivina spp.	Uvigerina spp.	Tosaia hanzawai	Oolina spp.	Nonionella spp.	Nonion barleeanum	Lenticulina spp.	Gyroidina polius	Fursenkoina pontoni	Cassidulina reniforme	Bulimina aculeata	Brizalina spathulata	Brizalina lowmani	Bolivinita trunctum	Bolivina pygmaea	Bolivina inflata	Quinqueloculina seminulum	Eggerella bradyi	Cibicidoides mundulus	Turrila spp.	Epistominella takayanagii	Elphidium crispum	Brizalina pseudopunctata	Ammonia beccarii	Gyroidina spp.	Cibicidoides robertsonianus	Bolivina pseudoplicata	Laticarinina pauperata	Bulimina striata	Cibicides wuellerstorfi	Glandulina spp.	Dentalina spp.	Hyalina balthica	Uvigerina auberiana	Trifarina fluens	Stetsonia arctica	Quinqueloculina stalkeri	Pyrgo williamsoni	Nonionella atlantica	Fursenkoina fusiformis	Cassidulina spp.	Cassidulina laevigata	Bulimina marginata	Laticarinina halophora	Anomalina globulosa	Fursenkoina pauciloculata	Valvulineria laevigata	Bolivina arctica	Astrononion gallowayi	Bolivina decussata	Ammobaculites agglutinans	Spiroloculina spp.	Islandiella teretis	Nonion auriculata	Elphidium excavatum	Psammosphaera fusca	Comment



  SR	                 	                 	                  	              	149	 900	A	  1	R	 1	  26.00	      0.2600	Collins  	Benthic Foraminifers                         	               	                  	                	                          	                    	                    	                    	              	                   	               	                	                	                        	                    	                      	                      	                    	            	                   	                    	                       	                     	                         	            	                        	                 	              	                   	                               	                     	                       	                       	                   	                    	                	                      	                     	                     	                    	                         	                  	                            	                     	                 	                   	                  	                  	                      	                     	.6%                        	1.0%                	1.0%              	                   	3.2%                 	14.0%                 	           	             	1.3%       	               	                    	              	2.6%              	                        	             	1.0%          	16.2%                	5.2%              	31.2%               	.6%           	                 	8.1%                  	                    	             	              	1.0%           	           	               	                 	                	                	                   	                     	                 	2.3%                	                 	                   	                	                	.3%                      	                	                     	            	                         	                 	.6%                     	                	              	                           	                      	                      	                	.6%                    	               	              	                	                   	.3%             	1.0%             	1.9%                    	                 	                    	1.6%                  	                	2.3%                 	                  	                      	.3%                	                         	                      	                	                     	.6%               	.3%                      	                  	                   	.3%              	                   	.3%                	5055 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 3. page 232.

  SR	                 	                 	                  	              	149	 900	A	  2	R	 1	  31.00	      1.8100	Collins  	Benthic Foraminifers                         	               	                  	                	                          	                    	                    	                    	              	                   	               	                	                	                        	                    	                      	                      	                    	            	                   	                    	                       	                     	                         	            	                        	                 	              	                   	                               	                     	                       	                       	                   	                    	                	                      	                     	                     	                    	                         	                  	                            	                     	                 	                   	                  	                  	                      	                     	.7%                        	5.7%                	.4%               	                   	5.3%                 	4.6%                  	           	             	3.6%       	               	                    	              	4.6%              	                        	             	6.0%          	2.8%                 	9.3%              	33.1%               	.4%           	                 	11.4%                 	                    	             	              	               	.4%        	               	                 	                	                	                   	                     	                 	.4%                 	                 	                   	                	                	                         	.7%             	                     	            	                         	                 	                        	                	              	                           	                      	                      	                	.7%                    	               	              	                	                   	                	.4%              	3.6%                    	1.1%             	                    	1.4%                  	.4%             	.7%                  	                  	                      	.7%                	                         	                      	                	.4%                  	                  	                         	                  	                   	1.1%             	.4%                	                   	1873 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 3. page 232.

  SR	                 	                 	                  	              	149	 900	A	  3	R	 1	   9.00	     11.1900	Collins  	Benthic Foraminifers                         	               	                  	                	                          	                    	                    	                    	              	                   	               	                	                	                        	                    	                      	                      	                    	            	                   	                    	                       	                     	                         	            	                        	                 	              	                   	                               	                     	                       	                       	                   	                    	                	                      	                     	                     	                    	                         	                  	                            	                     	                 	                   	                  	                  	                      	                     	2.1%                       	1.3%                	2.9%              	                   	5.4%                 	6.3%                  	           	             	2.5%       	               	                    	              	6.7%              	                        	             	2.1%          	3.8%                 	2.5%              	17.2%               	              	                 	16.7%                 	                    	             	              	2.1%           	           	               	.8%              	                	                	                   	                     	                 	4.2%                	                 	                   	                	                	                         	                	                     	            	                         	                 	.8%                     	                	              	                           	                      	                      	.8%             	2.9%                   	               	              	                	                   	1.7%            	1.3%             	                        	1.7%             	.4%                 	5.9%                  	.4%             	5.4%                 	.4%               	                      	                   	                         	                      	                	.4%                  	                  	                         	1.3%              	                   	                 	                   	                   	3187 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 3. page 232.

  SR	                 	                 	                  	              	149	 900	A	  4	R	 1	 107.00	     21.8700	Collins  	Benthic Foraminifers                         	               	                  	                	                          	                    	                    	                    	              	                   	               	                	                	                        	                    	                      	                      	                    	            	                   	                    	                       	                     	                         	            	                        	                 	              	                   	                               	                     	                       	                       	                   	                    	                	                      	                     	                     	                    	                         	                  	                            	                     	                 	                   	                  	                  	                      	                     	1.5%                       	9.5%                	                  	                   	3.8%                 	7.2%                  	           	             	1.9%       	               	                    	              	8.4%              	                        	             	3.8%          	5.7%                 	6.5%              	10.6%               	              	                 	12.5%                 	                    	             	              	3.0%           	           	               	2.3%             	                	                	                   	                     	                 	1.5%                	                 	                   	                	                	.4%                      	.4%             	                     	            	.8%                      	                 	                        	                	              	.4%                        	                      	                      	                	5.3%                   	               	              	                	                   	1.1%            	1.5%             	3.0%                    	1.5%             	1.1%                	3.8%                  	                	1.5%                 	                  	                      	                   	                         	                      	                	                     	.4%               	                         	.4%               	                   	                 	                   	                   	3825 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 3. page 232.
