Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Heterohelix planata	Heterohelix globulosa	Globigerinelloides multispinus	Globigerinelloides impensus	Archaeoglobigerina australis	Heterohelix dentata	Hedbergella monmouthensis	Schackoina multispinata	Rugotruncana circumnodifer	Hedbergella sliteri	Hedbergella holmdelensis	Globotruncanella havanensis	Archaeoglobigerina mateola	Guembelitria cretacea	Globotruncanella petaloidea	Globotruncana bulloides	Globigerinelloides subcarinatus	Abathomphalus mayaroensis	Gublerina robusta	Subbotina triloculinoides	Subbotina pseudobulloides	Subbotina fringa	Subbotina danica	Planorotalites sp. aff. P. compressus	Planorotalites imitatus	Planorotalites archeocompressus	Morozovella inconstans	Morozovella edita	Globoconusa daubjergensis	Chiloguembelinid  gen. et sp. indet <150 µm	Subbotina triangularis	Planorotalites compressus	Chiloguembelinid gen. et sp. indet >150 µm (mainly Ch. midwayensis)	Tenuitella reissi <150 µm	Subbotina patagonica/ayalai	Subbotina eocaenica	Planorotalites chapmani	Morozovella convexa	Acarinina praepentacamerata	Acarinina mckannai	Acarinina chascanona	Acarinina aquiensis	Globorotaloides spp.	Morozovella tadjikistanensis dianensis	Acarinina velascoensis	Acarinina subsphaerica	Acarinina nitida	Zeauvigerina spp.	Acarinina rotundimarginata	Planorotalites planoconicus	Morozovella marginodentata	Acarinina soldadoensis	Acarinina intermedia	Planorotalites australiformis	Morozovella nicoli ex. group (biconvex)	Acarinina sp. cf. A. primitiva	Subbotina pseudoeocaena compacta	Subbotina pseudoeocaena	Subbotina higginsi	Subbotina eocaenica irregularis	Subbotina bakeri	Planorotalites spp.	Planorotalites pseudoscitulus elongatus	Planorotalites pseudoscitulus	Globorotaloides sp. 1	Acarinina rugosoaculeata	Acarinina interposita	Acarinina esnaensis	Acarinina acarinata	Pseudohastigerina wilcoxensis	Pseudohastigerina micra	Globorotaloides sp. aff. G.suteri	Subbotina sp. aff. S.hornibrooki	Subbotina pseudoeocaena trilobata	Subbotina inaequispira	Subbotina crociapertura	Morozovella dolabrata	Globorotaloides turgida	Acarinina triplex	Acarinina pentacamerata	Subbotinid gen. et sp. indet (with abortive chambers.>400µm)	Subbotinid gen. et sp. indet (with abortive chambers)	Guembelitria spp. <150 µm	Acarinina sp. aff. mattseensis alticonica	Acarinina pseudotopilensis	Acarinina primitiva	Acarinina collactea	Acarinina appressocamerata	Morozovella broedermanni	Globigerinatheka senni	Acarinina spinuloinflata	Subbotina eocaena	Subbotina corpulenta	Pseudohastigerina sharkriverensis	Morozovella aragonensis	Acarinina praetopilensis	Acarinina bullbrooki/matthewsae	Subbotina ratusa	Pseudohastigerina danvillensis	Acarinina sp. cf. A.quadratoseptata	Acarinina rohri piparoensis	Catapsydrax taroubaensis	Acarinina sp. aff. A. hainesi	Morozovella crater	Cassigerinelloita amekiensis	Morozovella sp. cf. M. woodi	Morozovella sp. cf. M. crassata densa	Comment



  SR	Early Eocene     	                 	P8                	P9            	114	 698	A	  1	R	CC	   0.00	      0.0000	Nocchi   	Planktonic Foraminifers                      	A              	M                 	                   	                     	                              	                           	                            	                   	                         	                       	                          	                   	                        	                           	                          	                     	                           	                       	                               	                         	                 	                         	                         	                	                	                                     	                       	                               	                      	                 	                         	F                                          	                      	                         	                                                                   	R                        	F                          	F                  	                       	                   	                           	                  	                    	                   	F                   	                                      	                      	                      	                	                 	F                         	R                          	                          	                      	F                   	VR                           	F                                      	                              	F                               	F                      	                  	F                              	                	F                  	R                                      	F                            	F                    	F                       	                     	                   	                   	VR                           	F                      	R                                	                                	VR                               	VR                    	                       	                     	                       	                 	                       	                                                            	                                                     	F                        	C                                        	F                         	A                  	F                  	                          	                        	C                     	VR                      	VR               	                    	                                 	                       	                        	VR                             	                	F                             	VR                                 	                           	                        	                             	VR                	                            	VR                          	VR                                   	slight to medium etching of chambers is observed; from ODP Leg 114 SR Chapter 12 Table 2 p.238

  SR	Early Eocene     	                 	P8                	P9            	114	 698	A	  2	R	 1	 110.00	      5.1000	Nocchi   	Planktonic Foraminifers                      	A              	M                 	                   	                     	                              	                           	                            	                   	                         	                       	                          	                   	                        	                           	                          	                     	                           	                       	                               	                         	                 	                         	                         	                	                	                                     	                       	                               	                      	                 	                         	VR                                         	                      	                         	                                                                   	R                        	F                          	F                  	F                      	                   	                           	                  	                    	R                  	F                   	                                      	                      	                      	                	                 	F                         	                           	                          	                      	                    	F                            	VR                                     	                              	F                               	F                      	                  	F                              	                	F                  	F                                      	F                            	F                    	                        	                     	                   	                   	                             	F                      	                                 	                                	                                 	                      	F                      	                     	                       	                 	                       	F                                                           	                                                     	F                        	C                                        	                          	A                  	F                  	                          	                        	C                     	                        	                 	                    	                                 	VR                     	                        	                               	                	                              	                                   	                           	                        	                             	                  	                            	                            	                                     	from ODP Leg 114 SR Chapter 12 Table 2 p.238

  SR	Early Eocene     	                 	P8                	P9            	114	 698	A	  2	R	 2	 110.00	      6.6000	Nocchi   	Planktonic Foraminifers                      	A              	M                 	                   	                     	                              	                           	                            	                   	                         	                       	                          	                   	                        	                           	                          	                     	                           	                       	                               	                         	                 	                         	                         	                	                	                                     	                       	                               	                      	                 	                         	F                                          	                      	                         	                                                                   	R                        	F                          	                   	F                      	                   	                           	                  	                    	                   	                    	                                      	                      	                      	                	                 	F                         	                           	                          	                      	                    	                             	                                       	                              	F                               	                       	                  	F                              	                	F                  	                                       	F                            	C                    	C                       	                     	                   	                   	                             	F                      	                                 	                                	                                 	                      	                       	                     	                       	                 	                       	                                                            	                                                     	F                        	C                                        	F                         	A                  	F                  	F                         	                        	F                     	                        	                 	                    	                                 	                       	                        	VR                             	                	                              	                                   	                           	                        	                             	                  	                            	VR                          	                                     	from ODP Leg 114 SR Chapter 12 Table 2 p.238

  SR	Early Eocene     	                 	P8                	P9            	114	 698	A	  2	R	 3	  30.00	      7.3000	Nocchi   	Planktonic Foraminifers                      	A              	M                 	                   	                     	                              	                           	                            	                   	                         	                       	                          	                   	                        	                           	                          	                     	                           	                       	                               	                         	                 	                         	                         	                	                	                                     	                       	                               	                      	                 	                         	F                                          	                      	                         	                                                                   	R                        	                           	                   	F                      	                   	                           	                  	                    	R                  	F                   	                                      	                      	                      	                	                 	F                         	                           	                          	                      	                    	VR                           	F                                      	                              	F                               	                       	                  	F                              	                	C                  	C                                      	F                            	F                    	C                       	                     	                   	                   	                             	VR                     	                                 	                                	                                 	                      	                       	                     	                       	                 	                       	VR                                                          	                                                     	F                        	A                                        	F                         	A                  	F                  	                          	                        	R                     	                        	                 	                    	                                 	                       	                        	                               	                	                              	                                   	                           	                        	                             	                  	                            	                            	                                     	slight to medium etching of chambers is observed; from ODP Leg 114 SR Chapter 12 Table 2 p.238
