leg,site,hole,age mnemonic,auxiliary age mnemonic,top of section depth(m),bottom of section depth(m),special condition,age,auxiliary age,averaged age,age top of section(million years),age bottom of section(million years),average age(million years)t,data source
78,541,,UPPER PLEISTOCENE,,0.0,1.0,,NO AGE GIVEN,,NO AGE GIVEN, 0.01,  0.7,0.355,DSDP INITIAL REPORTS
78,541,,UPPER PLEISTOCENE,LOWER PLEISTOCENE,1.0,58.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN, 0.01,  1.8,0.905,DSDP INITIAL REPORTS
78,541,,LOWER PLEISTOCENE,,58.0,90.4,,NO AGE GIVEN,,NO AGE GIVEN,  1.2,  1.8,  1.5,DSDP INITIAL REPORTS
78,541,,UPPER PLIOCENE,,90.4,124.5,,NO AGE GIVEN,,NO AGE GIVEN,  1.8,  3.4,  2.6,DSDP INITIAL REPORTS
78,541,,UPPER PLIOCENE,LOWER PLIOCENE,124.5,134.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  1.8,    5,  3.4,DSDP INITIAL REPORTS
78,541,,LOWER PLIOCENE,,134.0,171.5,,NO AGE GIVEN,,NO AGE GIVEN,  3.4,    5,  4.2,DSDP INITIAL REPORTS
78,541,,LOWER PLIOCENE,UPPER MIOCENE,171.5,172.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  3.4, 10.5, 6.95,DSDP INITIAL REPORTS
78,541,,LOWER PLIOCENE,,172.0,191.0,A LEGITIMATE AGE INVERSION,NO AGE GIVEN,,NO AGE GIVEN,  3.4,    5,  4.2,DSDP INITIAL REPORTS
78,541,,LOWER PLIOCENE,UPPER MIOCENE,191.0,200.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  3.4, 10.5, 6.95,DSDP INITIAL REPORTS
78,541,,UPPER MIOCENE,,200.0,275.7,,NO AGE GIVEN,,NO AGE GIVEN,    5, 10.5, 7.75,DSDP INITIAL REPORTS
78,541,,UPPER PLIOCENE,,275.7,288.9,A LEGITIMATE AGE INVERSION,NO AGE GIVEN,,NO AGE GIVEN,  1.8,  3.4,  2.6,DSDP INITIAL REPORTS
78,541,,LOWER PLIOCENE,,288.9,303.4,,NO AGE GIVEN,,NO AGE GIVEN,  3.4,    5,  4.2,DSDP INITIAL REPORTS
78,541,,LOWER PLIOCENE,UPPER MIOCENE,303.4,324.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  3.4, 10.5, 6.95,DSDP INITIAL REPORTS
78,541,,LOWER MIOCENE,,438.0,459.0,,NO AGE GIVEN,,NO AGE GIVEN,   16, 22.5,19.25,DSDP INITIAL REPORTS
